Unnamed: 0.1, Date, Created, User ID, Followers, Following, Tweet Count, TweetLocation,Text,label
0, 2023-04-16 10:04:35+00:00, 2023-03-27 08:59:57+00:00,1.64E+18,981,531,22,,anies president info,Positive
1, 2023-04-16 10:00:01+00:00, 2012-08-21 07:34:04+00:00,771030588,10702,123,30121," Palmerah, Jakarta",gerindra party politician sandiaga uno answers the question of being paired again with former dki jakarta governor anies baswedan in the upcoming presidential election,Positive
2, 2023-04-16 09:14:46+00:00, 2011-09-27 05:22:24+00:00,380755133,11,35,230, North Jakarta,"mr. anies continued, we will guard him until he becomes president",Positive
3, 2023-04-16 07:03:05+00:00, 2017-10-19 12:32:28+00:00,9.21E+17,37,47,2670, Jakarta,"may allah swt save the nation and state of the republic of indonesia from traitors to the mandate of the people, o allah, the most merciful and the most merciful, raise the rank of anies rasyid baswedan to become president of the republic of indonesia this year and beyond, amen, yra",Positive
4, 2023-04-16 06:03:59+00:00,2022-06-28 07:03:37+00:00,1.54E+18,6,129,766," Lebak, Banten","poor chotimah, uncle anies, that's why my family has decided to elect pa anies as president",Positive
5, 2023-04-16 05:53:52+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",pdip cadres become president where the minister is food imports,Negative
6, 2023-04-16 05:52:33+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",if there is no declaration from the supporting party then the results of this survey are useless,Positive
7, 2023-04-16 05:42:15+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",the voice of the people,Positive
8, 2023-04-16 05:40:11+00:00, 2010-07-27 11:43:15+00:00,171458202,22,169,35, South Tangerang,amien rais will vote for prabowo subianto if anies baswedan fails to become a presidential candidate in the presidential election,Negative
9, 2023-04-16 05:40:07+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",who was the governor?,Positive
10, 2023-04-16 05:39:28+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",kpk moves for justice for all indonesian people,Negative
11, 2023-04-16 05:38:41+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",anies prabowo,Positive
12, 2023-04-16 05:37:54+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",can become governor because there is a party that supports him,Negative
13, 2023-04-16 05:35:26+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",think about why you lost,Negative
14,2023-04-16 05:34:39+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",the official from your political party criticizes his party,Negative
15, 2023-04-16 05:32:57+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",not surprised,Positive
16, 2023-04-16 05:32:28+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia",carry on,Positive
17, 2023-04-16 05:31:53+00:00, 2012-07-13 02:25:46+00:00,634227637,162,42,5297," West Java, Indonesia","yes, we who are pro anies will always be outside the palace",Positive
18, 2023-04-16 04:27:01+00:00, 2021-08-03 09:08:15+00:00,1.42E+18,293,222,2099,,smart herianto anies is very suitable for the president of the republic of indonesia,Positive
19, 2023-04-16 03:33:16+00:00, 2022-06-30 09:51:34+00:00,1.54E+18,10361,8231,1404," East Kalimantan, Indonesia","you are so busy managing our presidential candidate, anies baswed, and the track record of anies that you posted does not reflect anies' actual achievements. the people are intelligent enough to judge that anies will be president of the republic of indonesia.",Positive
20, 2023-04-16 01:59:17+00:00, 2019-08-25 12:05:23+00:00,1.17E+18,106,210,5725,,"id, god willing, bang anies will become president",Positive
21, 2023-04-16 00:48:55+00:00, 2021-07-05 17:15:44+00:00,1.41E+18,82,187,1528, Bandung West Java,great,Positive
22, 2023-04-16 00:29:53+00:00, 2020-02-17 21:47:39+00:00,1.23E+18,285,632,23531,,"isn't that the conspiracy of the embittered cebong troops who are very upset about the pks promoting anies as presidential candidate, anies, the extinct cebong president",Positive
23, 2023-04-16 00:09:24+00:00, 2023-01-30 17:27:13+00:00,1.62E+18,254,1376,2553,,anies president watch video of asad mahrizal,Positive
24, 2023-04-16 00:05:20+00:00, 2016-11-16 06:12:03+00:00,7.99E+17,13313,102,15173," Jakarta, Indonesia",the democratic party stated that gerindra sandiaga uno party cadres did not meet the criteria for a vice presidential candidate and vice presidential candidate to accompany anies baswedan in the presidential election.,Positive
25, 2023-04-15 23:36:23+00:00, 2023-04-07 17:58:39+00:00,1.64E+18,3,55,12,,yooo join the national volunteer ranks of the anies united bnkab coalition for the movement for change anies for president call chat,Positive
26, 2023-04-15 22:52:30+00:00, 2023-04-07 17:58:39+00:00,1.64E+18,3,55,12,,please join and become a volunteer for anies for president place call,Positive
27, 2023-04-15 21:41:29+00:00, 2022-04-07 04:53:23+00:00,1.51E+18,3,10,755,,"god willing, mr. anies baswedan will become president of the republic of indonesia, just pray so that you will be unemployed buzzerrp, getting a job is not as cool as it is now poor thing",Positive
28, 2023-04-15 21:24:39+00:00,2021-10-18 13:36:49+00:00,1.45E+18,212,408,9396," Cilandak, Indonesia","i hope anies baswedan becomes the president of the republic of indonesia so that the sumber sane hospital case can be completed, the construction of kakaban quickly ends.",Positive
29, 2023-04-15 20:03:14+00:00, 2020-05-29 15:11:17+00:00,1.27E+18,859,760,15636,,let's fight for anies baswedan to become president of the republic of indonesia,Positive
30, 2023-04-15 18:30:19+00:00, 2022-12-16 02:59:14+00:00,1.60E+18,16,73,1472, JAKARTA,"nothing else, if it's not fake, it means you're a traitor. don't forget to drink coffee before imsak",Positive
31, 2023-04-15 18:28:49+00:00, 2022-12-16 02:59:14+00:00,1.60E+18,16,73,1472, JAKARTA,fahnoor inismyname bowo traitor,Negative
32, 2023-04-15 18:27:32+00:00, 2022-12-16 02:59:14+00:00,1.60E+18,16,73,1472, JAKARTA,rational people will not repeat the same mistakes together,Negative
33, 2023-04-15 18:06:09+00:00, 2022-03-27 02:42:52+00:00,1.51E+18,7839,5740,12485,,"rg with the discourse of a large coalition consisting of five political parties supporting the palace, anies looks like he is being attacked by anies' party, which is not a member of anies' party, well, why are you afraid?",Negative
34, 2023-04-15 17:47:55+00:00, 2017-03-26 12:42:18+00:00,8.46E+17,6322,6223,27677,"West Papua, Indonesia",the explanation by several key witnesses supporting ab should be used as a benchmark to improve the results of the anies survey for the change in president anies,Positive
