Unnamed: 0, Date, Created, User ID, Followers, Following, Tweet Count, TweetLocation,Text,label
0, 2023-04-16 09:04:01+00:00, 2016-05-28 16:50:39+00:00,7.37E+17,2358,3001,13665, Indonesia,"ganjar is getting more and more support, now support is coming from the city of batu, malang, east java. they have declared themselves as supporters of the president of the republic of indonesia, not only coming from malang district but also from blitar and others.",Positive
1, 2023-04-16 08:31:02+00:00, 2023-03-31 05:48:36+00:00,1.64E+18,374,599,621, No Place to KADRUN,ojoo lali yooo who is smart chooses pranowo's reward,Positive
2, 2023-04-16 08:00:00+00:00, 2023-03-31 05:48:36+00:00,1.64E+18,374,599,621, No Place to KADRUN,smart people support and reward pranowo well,Positive
3, 2023-04-16 07:56:29+00:00, 2022-06-27 14:13:32+00:00,1.54E+18,11,78,737,,"we believe that pranowo's reward is a gift from allah almighty for the indonesian nation. after jokowi is named a gift, god willing, there will be no power that can hinder or hinder the president's reward in",Positive
4, 2023-04-16 07:54:14+00:00, 2023-03-31 05:48:36+00:00,1.64E+18,374,599,621, No Place to KADRUN,intelligent people support and reward pranowo well,Positive
5, 2023-04-16 07:29:04+00:00, 2022-10-27 13:47:45+00:00,1.59E+18,0,45,103,,"thank god, the president of indonesia is the only one who can unite this nation, prabowo subianto and anis baswed, and these two candidates have a track record of being surrounded by kadrun and sandalwood.",Positive
6, 2023-04-16 06:38:16+00:00, 2022-04-15 14:47:04+00:00,1.51E+18,11,13,34," South Sulawesi, Indonesia","ramadhan safari and prayer together for mr. ganjar pranowo, president of indonesia. in this activity, we collaborated with the nation's children's observer forum community. of course, in this ramadhan safari, we also put together a cheap people's market, namely the wakka community.",Positive
7, 2023-04-16 06:29:44+00:00, 2022-07-28 23:43:46+00:00,1.55E+18,33,18,366,,mak ganjar north sumatra wishes you a happy anniversary commemorating the anniversary of north sumatra province,Positive
8, 2023-04-16 06:14:25+00:00, 2023-02-26 23:14:17+00:00,1.63E+18,751,947,2197,,being fair is great and being trustworthy is also a reward for going home together with the writings of the president of the republic of indonesia,Positive
9,2023-04-16 05:38:51+00:00, 2022-04-18 15:17:40+00:00,1.52E+18,39,18,273,,beauty class held by srikandi ganjar dpw south sulawesi with millennials held in sengkang regency,Positive
10, 2023-04-16 05:19:56+00:00, 2023-01-26 12:52:48+00:00,1.62E+18,3,22,46," East Nusa Tenggara, Indonesia",the results of the smrc survey released recently show that support for ganjar pranowo as a presidential candidate in the presidential election is getting stronger.,Positive
11, 2023-04-16 04:40:00+00:00, 2023-03-18 02:30:13+00:00,1.64E+18,730,1190,671,,"the results of the latest indopol survey amp consulting survey show that the governor of central java, ganjar pranowo, controls the electability of presidential candidates for the presidential election in east java, papua, sharon camilla, papua.",Positive
12, 2023-04-16 04:40:00+00:00, 2022-09-18 06:41:13+00:00,1.57E+18,967,1435,792,,"the results of the latest indopol survey amp consulting survey show that the governor of central java, ganjar pranowo, controls the electability of presidential candidates for the presidential election in east java, papua, sharon camilla, papua.",Positive
13, 2023-04-16 03:47:32+00:00, 2023-02-06 06:50:17+00:00,1.62E+18,11,27,59," Kupang City, NTT",pranowo,Positive
14, 2023-04-16 03:47:11+00:00, 2023-02-06 06:50:17+00:00,1.62E+18,11,27,59," Kupang City, NTT",pranowo,Positive
15, 2023-04-16 03:46:05+00:00, 2023-02-06 06:50:17+00:00,1.62E+18,11,27,59," Kupang City, NTT",pranowo,Positive
16, 2023-04-16 03:21:05+00:00, 2021-02-03 14:24:44+00:00,1.36E+18,236,324,40,,reward for president,Positive
17,2023-04-16 03:20:00+00:00, 2023-01-23 02:23:59+00:00,1.62E+18,1291,1786,858,,"the results of the latest indopol survey amp consulting survey show that the governor of central java, ganjar pranowo, dominates the electability of presidential candidates for the presidential election in east java, bima bu tejo, bandung, papua.",Positive
18,2023-04-16 03:20:00+00:00, 2023-03-17 07:02:11+00:00,1.64E+18,628,1067,722,,"the results of the latest indopol survey amp consulting survey show that the governor of central java, ganjar pranowo, dominates the electability of presidential candidates for the presidential election in east java, bima bu tejo, bandung, papua.",Positive
19, 2023-04-16 03:11:12+00:00, 2020-06-06 02:16:02+00:00,1.27E+18,733,678,17507,,"ogi god willing, mr gangar will become president of the republic of indonesia",Positive
