Unnamed: 0.1, Date, Created, User ID, Followers, Following, Tweet Count, TweetLocation,Text,label
0, 2023-04-16 09:44:01+00:00, 2018-07-07 09:43:19+00:00,1.02E+18,477,337,12568, Khoiril Anwar,"gemira and semeton bali muslims declare support for prabowo as president, news updates",Positive
1, 2023-04-16 09:27:10+00:00, 2019-10-29 04:40:11+00:00,1.19E+18,27910,20171,63723,,fahnoor inismyname that's why we support the president,Negative
2, 2023-04-16 08:32:06+00:00, 2022-12-16 05:02:00+00:00,1.60E+18,144,114,6596,,"this time, jokowi's quota for wrinkles on his face and white hair is identical to his aura, sir, moving on to answering sincerely and honestly, agree, that's great, prabowo subianto",Positive
3, 2023-04-16 08:19:16+00:00, 2016-01-11 23:57:34+00:00,4745573953,67,99,7395,,"happy birthday to kopassus, may the spirit of patriotism continue to burn in our hearts, be the front guard in maintaining the sovereignty and security of the republic of indonesia, keep advancing, kopassus, always healthy, mr. general prabowo subianto, president of the republic of indonesia",Positive
4, 2023-04-16 07:59:41+00:00,2022-12-17 02:29:03+00:00,1.60E+18,31,27,192,,gerindra badung party held legislative legislative consolidation meeting,Negative
5, 2023-04-16 07:57:54+00:00, 2012-05-11 02:12:33+00:00,576755999,33754,4526,293022," Kebumen, Indonesia","prabowo, president cebong kampret, retires",Negative
6, 2023-04-16 07:29:04+00:00, 2022-10-27 13:47:45+00:00,1.59E+18,0,45,103,,"thank god, the president of indonesia is the only one who can unite this nation, prabowo subianto and anis baswed, and these two candidates have a track record of being surrounded by kadrun and sandalwood.",Negative
7, 2023-04-16 07:07:44+00:00, 2016-11-28 08:01:01+00:00,8.03E+17,47,101,5137,,some of the campaign activities of presidential candidates and vice presidential candidates facilitated by the state in the upcoming presidential election can be funded from the state revenue and expenditure budget of prabowo subianto's apbn,Positive
8, 2023-04-16 07:07:34+00:00, 2016-11-28 08:01:01+00:00,8.03E+17,47,101,5137,,gorontalo netizens pray for minister of defense prabowo subianto to become president of the republic of indonesia in prabowo subianto's presidential election,Positive
9, 2023-04-16 07:07:10+00:00, 2023-02-25 06:19:28+00:00,1.63E+18,17,106,237," Texas, USA",i'm president but i'm still prabowo,Positive
10, 2023-04-16 07:06:05+00:00, 2023-01-16 04:41:28+00:00,1.61E+18,67,145,15333,,"president of the republic of indonesia, sir, wrote a comment on regar prabowo subianto's account",Positive
11, 2023-04-16 07:06:04+00:00, 2023-01-16 04:41:28+00:00,1.61E+18,67,145,15333,,"again, various comments came from netizens who prayed for prabowo to become the next president, prabowo subianto",Positive
12, 2023-04-16 06:38:33+00:00, 2012-01-16 05:21:08+00:00,465280582,113,132,13673, Jakarta,tabanan bali trader community declares support for prabowo to become president of national tournament,Positive
