,User ID,Count,Unnamed: 0,Date,Tweet Count,Tweet Location,Tweet,label,Clean,city
0,306615832.0,143,163,2023-04-13,333,"Nusa Tenggara Timur, Indonesia",terik siang hari yang menyengat ditambah kegiatanku yg sangat padat seketika kuingat senyum pak ganjar jiwaku kembali bersemangat,Positive,puan vs khofifah siapa jadi ri,Nusa Tenggara Timur
1,306615832.0,143,678,2023-04-07,180,"Sumatera Utara, Indonesia",hi bestue dokumentasi kegiatan srikandi ganjar sumatera utara bersama putri make up artis dalam melakukan kegiatan make up class dengan tema eid mubarak make up look,Positive,asmara pemimpin pro rakyat ri,Sumatera Utara
2,306615832.0,143,679,2023-04-07,786947,"Denpasar Barat, Indonesia",siapapun politisi pada posisi ganjar sebagai gubernur dari kader pdip yg juga berambisi sebagai presiden gp tahu persis bahwa nasibnya ditentukan oleh mega maka ketika dihadapkan pada pilihan pilih ikut jkw atau pilih nurut mega sudah pasti jawabnya ikut mega,Positive,pemimpin pro rakyat ri,Denpasar Barat
3,306615832.0,143,683,2023-04-07,148,,as tadinya kasian liat beliau di bully tp semakin banyak ngomong kok makin nyebelin jd makin tdk respek ke ganjar dan pdip sayang gibran blm thn jd gak bisa pilih mas wali jd presiden,Positive,pemimpin pro rakyat ri,
4,306615832.0,143,688,2023-04-07,273,,srikandi ganjar sulawesi selatan mengadakan beauty class daily makeup look bersama kombat bone,Positive,pemimpin bersih jujur dan cerdas saatnya lawan oligarki lawan korupsi selamatkan indonesia ri,
5,306615832.0,143,691,2023-04-07,303,,silaturrahmi majelis nariyah at thoyyibah kabupaten bangkalan serta berikan bantuan kipas angin amp kebutuhan pokok majelis,Positive,pemimpin pro rakyat ri,
6,306615832.0,143,772,2023-04-06,10297,"Pekanbaru, Indonesia ",tweet ganjar for presiden palestina,Positive,tidak ada yang paling ditakutkan koruptor selain pemimpin yang jujur cerdas bersih dan berani ri,Pekanbaru
7,306615832.0,143,788,2023-04-05,903,,apapun yg terjadi gw tetep dukung ganjar jadi presiden palestina,Positive,ya akur saja bro saya suka tapi dukung ri,
8,306615832.0,143,821,2023-04-05,74,,msh setia sama pak ganjar ganjar presiden,Positive,tv orang tua yang cerdas pantas menurun ke anaknya pemimpin jujur bersih dan cerdas ri,
9,306615832.0,143,822,2023-04-05,19,,kegigihan pal ganjar tangkal radikalisme diindonesia memcu ratusan ustadz di deli serdang pendukungnya jdi presiden,Positive,tv luar biasa inilah pemimpin sejati mau mendengarkan suara rakyat ri,
10,306615832.0,143,1084,2023-03-29,1553,,saya dukung ganjar jadi presiden palestina,Positive,bismillah bersama nu mari bersatu menuju indonesia maju damai adil dan makmur ri,
11,306615832.0,143,1174,2023-03-28,10486,"Serang, Indonesia",benarkah ganjar menjadi tumbal partai walaupun saya menyesalkan dengan sikap pak ganjarnamun saya akan tetap tegak lurus mendukung beliaukarena diantara nama yang ada pak ganjarlah yang masih relevan untuk menjadi presiden di videoplayback mp,Positive,masya alloh dari sini integritas seorang berasal semangat lawan oligarki selamatkan indonesia ri,Serang
12,306615832.0,143,1229,2023-03-27,2929,iKN nusantara ,sekali ganjar tetap ganjarrr bumi berguncang langit runtuh tetep ganjar pranowo the next presiden ri,Positive,yuk bersama berjuang selamatkan rakyat ri,iKN nusantara 
13,306615832.0,143,1252,2023-03-27,318784,Bekasi-Jawa Barat-Indonesia,survey indikator jika pemilihan presiden di adakan skrg siapa yang akan ibu bapak pilih sebagai presiden diantara nama berikut iy nama ganjar pranowo tetap berada di puncak survey capres dgn hasil ganjar pranowo,Positive,mari bersama lawan oligarki selamatkan indonesia ri,Bekasi-Jawa Barat-Indonesia
14,306615832.0,143,1284,2023-03-26,40698,"Jakarta Pusat, DKI Jakarta",survei indikator ganjar unggul prabowo dan anies bersaing jakarta edunewsid gubernur jawa tengah jateng ganjar pranowo masih berada di posisi teratas dalam bursa calon presiden capres sementara di posisi kedua ada nama menteri pertahanan,Positive,amin mari bersama lawan oligarki selamatkan indonesia ri,Jakarta Pusat
15,306615832.0,143,1409,2023-03-25,893,"DKI Jakarta, Indonesia",marhaban ya ramadhan selamat menunaikan ibadah puasa bagi yang menjalankan ya mak follow kami di untuk informasi lain dm kami,Positive,bersama nu mari kita selamatkan indonesia ri,DKI Jakarta
16,306615832.0,143,1447,2023-03-24,30398,United States,amin ganjar pranowo presiden tahun,Positive,alhamdulillah di bulan suci ini koalisi perubahan menuju indonesia maju damai adil dan makmur ri,United States
17,306615832.0,143,1452,2023-03-24,7199,,gak apa fir rasis kn mayang klau pak ganjar menang anjing buzer kayak lu bisa makan lagian presiden survei itu dimana ada relawan untuk bagi sembako si situ mereka berdesak hadir,Positive,jsp alhamdulillah di bulan yang suci ini koalisi perubahan untuk indonesia yang waras maju damai adil dan makmur ri,
18,306615832.0,143,1453,2023-03-24,59,"Kota Kupang, NTT",selamat menunaikan ibadah puasa  pranowo,Positive,alhamdulillah di bulan yang suci ini untuk indonesia yang waras maju damai adil dan sejahtera ri,Kota Kupang
19,306615832.0,143,1454,2023-03-24,665,"Pasar Rebo, Indonesia",pak ganjar pranowo memang sudah pantas untuk maju di pilpres dan menjadi presiden ri,Positive,alhamdulillah di bulan yang suci ini untuk indonesia yang lebih baik ri,Pasar Rebo
20,306615832.0,143,1479,2023-03-24,366,,selamat menyambut bulan suci ramadhan,Positive,mari bersama rakyat selamatkan indonesia ri,
21,306615832.0,143,1480,2023-03-24,366,,mak ganjar sumatera utara mengucapkan selamat menunaikan ibadah puasa dan selamat menyambut bulan suci ramadhan,Positive,mari bersama rakyat selamatkan indonesia ri,
22,306615832.0,143,1540,2023-03-23,31924,"Jawa Barat, Indonesia",ganjar presiden,Positive,bersama nu ri,Jawa Barat
23,306615832.0,143,1594,2023-03-22,1246,,semakin yakin dan optimis bahwa pak ganjar pantas maju menjadi presiden ri,Positive,mari bersama rakyat dan para ulama selamatkan indonesia ri,
24,306615832.0,143,1626,2023-03-22,59,"Kota Kupang, NTT",basketball competition srikandi amp  pranowo,Positive,bersama nu dan nahdhiyin mari bersama kita selamatkan indonesia menuju negeri yang maju damai adil dan makmur ri,Kota Kupang
25,306615832.0,143,1627,2023-03-22,122,"Maros, Sulawesi Selatan",mak ganjar sulawesi selatan berbagi kebaikan,Positive,bersama nu dan nahdhiyin mari bersama kita selamatkan indonesia menuju negeri yang maju damai adil dan makmur ri,Maros
26,306615832.0,143,1637,2023-03-22,1170,,saya yakin sosok pak ganjar ini memang layak sekali menjadi presiden ri di tahun nanti,Positive,pemimpin yang dekat dengan rakyat dan para ulama insya alloh membawa negeri ini kembali maju damai adil dan makmur ri,
27,306615832.0,143,1668,2023-03-21,391,,alhamdulillahsemoga berkahdan prabowo atau ganjar yg jadi presiden,Positive,pemimpin mengayomi semua golongan ri,
28,306615832.0,143,1717,2023-03-21,1408,,semoga harapan dan citacita kita agar pak ganjar melanjutkan kepemimpinan menjadi presiden ini dapat terwujud di,Positive,bersama para ulama mari selamatkan negeri indonesia kita tercinta ri,
