,created_at,user_id_str,tweet_url,Tweet,no_stopwords,sentiment
0,2023-06-29,4600161918,https://twitter.com/khumaedi26/status/1674472026873167872,Kita dorong Anies Baswedan dipilih mayoritas rakyat Indonesia menjadi Presiden RI THN 2024,dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn dorong anies baswedan pilih mayoritas indonesia presiden ri thn,Positive
1,2023-06-29,1429040840932872193,https://twitter.com/EndyNugroho8/status/1674333785729667072,DASYATTT... Tak Bosan Melihat Temu Kebangsaan RELAWAN ANIES Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩,dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa yg penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden sama anies rakyat sejahtera,Positive
2,2023-06-29,59683667,https://twitter.com/kangsata/status/1674284799761223680,setelah 2024 Pak Anies berkuasa mau gak jejak Presiden ke7 di hapus dr Bumi Indonesia ?,pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia pak anies kuasa enggak jejak presiden hapus bumi indonesia,Positive
3,2023-06-29,1644712105575346176,https://twitter.com/Muhamma14431514/status/1674284296436346881,Kita doakan yang baik baik aja ya semoga 2024 Anies Presiden 👍 jangan sampai Indonesia Dipimpin petugas partai lagi atau oleh orang yang pernah berjanji akan timbul tenggelam bersama rakyat tapi akhirnya tenggelam beneran karena berkolaborasi dengan penguasa 😁,doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa doa baik baik anies presiden jangan indonesia pimpin tugas pernah janji timbul tengelam akhir tengelam benar kolaborasi kuasa,Positive
4,2023-06-29,1461212153122209794,https://twitter.com/SyafrudinTiada/status/1674266811007922178,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG PEMIMPIN BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI,rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia rakyat indonesia damba sosok bung anies sbg presiden indonesia milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia sejahtera indonesia harmonis anut indonesia,Positive
5,2023-06-29,1601805757590040576,https://twitter.com/Taliwangku/status/1674228927211126784,Bapak Emang cocok jadi PRESIDEN MEDSOS ... klw Presiden Indonesia 2024 .. ANIES IS THE BEST PRESIDEN INDONESIA 2024,bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia bapak emang presiden medsos presiden indonesia anies is the best presiden indonesia,Positive
6,2023-06-28,1603555147639967745,https://twitter.com/kimingo2022/status/1674189830924931072,"2024 Ganjar presiden agar Indonesia menuju tahun emas 2045, singkirkan anies, libas pendukung pekoknya. kalau perlu buang ke pulau terpencil. warga negara gak berguna",ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak ganjar indonesia tuju emas singkir libas dukung kok perlu buang pulau pencil negara enggak,Positive
7,2023-06-28,1097107026956627968,https://twitter.com/jonsa61664335/status/1674069715893776385,"Barrakallahu fiikum pak Anies, selamat Idhul Adha dan selamat sukses aman dlm mejalani proses pencapresan utk meraih kemenangan pd pilpres 14/02/2024 menjadi Presiden RI yg diridhoi Allah, dipilih rakyat Indonesia yg inginkan perubahan lebih maju adil sehat aman setara sejahtera",barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera barakalahu fikum pak anies selamat idhul adha selamat sukses aman mejalani proses pencapresan raih menang presiden ri diridhoi alah pilih indonesia ubah adil sehat aman tara sejahtera,Positive
8,2023-06-28,1092631489961910273,https://twitter.com/Raju89755360/status/1674068550183526404,Selamat Idul Adha 10 Djulhijjah 1444 H / 29 Juni 2023. Semoga Allah SWT. Memberikan ganjaran Pahala Haji Mabrur dan Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia 2024. Aamiin Yaa Robbal'alamiin 🤲🤲🤲,selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin selamat idul adha djulhijah h juni moga alah swt beri ganjar pahala haji mabrur meridhoi bapak anies rasyid baswedan presiden indonesia aamin robal alamin,Positive
9,2023-06-28,1601805757590040576,https://twitter.com/Taliwangku/status/1674056347271196678,"Rezim kenapa CAWE CAWE ... ?? Klw Program Kerja Pemerintah saat ini Pro RAKYAT , ngapain BINGUNG ,STRESS ... sampai Ngurusin Pengganti nya ... Berarti saat ini Banyak MASALAH dengan PEMERINTAHAN SEKARANG ... PILIHAN KITA ... ANIES IS THE BEST PRESIDEN INDONESIA 2024",rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia rezim cawe cawe klw program kerja perintah sat pro rakyat kapai bingung stres ngurusin anti nya arti sat banyak masalah perintah sekarang pilih anies is the best presiden indonesia,Positive
