word,paslon,sentiment
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
,anies,
