,created_at,user_id_str,username,tweet_url,Tweet,no_double,no_alay,clean_manual,stemmed,no_stopwords
0,2023-06-29,4600161918,khumaedi26,https://twitter.com/khumaedi26/status/1674472026873167872,Kita dorong Anies Baswedan dipilih mayoritas rakyat Indonesia menjadi Presiden RI THN 2024,Kita dorong Anies Baswedan dipilih mayoritas rakyat Indonesia menjadi Presiden RI THN 2024,Kita dorong Anies Baswedan dipilih mayoritas rakyat Indonesia menjadi Presiden RI THN 2024,Kita dorong Anies Baswedan dipilih mayoritas Indonesia Presiden RI THN 2024,kita dorong anies baswedan pilih mayoritas indonesia presiden ri thn 2024,Kita dorong Anies Baswedan dipilih mayoritas rakyat Indonesia menjadi Presiden RI THN 2024
1,2023-06-29,1429040840932872193,EndyNugroho8,https://twitter.com/EndyNugroho8/status/1674333785729667072,DASYATTT... Tak Bosan Melihat Temu Kebangsaan RELAWAN ANIES Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩,DASYAT. Tak Bosan Melihat Temu Kebangsan RELAWAN ANIES Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩,DASYAT. Tak Bosan Melihat Temu Kebangsan RELAWAN ANIES Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩,DASYAT. Tak Bosan Melihat Temu Kebangsan RELAWAN ANIES Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩,dasyat tak bosan lihat temu kebangsan rawan anies semangat yg luar biasa telah narasi2 yg sampai penuh harap songsong ubah indonesia yg lebih baik ayo rapat baris sukses anies presiden 2024 sama anies rakyat sejahtera,DASYAT. Tak Bosan Melihat Temu Kebangsan RELAWAN ANIES Semangat Yg Luar Biasa Setelah Narasi2 Yg Disampaikan Penuh HARAPAN Menyongsong Perubahan Indonesia Yg Lebih Baik. Ayo Rapatkan Barisan Sukseskan Anies Presiden 2024. Bersama Anies Rakyat Sejahtera.👍🤝💪🇮🇩
2,2023-06-29,59683667,kangsata,https://twitter.com/kangsata/status/1674284799761223680,setelah 2024 Pak Anies berkuasa mau gak jejak Presiden ke7 di hapus dr Bumi Indonesia ?,setelah 2024 Pak Anies berkuasa mau gak jejak Presiden ke7 di hapus dr Bumi Indonesia ?,setelah 2024 Pak Anies berkuasa mau enggak jejak Presiden ke7 di hapus dari Bumi Indonesia ?,setelah 2024 Pak Anies berkuasa enggak jejak Presiden ke7 di hapus dari Bumi Indonesia ?,telah 2024 pak anies kuasa enggak jejak presiden ke7 di hapus dari bumi indonesia,2024 Pak Anies berkuasa mau enggak jejak Presiden ke7 hapus Bumi Indonesia ?
3,2023-06-29,1644712105575346176,Muhamma14431514,https://twitter.com/Muhamma14431514/status/1674284296436346881,Kita doakan yang baik baik aja ya semoga 2024 Anies Presiden 👍 jangan sampai Indonesia Dipimpin petugas partai lagi atau oleh orang yang pernah berjanji akan timbul tenggelam bersama rakyat tapi akhirnya tenggelam beneran karena berkolaborasi dengan penguasa 😁,Kita doakan yang baik baik aja ya semoga 2024 Anies Presiden 👍 jangan sampai Indonesia Dipimpin petugas partai lagi atau oleh orang yang pernah berjanji akan timbul tengelam bersama rakyat tapi akhirnya tengelam beneran karena berkolaborasi dengan penguasa 😁,Kita doakan yang baik baik saja ya semoga 2024 Anies Presiden 👍 jangan sampai Indonesia Dipimpin petugas partai lagi atau oleh orang yang pernah berjanji akan timbul tengelam bersama rakyat tapi akhirnya tengelam benaran karena berkolaborasi dengan penguasa 😁,Kita doakan yang baik baik saja ya 2024 Anies Presiden 👍 jangan sampai Indonesia Dipimpin petugas lagi atau oleh yang pernah berjanji akan timbul tengelam tapi akhirnya tengelam benaran karena berkolaborasi dengan penguasa 😁,kita doa yang baik baik saja ya 2024 anies presiden jangan sampai indonesia pimpin tugas lagi atau oleh yang pernah janji akan timbul tengelam tapi akhir tengelam benar karena kolaborasi dengan kuasa,Kita doakan baik baik ya semoga 2024 Anies Presiden 👍 jangan Indonesia Dipimpin petugas partai atau orang pernah berjanji timbul tengelam bersama rakyat akhirnya tengelam benaran berkolaborasi penguasa 😁
4,2023-06-29,1461212153122209794,SyafrudinTiada,https://twitter.com/SyafrudinTiada/status/1674266811007922178,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG PEMIMPIN BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG PEMIMPIN BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG PEMIMPIN BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG PEMIMPIN BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI,itu sebab rakyat indonesia damba sosok bung anies sbg presiden indonesia 2024 milik besik komplit sbg pimpin hati rakyat jiwa rakyat makmur indonesia kami sejahtera indonesia kami harmonis anut indonesia kami,ITU SEBAB RAKYAT INDONESIA DAMBAKAN SOSOK BUNG ANIES SBG PRESIDEN INDONESIA 2024 MEMILIKI BESIK KOMPLIT SBG PEMIMPIN BERHATI RAKYAT BERJIWA MERAKYAT MAKMUR INDONESIA KAMI SEJAHTERA INDONESIA KAMI HARMONIS ANUTAN INDONESIA KAMI
5,2023-06-29,1601805757590040576,Taliwangku,https://twitter.com/Taliwangku/status/1674228927211126784,Bapak Emang cocok jadi PRESIDEN MEDSOS ... klw Presiden Indonesia 2024 .. ANIES IS THE BEST PRESIDEN INDONESIA 2024,Bapak Emang cocok jadi PRESIDEN MEDSOS . klw Presiden Indonesia 2024 . ANIES IS THE BEST PRESIDEN INDONESIA 2024,Bapak Emang cocok jadi PRESIDEN MEDSOS . kalau Presiden Indonesia 2024 . ANIES IS THE BEST PRESIDEN INDONESIA 2024,Bapak Emang PRESIDEN MEDSOS . Presiden Indonesia 2024 . ANIES IS THE BEST PRESIDEN INDONESIA 2024,bapak emang presiden medsos presiden indonesia 2024 anies is the best presiden indonesia 2024,Bapak Emang cocok jadi PRESIDEN MEDSOS . kalau Presiden Indonesia 2024 . ANIES IS THE BEST PRESIDEN INDONESIA 2024
6,2023-06-28,1603555147639967745,kimingo2022,https://twitter.com/kimingo2022/status/1674189830924931072,"2024 Ganjar presiden agar Indonesia menuju tahun emas 2045, singkirkan anies, libas pendukung pekoknya. kalau perlu buang ke pulau terpencil. warga negara gak berguna","2024 Ganjar presiden agar Indonesia menuju tahun emas 2045, singkirkan anies, libas pendukung pekoknya. kalau perlu buang ke pulau terpencil. warga negara gak berguna","2024 Ganjar presiden agar Indonesia menuju tahun emas 2045, singkirkan anies, libas pendukung pekoknya. kalau perlu buang ke pulau terpencil. warga negara enggak berguna","2024 Ganjar agar Indonesia menuju emas 2045, singkirkan anies, libas pendukung pekoknya. perlu buang ke pulau terpencil. negara enggak berguna",2024 ganjar agar indonesia tuju emas 2045 singkir anies libas dukung kok perlu buang ke pulau pencil negara enggak guna,"2024 Ganjar presiden Indonesia menuju tahun emas 2045, singkirkan anies, libas pendukung pekoknya. kalau perlu buang pulau terpencil. warga negara enggak berguna"
7,2023-06-28,1097107026956627968,jonsa61664335,https://twitter.com/jonsa61664335/status/1674069715893776385,"Barrakallahu fiikum pak Anies, selamat Idhul Adha dan selamat sukses aman dlm mejalani proses pencapresan utk meraih kemenangan pd pilpres 14/02/2024 menjadi Presiden RI yg diridhoi Allah, dipilih rakyat Indonesia yg inginkan perubahan lebih maju adil sehat aman setara sejahtera","Barakalahu fikum pak Anies, selamat Idhul Adha dan selamat sukses aman dlm mejalani proses pencapresan utk meraih kemenangan pd pilpres 14/02/2024 menjadi Presiden RI yg diridhoi Alah, dipilih rakyat Indonesia yg inginkan perubahan lebih maju adil sehat aman setara sejahtera","Barakalahu fikum pak Anies, selamat Idhul Adha dan selamat sukses aman dalam mejalani proses pencapresan untuk meraih kemenangan pada pilpres 14/02/2024 menjadi Presiden RI yang diridhoi Alah, dipilih rakyat Indonesia yang inginkan perubahan lebih maju adil sehat aman setara sejahtera","Barakalahu fikum pak Anies, selamat Idhul Adha dan selamat sukses aman dalam mejalani proses pencapresan untuk meraih kemenangan pada 14/02/2024 Presiden RI yang diridhoi Alah, dipilih Indonesia yang inginkan perubahan adil sehat aman setara sejahtera",barakalahu fikum pak anies selamat idhul adha dan selamat sukses aman dalam mejalani proses pencapresan untuk raih menang pada 14 02 2024 presiden ri yang diridhoi alah pilih indonesia yang ingin ubah adil sehat aman tara sejahtera,"Barakalahu fikum pak Anies, selamat Idhul Adha selamat sukses aman mejalani proses pencapresan meraih kemenangan pilpres 14/02/2024 menjadi Presiden RI diridhoi Alah, dipilih rakyat Indonesia inginkan perubahan lebih maju adil sehat aman setara sejahtera"
8,2023-06-28,1092631489961910273,Raju89755360,https://twitter.com/Raju89755360/status/1674068550183526404,Selamat Idul Adha 10 Djulhijjah 1444 H / 29 Juni 2023. Semoga Allah SWT. Memberikan ganjaran Pahala Haji Mabrur dan Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia 2024. Aamiin Yaa Robbal'alamiin 🤲🤲🤲,Selamat Idul Adha 10 Djulhijah 14 H / 29 Juni 2023. Semoga Alah SWT. Memberikan ganjaran Pahala Haji Mabrur dan Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia 2024. Aamin Ya Robal'alamin 🤲,Selamat Idul Adha 10 Djulhijah 14 H / 29 Juni 2023. Semoga Alah SWT. Memberikan ganjaran Pahala Haji Mabrur dan Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia 2024. Aamin Ya Robal'alamin 🤲,Selamat Idul Adha 10 Djulhijah 14 H / 29 Juni 2023. Semoga Alah SWT. Memberikan ganjaran Pahala Haji Mabrur dan Meridhoi Bapak Anies Rasyid Baswedan Presiden Indonesia 2024. Aamin Ya Robal'alamin 🤲,selamat idul adha 10 djulhijah 14 h 29 juni 2023 moga alah swt beri ganjar pahala haji mabrur dan meridhoi bapak anies rasyid baswedan presiden indonesia 2024 aamin ya robal alamin,Selamat Idul Adha 10 Djulhijah 14 H / 29 Juni 2023. Semoga Alah SWT. Memberikan ganjaran Pahala Haji Mabrur Meridhoi Bapak Anies Rasyid Baswedan menjadi Presiden Indonesia 2024. Aamin Ya Robal'alamin 🤲
9,2023-06-28,1601805757590040576,Taliwangku,https://twitter.com/Taliwangku/status/1674056347271196678,"Rezim kenapa CAWE CAWE ... ?? Klw Program Kerja Pemerintah saat ini Pro RAKYAT , ngapain BINGUNG ,STRESS ... sampai Ngurusin Pengganti nya ... Berarti saat ini Banyak MASALAH dengan PEMERINTAHAN SEKARANG ... PILIHAN KITA ... ANIES IS THE BEST PRESIDEN INDONESIA 2024","Rezim kenapa CAWE CAWE . ? Klw Program Kerja Pemerintah sat ini Pro RAKYAT , ngapain BINGUNG ,STRES . sampai Ngurusin Penganti nya . Berarti sat ini Banyak MASALAH dengan PEMERINTAHAN SEKARANG . PILIHAN KITA . ANIES IS THE BEST PRESIDEN INDONESIA 2024","Rezim kenapa CAWE CAWE . ? Klw Program Kerja Pemerintah sat ini Pro RAKYAT , mengapai BINGUNG ,STRES . sampai Ngurusin Penganti nya . Berarti sat ini Banyak MASALAH dengan PEMERINTAHAN SEKARANG . PILIHAN KITA . ANIES IS THE BEST PRESIDEN INDONESIA 2024","Rezim kenapa CAWE CAWE . ? Klw Program Kerja Pemerintah sat ini Pro RAKYAT , mengapai BINGUNG ,STRES . sampai Ngurusin Penganti nya . Berarti sat ini Banyak MASALAH dengan PEMERINTAHAN SEKARANG . PILIHAN KITA . ANIES IS THE BEST PRESIDEN INDONESIA 2024",rezim kenapa cawe cawe klw program kerja perintah sat ini pro rakyat kapai bingung stres sampai ngurusin anti nya arti sat ini banyak masalah dengan perintah sekarang pilih kita anies is the best presiden indonesia 2024,"Rezim CAWE CAWE . ? Klw Program Kerja Pemerintah sat Pro RAKYAT , mengapai BINGUNG ,STRES . Ngurusin Penganti nya . Berarti sat Banyak MASALAH PEMERINTAHAN SEKARANG . PILIHAN KITA . ANIES IS THE BEST PRESIDEN INDONESIA 2024"
