,Date,User ID,Tweet,label,Clean
1,2023-04-16,771030588.0,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Positive,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
2,2023-04-16,380755133.0,lanjut pak anies kita kawal sampai jadi presiden,Positive,lanjut pak kita kawal sampai jadi
5,2023-04-16,634227637.0,kader pdip jadi presiden yang mana menterinya impor pangan,Negative,kader pdip jadi yang mana menterinya impor pangan
6,2023-04-16,634227637.0,jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat,Positive,jika tidak ada deklarasi dari partai pendukung maka hasil ini tak bermanfaat
7,2023-04-16,634227637.0,suara rakyat,Positive,suara rakyat
8,2023-04-16,171458202.0,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative,amien rais akan pilih bila gagal jadi pada
9,2023-04-16,634227637.0,siapa dulu gunernurnya,Positive,siapa dulu gunernurnya
10,2023-04-16,634227637.0,kpk bergerak keadilan bagi seluruh rakyat indonesia,Negative,kpk bergerak keadilan bagi seluruh rakyat
11,2023-04-16,634227637.0,anies prabowo,Positive,
12,2023-04-16,634227637.0,bisa jadi gubernur karena ada partai yang mendukungnya,Negative,bisa jadi gubernur karena ada partai yang mendukungnya
13,2023-04-16,634227637.0,pikirin kenapa bisa kalah,Negative,pikirin kenapa bisa kalah
14,2023-04-16,634227637.0,pejabat itu dari partai politik lu kritik partainya,Negative,pejabat itu dari partai politik lu kritik partainya
15,2023-04-16,634227637.0,nggak terkejut,Positive,nggak terkejut
16,2023-04-16,634227637.0,lanjut,Positive,lanjut
17,2023-04-16,634227637.0,ya sudah kita yang pro anies akan selalu berada di luar istana,Positive,sudah kita yang pro akan selalu berada di luar istana
38,2023-04-15,252625269.0,achmadi yuk kita dukung anies baswedan presiden ri,Positive,achmadi yuk kita dukung
42,2023-04-15,252625269.0,id mari kita dukung anies baswedan presiden ri,Positive,id mari kita dukung
45,2023-04-15,428008436.0,insya allah pak anies presiden ri dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri,Positive,insya allah pak dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri
53,2023-04-15,132061075.0,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan aja lagi pas anies jadi presiden gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut nya,Negative,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan lagi pas jadi gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut
66,2023-04-15,2691990056.0,makar alloh swt lebih bagus dan berlaku in sya alloh pak anies baswedan the next presiden ri aamiinx yra,Positive,makar alloh swt lebih bagus dan berlaku in sya alloh pak the next aamiinx yra
68,2023-04-15,3731381352.0,yang mengusung anies baswedan sebagai calon presiden di pilpres prabowo subianto,Positive,yang mengusung sebagai di
70,2023-04-15,59677074.0,semoga kalau anies jadi presiden orang ini dicopot dari jabatannya,Positive,semoga kalau jadi orang ini dicopot dari jabatannya
74,2023-04-15,634227637.0,kereta cepat cepat cepat,Negative,kereta cepat cepat cepat
75,2023-04-15,4011609674.0,pak anies ustadz mana yg hafus ditemui dan ustadz juga tahu siapa saja yg layak ditemui barokallah pak anies dan gus baha,Positive,pak ustadz mana hafus ditemui dan ustadz juga tahu siapa saja layak ditemui barokallah pak dan gus baha
78,2023-04-15,634227637.0,lu jadiin masjid dan takjil sebagai materi cerita bohong,Negative,lu jadiin masjid dan takjil sebagai materi cerita bohong
79,2023-04-15,4011609674.0,romadhon ketika amal dilipat gandakan ketika doa diijabah pak anies menyepi insya allah,Positive,romadhon ketika amal dilipat gandakan ketika doa diijabah pak menyepi insya allah
85,2023-04-14,3158832157.0,selama ini si curut sitompul nggak waras kalau lgi memfitnah anies baswedan presiden ri,Positive,selama ini si curut sitompul nggak waras kalau memfitnah
86,2023-04-14,30766806.0,festival hadrah seprovinsi jawa timur ishari nu gema abw via,Positive,festival hadrah seprovinsi jawa timur ishari nu gema abw via
87,2023-04-14,30766806.0,festival hadrah ramadhan  ishari nu gema abw,Positive,festival hadrah ramadhan ishari nu gema abw
89,2023-04-14,428008436.0,anies presiden ri insya allahsehat terus pak,Positive,insya allahsehat terus pak
92,2023-04-14,40730991.0,saat di madinah mashaallah sampai penjual di madinah pun tahu pak bismillah pak anies jadi presiden biidznillah,Positive,saat di madinah mashaallah sampai penjual di madinah pun tahu pak bismillah pak jadi biidznillah
95,2023-04-14,428008436.0,anies presiden ri insya allah,Positive,insya allah
101,2023-04-14,106057603.0,partai berdiri bersama berkomitmen bersama untuk membangun perubahan untuk indonesia yang lebih baik menuju peradaban baru partai ke nya duta peradaban pendukung partai dalam mengusung anies rasyid baswedan sebagai calon presiden setuju ga fathur,Positive,partai berdiri bersama berkomitmen bersama untuk membangun perubahan untuk yang lebih baik menuju peradaban baru partai ke duta peradaban pendukung partai dalam mengusung rasyid sebagai setuju fathur
102,2023-04-14,299732033.0,nakula pecah jutaan jemaah teriakkan anies presiden ke,Positive,nakula pecah jutaan jemaah teriakkan ke
104,2023-04-14,2580513709.0,insyaallah malah naik bila tetap dukung  anies jd presiden,Positive,insyaallah malah naik bila tetap dukung
110,2023-04-14,1322178134.0,dalam menghadapi pilpres nasdem sebelumnya telah mendeklarasikan mantan gubernur dki jakarta anies baswedan sebagai calon presiden prabowo subianto,Positive,dalam menghadapi nasdem sebelumnya telah mendeklarasikan mantan gubernur dki jakarta sebagai
117,2023-04-14,41730943.0,ketua badan pembina organisasi keanggotaan dan kaderisasi bpopkk dpp partai demokrat herman khaeron buka suara soal adanya isu yang mengusung menko polhukam mahfud md sebagai pendamping anies baswedan pada pemilihan presiden,Positive,ketua badan pembina organisasi keanggotaan dan kaderisasi bpopkk dpp partai demokrat herman khaeron buka suara soal adanya isu yang mengusung menko polhukam mahfud md sebagai pendamping pada pemilihan
120,2023-04-14,3306055003.0,dan anies baswedan dalam survei mengenai kandidat calon presiden untuk pemilu di indonesia prabowo subianto,Negative,dan dalam mengenai kandidat untuk di
121,2023-04-14,3306055003.0,survei terbaru mengenai bursa calon presiden untuk pemilu yang dilakukan indonesia survey center isc menemukan bahwa prabowo subianto unggul dari ganjar pranowo dan anies baswedan prabowo subianto,Negative,terbaru mengenai bursa untuk yang dilakukan center isc menemukan bahwa unggul dari dan
124,2023-04-14,971638117.0,wahai orang baik  dikenal solid ayo follow acount resmi pks dan presiden pks agar tembus juta follower sd rabu februari pks menang anies presiden lihat video ayiceopesantrenpolitikcom,Positive,wahai orang baik dikenal solid ayo follow acount resmi pks dan pks agar tembus juta follower sd rabu februari pks menang lihat video ayiceopesantrenpolitikcom
131,2023-04-14,516555256.0,sy dukung anies baswedan jadi presiden ke,Positive,dukung jadi ke
135,2023-04-13,138632715.0,inismyname anies baswedan saja anak muda cerdas inshaallah menjadi presiden ri,Positive,saja anak muda cerdas inshaallah menjadi
152,2023-04-13,2920816987.0,mudahan presiden republik indonesia anies baswedan,Positive,mudahan republik
155,2023-04-13,59677074.0,raffi sama nagita nasibnya ga akan jauh beda sama bohir yg sekarang lagi sibuk ngamanin periode kalau anies jadi presiden,Positive,raffi sama nagita nasibnya akan jauh beda sama bohir sekarang lagi sibuk ngamanin periode kalau jadi
159,2023-04-13,2504072815.0,pak moeldoko membantah tudingan ahy bahwa peninjauan kembali pk yang dilayangkan untuk menjegal anies baswedan sebagai calon presiden gak ada hubungannya dengan anies suka berhalusinasi,Positive,pak moeldoko membantah tudingan ahy bahwa peninjauan kembali yang dilayangkan untuk menjegal sebagai ada hubungannya dengan suka berhalusinasi
163,2023-04-13,306615832.0,prabowo puan vs anies khofifah siapa jadi presiden ri,Negative,puan vs khofifah siapa jadi
169,2023-04-13,517937866.0,hidup anies presiden ke,Positive,hidup ke
183,2023-04-13,634227637.0,koruptor menyebar,Negative,koruptor menyebar
189,2023-04-13,509652077.0,andai pak sandi ini ga nerima pinangan jd cawapres dan tetap jd wagub bs jd gubernur dki andai anies yg kepilih jd presiden bs jd cawapres anies bs jd presiden,Positive,andai pak sandi ini nerima pinangan cawapres dan tetap wagub gubernur dki andai kepilih cawapres
190,2023-04-13,3158832157.0,chotimah ri buzzerp recehan makin panik dan ketakutan anies baswedan presiden ri,Positive,chotimah buzzerp recehan makin panik dan ketakutan
191,2023-04-13,3158832157.0,sudah hilang akal buzzerp recehan untuk memfitnah anies baswedan presiden,Positive,sudah hilang akal buzzerp recehan untuk memfitnah
211,2023-04-12,1916893075.0,insya allah pak anies presiden republik indonesia,Positive,insya allah pak republik
214,2023-04-12,1623010292.0,selama anies maju di pemilu maka iblis dr bani cebong spt ade ini akan selalu berusaha sekuat tenaga mengganggu utk menggagalkn pencalonan anies sbg capreskrn iblis akn kepanasan klo org baik jd presiden,Positive,selama maju di maka iblis bani cebong ade ini akan selalu berusaha sekuat tenaga mengganggu menggagalkn pencalonan sbg capreskrn iblis akn kepanasan klo baik
