,Date,User ID,Tweet,label,paslon,Clean
1,2023-04-16,771030588.0,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Positive,anies,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
2,2023-04-16,380755133.0,lanjut pak anies kita kawal sampai jadi presiden,Positive,anies,lanjut pak kita kawal sampai jadi
5,2023-04-16,634227637.0,kader pdip jadi presiden yang mana menterinya impor pangan,Negative,anies,kader pdip jadi yang mana menterinya impor pangan
6,2023-04-16,634227637.0,jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat,Positive,anies,jika tidak ada deklarasi dari partai pendukung maka hasil ini tak bermanfaat
7,2023-04-16,634227637.0,suara rakyat,Positive,anies,suara rakyat
8,2023-04-16,171458202.0,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative,anies,amien rais akan pilih bila gagal jadi pada
9,2023-04-16,634227637.0,siapa dulu gunernurnya,Positive,anies,siapa dulu gunernurnya
10,2023-04-16,634227637.0,kpk bergerak keadilan bagi seluruh rakyat indonesia,Negative,anies,kpk bergerak keadilan bagi seluruh rakyat
11,2023-04-16,634227637.0,anies prabowo,Positive,anies,
12,2023-04-16,634227637.0,bisa jadi gubernur karena ada partai yang mendukungnya,Negative,anies,bisa jadi gubernur karena ada partai yang mendukungnya
13,2023-04-16,634227637.0,pikirin kenapa bisa kalah,Negative,anies,pikirin kenapa bisa kalah
14,2023-04-16,634227637.0,pejabat itu dari partai politik lu kritik partainya,Negative,anies,pejabat itu dari partai politik lu kritik partainya
15,2023-04-16,634227637.0,nggak terkejut,Positive,anies,nggak terkejut
16,2023-04-16,634227637.0,lanjut,Positive,anies,lanjut
17,2023-04-16,634227637.0,ya sudah kita yang pro anies akan selalu berada di luar istana,Positive,anies,sudah kita yang pro akan selalu berada di luar istana
38,2023-04-15,252625269.0,achmadi yuk kita dukung anies baswedan presiden ri,Positive,anies,achmadi yuk kita dukung
42,2023-04-15,252625269.0,id mari kita dukung anies baswedan presiden ri,Positive,anies,id mari kita dukung
45,2023-04-15,428008436.0,insya allah pak anies presiden ri dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri,Positive,anies,insya allah pak dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri
