,Date,User ID,Tweet Count,Tweet Location,Tweet,label,Clean
1,2023-04-16,771030588.0,30121,"Palmerah, Jakarta",politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Positive,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
2,2023-04-16,380755133.0,230,Jakarta - Utara,lanjut pak anies kita kawal sampai jadi presiden,Positive,lanjut pak kita kawal sampai jadi
5,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",kader pdip jadi presiden yang mana menterinya impor pangan,Negative,kader pdip jadi yang mana menterinya impor pangan
6,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat,Positive,jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat
7,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",suara rakyat,Positive,suara rakyat
8,2023-04-16,171458202.0,35,Tangerang Selatan,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative,amien rais akan pilih subianto bila gagal jadi calon pada pilpres
9,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",siapa dulu gunernurnya,Positive,siapa dulu gunernurnya
10,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",kpk bergerak keadilan bagi seluruh rakyat indonesia,Negative,kpk bergerak keadilan bagi seluruh rakyat indonesia
11,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",anies prabowo,Positive,
12,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",bisa jadi gubernur karena ada partai yang mendukungnya,Negative,bisa jadi gubernur karena ada partai yang mendukungnya
13,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",pikirin kenapa bisa kalah,Negative,pikirin kenapa bisa kalah
14,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",pejabat itu dari partai politik lu kritik partainya,Negative,pejabat itu dari partai politik lu kritik partainya
15,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",nggak terkejut,Positive,nggak terkejut
16,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",lanjut,Positive,lanjut
17,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",ya sudah kita yang pro anies akan selalu berada di luar istana,Positive,ya sudah kita yang pro akan selalu berada di luar istana
38,2023-04-15,252625269.0,99568,"Pati, Central Java, Indonesia",achmadi yuk kita dukung anies baswedan presiden ri,Positive,achmadi yuk kita dukung
42,2023-04-15,252625269.0,99568,"Pati, Central Java, Indonesia",id mari kita dukung anies baswedan presiden ri,Positive,id mari kita dukung
45,2023-04-15,428008436.0,1216,,insya allah pak anies presiden ri dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri,Positive,insya allah pak dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri
53,2023-04-15,132061075.0,14040,,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan aja lagi pas anies jadi presiden gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut nya,Negative,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan aja lagi pas jadi gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut nya
66,2023-04-15,2691990056.0,532,"Kota Surabaya, Jawa Timur",makar alloh swt lebih bagus dan berlaku in sya alloh pak anies baswedan the next presiden ri aamiinx yra,Positive,makar alloh swt lebih bagus dan berlaku in sya alloh pak the next aamiinx yra
68,2023-04-15,3731381352.0,12664,,yang mengusung anies baswedan sebagai calon presiden di pilpres prabowo subianto,Positive,yang mengusung sebagai calon di pilpres subianto
70,2023-04-15,59677074.0,6366,"Jakarta Capital Region, Indone",semoga kalau anies jadi presiden orang ini dicopot dari jabatannya,Positive,semoga kalau jadi orang ini dicopot dari jabatannya
74,2023-04-15,634227637.0,5297,"Jawa Barat, Indonesia",kereta cepat cepat cepat,Negative,kereta cepat cepat cepat
75,2023-04-15,4011609674.0,7937,,pak anies ustadz mana yg hafus ditemui dan ustadz juga tahu siapa saja yg layak ditemui barokallah pak anies dan gus baha,Positive,pak ustadz mana yg hafus ditemui dan ustadz juga tahu siapa saja yg layak ditemui barokallah pak dan gus baha
78,2023-04-15,634227637.0,5297,"Jawa Barat, Indonesia",lu jadiin masjid dan takjil sebagai materi cerita bohong,Negative,lu jadiin masjid dan takjil sebagai materi cerita bohong
79,2023-04-15,4011609674.0,7937,,romadhon ketika amal dilipat gandakan ketika doa diijabah pak anies menyepi insya allah,Positive,romadhon ketika amal dilipat gandakan ketika doa diijabah pak menyepi insya allah
85,2023-04-14,3158832157.0,1657,,selama ini si curut sitompul nggak waras kalau lgi memfitnah anies baswedan presiden ri,Positive,selama ini si curut sitompul nggak waras kalau lgi memfitnah
86,2023-04-14,30766806.0,465204,"Tomage-Fakfak, Indonesia",festival hadrah seprovinsi jawa timur ishari nu gema abw via,Positive,festival hadrah seprovinsi jawa timur ishari nu gema abw via
87,2023-04-14,30766806.0,465204,"Tomage-Fakfak, Indonesia",festival hadrah ramadhan  ishari nu gema abw,Positive,festival hadrah ramadhan  ishari nu gema abw
89,2023-04-14,428008436.0,1216,,anies presiden ri insya allahsehat terus pak,Positive,insya allahsehat terus pak
92,2023-04-14,40730991.0,34930,Jakarta,saat di madinah mashaallah sampai penjual di madinah pun tahu pak bismillah pak anies jadi presiden biidznillah,Positive,saat di madinah mashaallah sampai penjual di madinah pun tahu pak bismillah pak jadi biidznillah
95,2023-04-14,428008436.0,1216,,anies presiden ri insya allah,Positive,insya allah
101,2023-04-14,106057603.0,22209,dki jakarta,partai berdiri bersama berkomitmen bersama untuk membangun perubahan untuk indonesia yang lebih baik menuju peradaban baru partai ke nya duta peradaban pendukung partai dalam mengusung anies rasyid baswedan sebagai calon presiden setuju ga fathur,Positive,partai berdiri bersama berkomitmen bersama untuk membangun perubahan untuk indonesia yang lebih baik menuju peradaban baru partai ke nya duta peradaban pendukung partai dalam mengusung rasyid sebagai calon setuju ga fathur
102,2023-04-14,299732033.0,11530,,nakula pecah jutaan jemaah teriakkan anies presiden ke,Positive,nakula pecah jutaan jemaah teriakkan ke
104,2023-04-14,2580513709.0,1959,kota tangerang,insyaallah malah naik bila tetap dukung  anies jd presiden,Positive,insyaallah malah naik bila tetap dukung  jd
110,2023-04-14,1322178134.0,2371,,dalam menghadapi pilpres nasdem sebelumnya telah mendeklarasikan mantan gubernur dki jakarta anies baswedan sebagai calon presiden prabowo subianto,Positive,dalam menghadapi pilpres nasdem sebelumnya telah mendeklarasikan mantan gubernur dki jakarta sebagai calon subianto
117,2023-04-14,41730943.0,1672989,,ketua badan pembina organisasi keanggotaan dan kaderisasi bpopkk dpp partai demokrat herman khaeron buka suara soal adanya isu yang mengusung menko polhukam mahfud md sebagai pendamping anies baswedan pada pemilihan presiden,Positive,ketua badan pembina organisasi keanggotaan dan kaderisasi bpopkk dpp partai demokrat herman khaeron buka suara soal adanya isu yang mengusung menko polhukam mahfud md sebagai pendamping pada pemilihan
120,2023-04-14,3306055003.0,13730,San Andreas,dan anies baswedan dalam survei mengenai kandidat calon presiden untuk pemilu di indonesia prabowo subianto,Negative,dan dalam survei mengenai kandidat calon untuk pemilu di indonesia subianto
121,2023-04-14,3306055003.0,13730,San Andreas,survei terbaru mengenai bursa calon presiden untuk pemilu yang dilakukan indonesia survey center isc menemukan bahwa prabowo subianto unggul dari ganjar pranowo dan anies baswedan prabowo subianto,Negative,survei terbaru mengenai bursa calon untuk pemilu yang dilakukan indonesia survey center isc menemukan bahwa subianto unggul dari dan subianto
124,2023-04-14,971638117.0,10808,"DKI Jakarta, Indonesia",wahai orang baik  dikenal solid ayo follow acount resmi pks dan presiden pks agar tembus juta follower sd rabu februari pks menang anies presiden lihat video ayiceopesantrenpolitikcom,Positive,wahai orang baik  dikenal solid ayo follow acount resmi pks dan pks agar tembus juta follower sd rabu februari pks menang lihat video ayiceopesantrenpolitikcom
131,2023-04-14,516555256.0,36215,kopaja 62,sy dukung anies baswedan jadi presiden ke,Positive,sy dukung jadi ke
135,2023-04-13,138632715.0,1135,Jakarta,inismyname anies baswedan saja anak muda cerdas inshaallah menjadi presiden ri,Positive,inismyname saja anak muda cerdas inshaallah menjadi
152,2023-04-13,2920816987.0,4129,267,mudahan presiden republik indonesia anies baswedan,Positive,mudahan republik indonesia
155,2023-04-13,59677074.0,6366,"Jakarta Capital Region, Indone",raffi sama nagita nasibnya ga akan jauh beda sama bohir yg sekarang lagi sibuk ngamanin periode kalau anies jadi presiden,Positive,raffi sama nagita nasibnya ga akan jauh beda sama bohir yg sekarang lagi sibuk ngamanin periode kalau jadi
159,2023-04-13,2504072815.0,18834,"Pakuan Ratu, Indonesia",pak moeldoko membantah tudingan ahy bahwa peninjauan kembali pk yang dilayangkan untuk menjegal anies baswedan sebagai calon presiden gak ada hubungannya dengan anies suka berhalusinasi,Positive,pak moeldoko membantah tudingan ahy bahwa peninjauan kembali pk yang dilayangkan untuk menjegal sebagai calon gak ada hubungannya dengan suka berhalusinasi
163,2023-04-13,306615832.0,7501,,prabowo puan vs anies khofifah siapa jadi presiden ri,Negative,puan vs khofifah siapa jadi
169,2023-04-13,517937866.0,34121,"Auckland, New Zealand",hidup anies presiden ke,Positive,hidup ke
183,2023-04-13,634227637.0,5297,"Jawa Barat, Indonesia",koruptor menyebar,Negative,koruptor menyebar
189,2023-04-13,509652077.0,16062,MAKASSAR,andai pak sandi ini ga nerima pinangan jd cawapres dan tetap jd wagub bs jd gubernur dki andai anies yg kepilih jd presiden bs jd cawapres anies bs jd presiden,Positive,andai pak sandi ini ga nerima pinangan jd cawapres dan tetap jd wagub bs jd gubernur dki andai yg kepilih jd bs jd cawapres bs jd
190,2023-04-13,3158832157.0,1657,,chotimah ri buzzerp recehan makin panik dan ketakutan anies baswedan presiden ri,Positive,chotimah buzzerp recehan makin panik dan ketakutan
191,2023-04-13,3158832157.0,1657,,sudah hilang akal buzzerp recehan untuk memfitnah anies baswedan presiden,Positive,sudah hilang akal buzzerp recehan untuk memfitnah
211,2023-04-12,1916893075.0,4805,Dunia,insya allah pak anies presiden republik indonesia,Positive,insya allah pak republik indonesia
214,2023-04-12,1623010292.0,20435,,selama anies maju di pemilu maka iblis dr bani cebong spt ade ini akan selalu berusaha sekuat tenaga mengganggu utk menggagalkn pencalonan anies sbg capreskrn iblis akn kepanasan klo org baik jd presiden,Positive,selama maju di pemilu maka iblis dr bani cebong spt ade ini akan selalu berusaha sekuat tenaga mengganggu utk menggagalkn pencalonan sbg capreskrn iblis akn kepanasan klo org baik jd
231,2023-04-12,497574374.0,1384,"Tuban, Indonesia",didu ri kalau inimah sedekah pak meski jelas foto terpanpang dan ada tulisan presiden alasannya karena bukan anies pelakunya tapi kalau anies meski jumatan dimasjid maka itu kampanye anda sehat ri,Negative,didu kalau inimah sedekah pak meski jelas foto terpanpang dan ada tulisan alasannya karena bukan pelakunya tapi kalau meski jumatan dimasjid maka itu kampanye anda sehat
239,2023-04-12,3158832157.0,1657,,sudah mandul serangan densy ke anies baswedan presiden ri,Negative,sudah mandul serangan densy ke
249,2023-04-12,3306055003.0,13730,San Andreas,peneliti senior indonesia survey center isc chairul ansari mengungkapkan empat alasan prabowo subianto lebih unggul dari ganjar pranowo dan anies baswedan dalam survei bursa calon presiden untuk pemilu mendatang prabowo subianto,Negative,peneliti senior indonesia survey center isc chairul ansari mengungkapkan empat alasan subianto lebih unggul dari dan dalam survei bursa calon untuk pemilu mendatang subianto
252,2023-04-12,55507370.0,381004,Pulo Gadung,sosok mahfud md digadanggadang cocok untuk menjadi calon wakil presiden pasangan anies baswedan ataupun ganjar pranowo dalam kancah pilpres simak berita selengkapnya di politik,Positive,sosok mahfud md digadanggadang cocok untuk menjadi calon wakil pasangan ataupun dalam kancah pilpres simak berita selengkapnya di politik
254,2023-04-12,284771200.0,69,,anies baswedan,Positive,
255,2023-04-12,2989509481.0,149,,anies baswedan,Positive,
256,2023-04-12,2829775256.0,72,jeddah ksa,anies baswedan,Positive,
257,2023-04-12,2214699186.0,73,,anies baswedan,Positive,
258,2023-04-12,298356051.0,118,,anies baswedan,Positive,
282,2023-04-12,465280582.0,13680,jakarta,simak bukan ganjar anies ataupun prabowo ahli tarot ramal presiden itu keturunan jawa dan suka pakai topi poskota,Negative,simak bukan ataupun ahli tarot ramal itu keturunan jawa dan suka pakai topi poskota
283,2023-04-12,990237626.0,374752,Indonesia,mahfud md dinilai tidak cocok mendampingi anies baswedan bertarung di pilpres karena bagian dari rezim pemerintahan presiden joko widodo bagaimana menurutmu tulis di kolom komentar ya,Negative,mahfud md dinilai tidak cocok mendampingi bertarung di pilpres karena bagian dari rezim pemerintahan joko widodo bagaimana menurutmu tulis di kolom komentar ya
284,2023-04-12,2718336037.0,12312,,sir mp relawan presiden jokowi harus netral pada pilpres sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi presiden jika jokowi tdk netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya pd th,Positive,sir mp relawan jokowi harus netral pada pilpres sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi jika jokowi tdk netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya pd th
285,2023-04-12,2718336037.0,12312,,sir mp relawan presiden jokowi harus netral pada pilpres sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi presiden jika jokowi tdk netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya th,Positive,sir mp relawan jokowi harus netral pada pilpres sikap tersebut bisa menyelamatkan bangsa ini termasuk karir politik jokowi setelah turun dari kursi jika jokowi tdk netral nasibnya terancam pasca purna tugas tirulah sikap netral sby di masa akhir jabatannya th
290,2023-04-12,1319417731.0,6222,,inismyname iya jokowi aja jd presiden didukung gerindra apalagi anies,Positive,inismyname iya jokowi aja jd didukung gerindra apalagi
292,2023-04-12,199609723.0,2504,,ditunggu saja presiden bpk anies baswedan jgn panik dan stres gt lah,Positive,ditunggu saja bpk jgn panik dan stres gt lah
305,2023-04-11,86900207.0,15821,Indonesia,pak menteri kalah ditikungan mulu ma abangda yang akhlaknya super duperitu ganti presiden,Positive,pak menteri kalah ditikungan mulu ma abangda yang akhlaknya super duperitu ganti
306,2023-04-11,634227637.0,5297,"Jawa Barat, Indonesia",lapor beli token listrik prabayar di pln mobile rincian sbb listrik pln denom rp biaya layanan rp metode pembayaran melalui va total bayar rp kwh yang didapat jadi harga kwh rpkwh,Negative,lapor beli token listrik prabayar di pln mobile rincian sbb listrik pln denom rp biaya layanan rp metode pembayaran melalui va total bayar rp kwh yang didapat jadi harga kwh rpkwh
307,2023-04-11,199609723.0,2504,,siap presiden orang cerdas pilih anies baswedan,Positive,siap orang cerdas pilih
308,2023-04-11,262626909.0,2425,Indonesia,abdillahtoha insya allah pak anies presiden ri,Positive,abdillahtoha insya allah pak
309,2023-04-11,174453386.0,42064,Jakarta,fahnoor inismyname org itu aneh pa anies diem aja salah dia uda warga biasa kalo kasih pendapat beda lagi narasi org siapa eluh pejabat bukan ngadih pendapat belom jadi presiden uda minta bukti perubahannya dimana aneh,Positive,fahnoor inismyname org itu aneh pa diem aja salah dia uda warga biasa kalo kasih pendapat beda lagi narasi org siapa eluh pejabat bukan ngadih pendapat belom jadi uda minta bukti perubahannya dimana aneh
311,2023-04-11,553451866.0,11199,,anies presiden ri,Positive,
315,2023-04-11,384190172.0,660,,alhamdulillah dukungan utk mas di pilpres hadir di tingkat desa bismillah mas anies the next presiden ri aamiin sir relawan pemilugembira,Positive,alhamdulillah dukungan utk mas di pilpres hadir di tingkat desa bismillah mas the next aamiin sir relawan pemilugembira
386,2023-04-11,100501797.0,742,Telukdalam,yang ngomong sekelas sampah bah mana gw percaya pak anies calon presiden indonesia,Positive,yang ngomong sekelas sampah bah mana gw percaya pak calon indonesia
390,2023-04-11,131875808.0,32705,kisaran,nng sama berarti jkw ps insya allah anies presiden indonesia,Positive,nng sama berarti jkw ps insya allah indonesia
392,2023-04-10,567132989.0,74327,,bahrawi santai aja nabi aja di fitnah sampai dibakar apalagi anies makin mantap aja nih presiden kita,Positive,bahrawi santai aja nabi aja di fitnah sampai dibakar apalagi makin mantap aja nih kita
397,2023-04-10,79380990.0,226,Jakarta,fahnoor inismyname nggak penting bang cuma orang yg ketakutan anies jadi presiden,Positive,fahnoor inismyname nggak penting bang cuma orang yg ketakutan jadi
398,2023-04-10,1285340365.0,572,Sumenep,perubahan itu mksdx presiden itu pasti berubah apakah ke prabowo atau ke ganjar makanya anies gk ngomong perubahan program,Negative,perubahan itu mksdx itu pasti berubah apakah ke atau ke makanya gk ngomong perubahan program
406,2023-04-10,127146934.0,13833,Indonesia,the real president masih dikuasai rezimjika istana gak happy pencapresan anies itu wajar masih rezim skrg yg akan memimpin lihatlah nanti prabowo akan menjadi presiden,Negative,the real president masih dikuasai rezimjika istana gak happy pencapresan itu wajar masih rezim skrg yg akan memimpin lihatlah nanti akan menjadi
410,2023-04-10,198888246.0,6515,Indonesia,aamiiiin anies presiden,Positive,aamiiiin
418,2023-04-10,2378093888.0,4716,Jakarta,rosiade anies untuk presiden,Positive,rosiade untuk
419,2023-04-10,2378093888.0,4716,Jakarta,rosiade anies untuk presiden,Positive,rosiade untuk
442,2023-04-10,117694469.0,2268,"Singapur, India",issue hanya seorang anies bikin panas semua sampai bikin koalisi gemuk bismillah anies presiden,Positive,issue hanya seorang bikin panas semua sampai bikin koalisi gemuk bismillah
454,2023-04-10,3548868619.0,16536,Kaki Langit,presiden pks bicara peluang duet aniessandi di pilpres,Positive,pks bicara peluang duet aniessandi di pilpres
456,2023-04-10,22365191.0,61758,"TB. Simatupang No. 82, Jakarta",deklarasi simpul energi garuda keadilan siap menangkan pks dan anies baswedan kami pemudapemudi pks dengan ini berikrar bahwa kami siap menangkan pks dan anies baswedan di pemilu dan pilpres tutur faruq presiden garuda keadilan,Positive,deklarasi simpul energi garuda keadilan siap menangkan pks dan kami pemudapemudi pks dengan ini berikrar bahwa kami siap menangkan pks dan di pemilu dan pilpres tutur faruq garuda keadilan
460,2023-04-10,59677074.0,6366,"Jakarta Capital Region, Indone",sudah lah ngga akan menang lawan ferdy sambo kalau mau keadilan yang mungkin sejalan dgn hati nurani kita ya pilih anies baswedan nanti sebagai presiden,Positive,sudah lah ngga akan menang lawan ferdy sambo kalau mau keadilan yang mungkin sejalan dgn hati nurani kita ya pilih nanti sebagai
471,2023-04-09,117694469.0,2268,"Singapur, India",bismillah dengan niat perubahan indonesia lebih baik anies baswedan presiden share dan like yang kita punya persatuan bukan modal uang serta koalisi besartapi dengan semangat perubahan indonesia kita lawan oligarki share video ini relawan anies terimakasih,Positive,bismillah dengan niat perubahan indonesia lebih baik share dan like yang kita punya persatuan bukan modal uang serta koalisi besartapi dengan semangat perubahan indonesia kita lawan oligarki share video ini relawan terimakasih
476,2023-04-09,1373657900.0,7057,Kuala Lumpur,pks menang anies presiden dari damansara kuala lumpur,Positive,pks menang dari damansara kuala lumpur
484,2023-04-09,374842781.0,21113,United States,enjeull kita kasih gassss kan biar pak anies segera naik dan goal presiden ri,Positive,enjeull kita kasih gassss kan biar pak segera naik dan goal
486,2023-04-09,756374106.0,6640,,asmara anies didu saewad idha sir,Negative,asmara didu saewad idha sir
509,2023-04-09,172766975.0,18590,"Bogor, Indonesia",prabowoganjaranies kalau orang ini nanti menjadi calon presiden pada tahun menurutmu siapa yg akan dapat suara terbanyak ayo dipilih dipilih ditutup besok senin jam ya,Negative,prabowoganjaranies kalau orang ini nanti menjadi calon pada tahun menurutmu siapa yg akan dapat suara terbanyak ayo dipilih dipilih ditutup besok senin jam ya
510,2023-04-09,771030588.0,30121,"Palmerah, Jakarta",politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Negative,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
518,2023-04-09,3180698048.0,154,"Gunung Putri, Indonesia",rosiade aahhh tenane to bang rosiade survei ps gp arb gak apalah yang penting insya allah pak anies rasyid baswedan menang presiden,Positive,rosiade aahhh tenane to bang rosiade survei ps gp arb gak apalah yang penting insya allah pak rasyid menang
521,2023-04-09,255866913.0,275514,"Palmerah, Jakarta",politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Negative,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
528,2023-04-09,174182746.0,1174,,apakah maksud zulhas presiden jokowi kendalikan koalisi besar utk melawan pak anies di pilpres bila presiden tidak bisa netral di pilpres nanti bagaimana dgn lembaga negara yg berada di bawah kendali presiden bisa dijamin netralitasnya,Negative,apakah maksud zulhas jokowi kendalikan koalisi besar utk melawan pak di pilpres bila tidak bisa netral di pilpres nanti bagaimana dgn lembaga negara yg berada di bawah kendali bisa dijamin netralitasnya
549,2023-04-09,384190172.0,660,,sudah pas itu kata bang mas adlh capres yg tumbuh bersemi di hati rkyt indonesia atas izin allah mas anies jd presiden ri aamiin sir relawan pemilugembira,Positive,sudah pas itu kata bang mas adlh capres yg tumbuh bersemi di hati rkyt indonesia atas izin allah mas jd aamiin sir relawan pemilugembira
585,2023-04-09,58880688.0,492721,Indonesia,sandiaga uno jawab wacana dampingi anies baswedan di pilpres restu prabowo jadi acuan sandiaga uno menjawab wacana dipasangkannya ia dengan calon presiden capres usungan nasdem anies baswedan restu prabowo jadi acuan,Negative,sandiaga uno jawab wacana dampingi di pilpres restu jadi acuan sandiaga uno menjawab wacana dipasangkannya ia dengan calon capres usungan nasdem restu jadi acuan
586,2023-04-09,60877658.0,8406,"Ambon, Maluku, Indonesia",oh pengangguran pantesss mau nyinyir tp lg puasan hahaha anies itu bkn pengangguran mas tp pensiunan rektor menteri dan gubernur skrg lg persiapan mau jd presiden indonesia tahun,Positive,oh pengangguran pantesss mau nyinyir tp lg puasan hahaha itu bkn pengangguran mas tp pensiunan rektor menteri dan gubernur skrg lg persiapan mau jd indonesia tahun
587,2023-04-09,788744100.0,188256,Pekanbaru,buka bersama anak yatim garda pemuda nasdem riau siap menangkan anies calon presiden,Positive,buka bersama anak yatim garda pemuda nasdem riau siap menangkan calon
599,2023-04-08,634227637.0,5297,"Jawa Barat, Indonesia",klaim miliaran tapi tak ada pasien ini kejahatan bidang kesehatan,Negative,klaim miliaran tapi tak ada pasien ini kejahatan bidang kesehatan
612,2023-04-08,428008436.0,1216,,samosir indah sekali diksinyainsya allah jika dia berkehendak pak anies presiden ri,Positive,samosir indah sekali diksinyainsya allah jika dia berkehendak pak
615,2023-04-08,64081822.0,618,Sidoarjo,sy dukung pak anies jd presiden ke,Positive,sy dukung pak jd ke
618,2023-04-08,3311131717.0,3773,,bagi kami anies presiden lihat video bung adam ali,Positive,bagi kami lihat video bung adam ali
620,2023-04-08,2540384172.0,3949,"Kota Surabaya, Jawa Timur",semoga rakyat di cerdas dlm pilihan presiden krn gelagat gerombolan partai di luar koalisi perubahan rame keroyok pengusung anies baswedan pdip last minute akan bergabung jadi pimpinan partai koalisi besar,Positive,semoga rakyat di cerdas dlm pilihan krn gelagat gerombolan partai di luar koalisi perubahan rame keroyok pengusung pdip last minute akan bergabung jadi pimpinan partai koalisi besar
627,2023-04-08,1695601676.0,1578,"Cimahi,Jawa Barat,Indonesia",saya dukung anies jadi presiden ke merdekaaaaa skarang baru presiden ke sabar ya pak anies,Positive,saya dukung jadi ke merdekaaaaa skarang baru ke sabar ya pak
629,2023-04-08,634227637.0,5297,"Jawa Barat, Indonesia",negara itu milik rakyat pemerintah itu hadir untuk sejahterakan rakyat,Positive,negara itu milik rakyat pemerintah itu hadir untuk sejahterakan rakyat
630,2023-04-08,2838677479.0,4071,Indonesia,inismyname sesuai dengan apa yang di sampaikan oleh alm gusdur bahwa orang yang paling ikhlas di negara ini adalah prabowo dulu telah menjadilan jokowi jadi presiden dan insyaallah di anies yang bakalan jadi presidennya,Positive,inismyname sesuai dengan apa yang di sampaikan oleh alm gusdur bahwa orang yang paling ikhlas di negara ini adalah dulu telah menjadilan jokowi jadi dan insyaallah di yang bakalan jadi presidennya
631,2023-04-08,634227637.0,5297,"Jawa Barat, Indonesia",banyak kios yang dikontrakkan banyak pedagang tanpa sewa kios apakah ekonomi ri baik saja,Negative,banyak kios yang dikontrakkan banyak pedagang tanpa sewa kios apakah ekonomi baik saja
636,2023-04-08,2329144706.0,2719,,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Negative,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon mendampingi pada pemilu
637,2023-04-08,2330187594.0,2868,,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Negative,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon mendampingi pada pemilu
638,2023-04-08,2307448885.0,2457,another side,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon presiden mendampingi anies baswedan pada pemilu,Negative,pengamat komunikasi politik universitas gadjah mada ugm nyarwi ahmad mengatakan gubernur jawa barat ridwan kamil bisa jadi kuda hitam bakal wakil calon mendampingi pada pemilu
646,2023-04-08,384190172.0,660,,mas adlh cnth pemimpin yg kebijakannya berorientasi pd pemenuhan hak dsr hdp masyarakatnya atas izin allah beliau presiden plhn rkyt di aamiin sir relawan pemilugembira,Positive,mas adlh cnth pemimpin yg kebijakannya berorientasi pd pemenuhan hak dsr hdp masyarakatnya atas izin allah beliau plhn rkyt di aamiin sir relawan pemilugembira
649,2023-04-08,732527053.0,519,"Bandung, Jawa Barat",trisatya setuju mas tetep anies presiden masa bodo dengan kualisi besar,Positive,trisatya setuju mas tetep masa bodo dengan kualisi besar
657,2023-04-08,604346693.0,3633,Indonesia,anies baswedan pasti dipilih dong support penuh anies baswedan untuk presiden ri ke,Positive,pasti dipilih dong support penuh untuk ke
658,2023-04-08,298356051.0,118,,generasi milenial pilih anies baswedan sebagai presiden ri  thread,Positive,generasi milenial pilih sebagai  thread
