,Date,User ID,Tweet Count,Tweet Location,Tweet,label,Clean
1,2023-04-16,771030588.0,621,No Place to KADRUN ,ojoo lali yooo yang cerdas pilih ganjar pranowo,Positive,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta dalam pemilihan mendatang
2,2023-04-16,380755133.0,621,No Place to KADRUN ,orang cerdas dukung den baguse ganjar pranowo,Positive,lanjut pak kita kawal sampai jadi
5,2023-04-16,634227637.0,103,,alhamdulillah presiden indonesia hanya ganjar pranowo yang dapat mempersatukan bangsa ini prabowo subianto dan anis baswedan kedua kandidat ini rekam jejaknya dikelilingi oleh kadrun dan cendana,Positive,kader pdip jadi yang mana menterinya impor pangan
6,2023-04-16,634227637.0,34,"Sulawesi Selatan, Indonesia",safari ramadhan dan doa bersama untuk bapak ganjar pranowo presiden indonesia pada kegiatan tersebut kami berkolaborasi dengan komunitas forum pemerhati anak bangsa tentunya di safari ramadhan ini kami sekaligus merangkaikan pasar murah rakyat yakni masyarakat wakka,Positive,jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat
7,2023-04-16,634227637.0,366,,mak ganjar sumatera utara mengucapkan selamat memperingati hut provinsi sumatra utara ke tahun,Positive,suara rakyat
8,2023-04-16,171458202.0,2197,,adil bersikap itu hebat dan amanah ganjar jg sama mudik bareng dg tulisan presiden ri,Positive,amien rais akan pilih subianto bila gagal jadi calon pada pilpres
9,2023-04-16,634227637.0,273,,beauty class yang di adakan srikandi ganjar dpw sulawesi selatan bersama milenial yang di adakan di kabupaten sengkang,Positive,siapa dulu gunernurnya
10,2023-04-16,634227637.0,46,"Nusa Tenggara Timur, Indonesia",hasil survei smrc yang dirilis barubaru ini menunjukkan bahwa dukungan untuk ganjar pranowo sebagai calon presiden pada pemilihan presiden semakin menguat,Positive,kpk bergerak keadilan bagi seluruh rakyat indonesia
11,2023-04-16,634227637.0,671,,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur papua sharon camilla papua,Positive,
12,2023-04-16,634227637.0,792,,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur papua sharon camilla papua,Positive,bisa jadi gubernur karena ada partai yang mendukungnya
13,2023-04-16,634227637.0,59,"Kota Kupang, NTT",pranowo,Positive,pikirin kenapa bisa kalah
14,2023-04-16,634227637.0,59,"Kota Kupang, NTT",pranowo,Positive,pejabat itu dari partai politik lu kritik partainya
15,2023-04-16,634227637.0,59,"Kota Kupang, NTT",pranowo,Positive,nggak terkejut
16,2023-04-16,634227637.0,40,,ganjar for presiden,Positive,lanjut
17,2023-04-16,634227637.0,858,,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur bima bu tejo bandung papua,Positive,ya sudah kita yang pro akan selalu berada di luar istana
38,2023-04-15,252625269.0,621,No Place to KADRUN ,pegl orang cerdas dukung ganjar pranowo,Positive,achmadi yuk kita dukung
42,2023-04-15,252625269.0,77,Indonesia,elektabilitas ganjar terus unggul untuk jadi calon presiden,Positive,id mari kita dukung
45,2023-04-15,428008436.0,1320,,deklarasi pendukung ganjar pranowo kota batu komunitas ganjar idolaku kota batu mengadakan deklarasi mendukunh ganjar pranowo sebagai presiden ri tahun,Positive,insya allah pak dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri
