,Date,User ID,Tweet Count,Tweet Location,Tweet,label,Clean
3,2023-04-16,4745573953.0,7395,,selamat hut kopassus ke semoga semangat patriotisme terus menyala dihati menjadi garda terdepan dalam menjaga kedaulatan amp keamanan negara republik indonesia maju terus kopassus sehat selalu bapak jenderal prabowo subianto presiden ri,Positive,selamat hut kopassus ke semoga semangat patriotisme terus menyala dihati menjadi garda terdepan dalam menjaga kedaulatan amp keamanan negara republik indonesia maju terus kopassus sehat selalu bapak jenderal subianto
5,2023-04-16,576755999.0,293022,"Kebumen, Indonesia",prabowo presiden cebong kampret pensiun,Negative,cebong kampret pensiun
12,2023-04-16,465280582.0,13673,jakarta,komunitas pedagang tabanan bali deklarasi dukung prabowo jadi presiden jurnas,Positive,komunitas pedagang tabanan bali deklarasi dukung jadi jurnas
13,2023-04-16,198400006.0,2215,JAKARTA,dari tetap bersama pk prabowo semoga pk prabowo menjadi presiden ri periode,Positive,dari tetap bersama pk semoga pk menjadi periode
14,2023-04-16,465280582.0,13673,jakarta,gemira dan semeton muslim bali deklarasi dukung prabowo presiden,Positive,gemira dan semeton muslim bali deklarasi dukung
15,2023-04-16,191951600.0,13842,KPK,istana presiden sudah menunggu jendral siap perintah jenderal,Positive,istana sudah menunggu jendral siap perintah jenderal
19,2023-04-16,171458202.0,35,Tangerang Selatan,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative,amien rais akan pilih subianto bila gagal jadi calon pada pilpres
20,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",anies prabowo,Negative,
22,2023-04-16,252415154.0,125348,,sngt tergantung presiden yg akan terpilih di kl saya berfikir secara intelektual bukan ikutan hanya presiden yg punya wibawa yg bs membantu kondisi ekonomi indonesia bukan presiden model jokowi tapi presiden bukan saya ikutan yg lain ini sdh dr dl jaman ada sby,Negative,sngt tergantung yg akan terpilih di kl saya berfikir secara intelektual bukan ikutan hanya yg punya wibawa yg bs membantu kondisi ekonomi indonesia bukan model jokowi tapi bukan saya ikutan yg lain ini sdh dr dl jaman ada sby
23,2023-04-16,465280582.0,13673,jakarta,mulyadi minta ketua dprd kabupaten bogor jadikan prabowo subianto presiden di pemilu bogor rumah utama gerindra rbg,Positive,mulyadi minta ketua dprd kabupaten bogor jadikan subianto di pemilu bogor rumah utama gerindra rbg
