,Date,User ID,Tweet Count,Tweet Location,Tweet,label
1,2023-04-16,771030588.0,30121,"Palmerah, Jakarta",politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Positive
2,2023-04-16,380755133.0,230,Jakarta - Utara,lanjut pak anies kita kawal sampai jadi presiden,Positive
5,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",kader pdip jadi presiden yang mana menterinya impor pangan,Negative
6,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat,Positive
7,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",suara rakyat,Positive
8,2023-04-16,171458202.0,35,Tangerang Selatan,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative
9,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",siapa dulu gunernurnya,Positive
10,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",kpk bergerak keadilan bagi seluruh rakyat indonesia,Negative
11,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",anies prabowo,Positive
12,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",bisa jadi gubernur karena ada partai yang mendukungnya,Negative
13,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",pikirin kenapa bisa kalah,Negative
14,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",pejabat itu dari partai politik lu kritik partainya,Negative
15,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",nggak terkejut,Positive
16,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",lanjut,Positive
17,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",ya sudah kita yang pro anies akan selalu berada di luar istana,Positive
38,2023-04-15,252625269.0,99568,"Pati, Central Java, Indonesia",achmadi yuk kita dukung anies baswedan presiden ri,Positive
42,2023-04-15,252625269.0,99568,"Pati, Central Java, Indonesia",id mari kita dukung anies baswedan presiden ri,Positive
45,2023-04-15,428008436.0,1216,,insya allah pak anies presiden ri dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri,Positive
53,2023-04-15,132061075.0,14040,,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan aja lagi pas anies jadi presiden gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut nya,Negative
66,2023-04-15,2691990056.0,532,"Kota Surabaya, Jawa Timur",makar alloh swt lebih bagus dan berlaku in sya alloh pak anies baswedan the next presiden ri aamiinx yra,Positive
68,2023-04-15,3731381352.0,12664,,yang mengusung anies baswedan sebagai calon presiden di pilpres prabowo subianto,Positive
70,2023-04-15,59677074.0,6366,"Jakarta Capital Region, Indone",semoga kalau anies jadi presiden orang ini dicopot dari jabatannya,Positive
74,2023-04-15,634227637.0,5297,"Jawa Barat, Indonesia",kereta cepat cepat cepat,Negative
75,2023-04-15,4011609674.0,7937,,pak anies ustadz mana yg hafus ditemui dan ustadz juga tahu siapa saja yg layak ditemui barokallah pak anies dan gus baha,Positive
78,2023-04-15,634227637.0,5297,"Jawa Barat, Indonesia",lu jadiin masjid dan takjil sebagai materi cerita bohong,Negative
79,2023-04-15,4011609674.0,7937,,romadhon ketika amal dilipat gandakan ketika doa diijabah pak anies menyepi insya allah,Positive
