,Date,User ID,Tweet Count,Tweet Location,Tweet,label
21,2023-04-16,2251776169.0,38,"Kalimantan Timur, Indonesia",survei smrc dukungan capres untuk ganjar pranowo menguat unggul tipis dari prabowo,Positive
22,2023-04-16,2251776169.0,38,"Kalimantan Timur, Indonesia",smrc elektabilitas ganjar pranowo kembali menguat,Positive
23,2023-04-16,2251776169.0,38,"Kalimantan Timur, Indonesia",survei terbaru smrc elektabilitas ganjar rebound ungguli prabowoanies,Positive
24,2023-04-16,2251776169.0,38,"Kalimantan Timur, Indonesia",elektabilitas ganjar pranowo kembali menguat ini sebabnya,Positive
27,2023-04-16,299768872.0,74,"Kalimantan Barat, Indonesia",ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
28,2023-04-16,3231255310.0,19,,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
29,2023-04-16,2545359101.0,19,,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
30,2023-04-16,378443346.0,19,"Kalimantan Barat, Indonesia",ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
31,2023-04-16,2593158444.0,19,,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
32,2023-04-16,299768872.0,74,"Kalimantan Barat, Indonesia",ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
33,2023-04-16,3231255310.0,19,,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
34,2023-04-16,2545359101.0,19,,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
35,2023-04-16,378443346.0,19,"Kalimantan Barat, Indonesia",ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
36,2023-04-16,2593158444.0,19,,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
54,2023-04-15,2904608412.0,9666,,fahnoor inismyname di bulan ramadhan ini kami berdoa yuk aminkan yg terbaik buat tokoh ini smoga pak prabowo pak ganjar menjadi calon yg baik sebaik pak anis dan smoga pak anis menjadi presiden yang baik aaaamiiiinnnn,Negative
56,2023-04-15,2437264219.0,301,jepara bumi kartini,chotimah dukung ganjar presiden palestina,Negative
70,2023-04-15,2251776169.0,38,"Kalimantan Timur, Indonesia",tren popularitas pak ganjar terus naik,Positive
71,2023-04-15,2251776169.0,38,"Kalimantan Timur, Indonesia",elektabilitas ganjar unggul diatas prabowo dan anies,Positive
