,Date,User ID,Tweet,label,paslon
3,2023-04-16,4745573953.0,selamat hut kopassus ke semoga semangat patriotisme terus menyala dihati menjadi garda terdepan dalam menjaga kedaulatan amp keamanan negara republik indonesia maju terus kopassus sehat selalu bapak jenderal prabowo subianto presiden ri,Positive,prabowo
5,2023-04-16,576755999.0,prabowo presiden cebong kampret pensiun,Negative,prabowo
12,2023-04-16,465280582.0,komunitas pedagang tabanan bali deklarasi dukung prabowo jadi presiden jurnas,Positive,prabowo
13,2023-04-16,198400006.0,dari tetap bersama pk prabowo semoga pk prabowo menjadi presiden ri periode,Positive,prabowo
14,2023-04-16,465280582.0,gemira dan semeton muslim bali deklarasi dukung prabowo presiden,Positive,prabowo
15,2023-04-16,191951600.0,istana presiden sudah menunggu jendral siap perintah jenderal,Positive,prabowo
19,2023-04-16,171458202.0,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative,prabowo
20,2023-04-16,634227637.0,anies prabowo,Negative,prabowo
22,2023-04-16,252415154.0,sngt tergantung presiden yg akan terpilih di kl saya berfikir secara intelektual bukan ikutan hanya presiden yg punya wibawa yg bs membantu kondisi ekonomi indonesia bukan presiden model jokowi tapi presiden bukan saya ikutan yg lain ini sdh dr dl jaman ada sby,Negative,prabowo
23,2023-04-16,465280582.0,mulyadi minta ketua dprd kabupaten bogor jadikan prabowo subianto presiden di pemilu bogor rumah utama gerindra rbg,Positive,prabowo
28,2023-04-16,313056524.0,mari kita berdoa bersama untuk kesehatan pak agar bisa mengikuti kontestasi pilpres sampai akhirnya bisa menghadiri acara pelantikan atau sebagai presiden ri ke aamiin,Positive,prabowo
33,2023-04-15,2385926900.0,elektabilitas prabowo berada di no setelah di endorse presiden jokowi pertanyaannya jika ijtima ulama kelompok rizieq shihab hti fpi pa gnpf ulama mendukung prabowo capres apa pendapat kalian,Positive,prabowo
34,2023-04-15,79178176.0,berbagi takjil di badan pemenangan presiden prabowo di kawasan slipi,Positive,prabowo
35,2023-04-15,2904608412.0,fahnoor inismyname di bulan ramadhan ini kami berdoa yuk aminkan yg terbaik buat tokoh ini smoga pak prabowo pak ganjar menjadi calon yg baik sebaik pak anis dan smoga pak anis menjadi presiden yang baik aaaamiiiinnnn,Negative,prabowo
41,2023-04-15,576755999.0,look jadiin presiden,Negative,prabowo
44,2023-04-15,768652236.0,prabowo subianto sang pelanggar ham berat tidak pantas jadi presiden di indonesia rip mark hotman kerasa sold out alice in borderland yana quora bima bank jihyo blink cat chanyeol,Negative,prabowo
46,2023-04-15,576755999.0,fahnoor inismyname presiden,Positive,prabowo
47,2023-04-15,576755999.0,siap kita ganti presiden,Positive,prabowo
48,2023-04-15,1373010710.0,relawan prabowo presiden,Positive,prabowo
49,2023-04-15,1373010710.0,prabowo presiden kita,Positive,prabowo
51,2023-04-15,151804263.0,tanoe selamat utk mempelai berdua selamat utk pak hary tanoe dan ibu acara pencatatan pernikahannya disaksikan presiden pada era yang berbeda jokowi presiden dan prabowo presiden,Negative,prabowo
55,2023-04-15,3731381352.0,yang mengusung anies baswedan sebagai calon presiden di pilpres prabowo subianto,Negative,prabowo
73,2023-04-14,576755999.0,prabowo subianto tak tergoyahkan di puncak elektabilitas calon presiden jika disandingkan dengan beberapa nama capres nama prabowo subianto tetap menjadi favorit nomor untuk melanjutkan perjuangan presiden jokowi pada tahun nanti kirakira apa saja sih yang membuat,Positive,prabowo
87,2023-04-14,48244182.0,wah beginilah reaksi para pimpinan redaksi stasiun tv ketika bertemu pak prabowo,Positive,prabowo
