,Date,User ID,Tweet,label
0,2023-04-16,,info  anies presiden,Positive
1,2023-04-16,771030588.0,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Positive
2,2023-04-16,380755133.0,lanjut pak anies kita kawal sampai jadi presiden,Positive
3,2023-04-16,,semoga allah swt menyelamatkan bangsa dan negara republik indonesia dari para penghianat amanat rakyat yaa allah yang maha pengasih lagi maha penyayang angkatlah derajat bang anies rasyid baswedan menjadi presiden republik indonesia tahun dan seterusnya aamiin yra,Positive
4,2023-04-16,,chotimah kasian ya pa anies makanya sudah tekad kluarga saya pilih pa anies presiden,Positive
5,2023-04-16,634227637.0,kader pdip jadi presiden yang mana menterinya impor pangan,Negative
6,2023-04-16,634227637.0,jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat,Positive
7,2023-04-16,634227637.0,suara rakyat,Positive
8,2023-04-16,171458202.0,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative
9,2023-04-16,634227637.0,siapa dulu gunernurnya,Positive
10,2023-04-16,634227637.0,kpk bergerak keadilan bagi seluruh rakyat indonesia,Negative
11,2023-04-16,634227637.0,anies prabowo,Positive
12,2023-04-16,634227637.0,bisa jadi gubernur karena ada partai yang mendukungnya,Negative
13,2023-04-16,634227637.0,pikirin kenapa bisa kalah,Negative
14,2023-04-16,634227637.0,pejabat itu dari partai politik lu kritik partainya,Negative
15,2023-04-16,634227637.0,nggak terkejut,Positive
16,2023-04-16,634227637.0,lanjut,Positive
17,2023-04-16,634227637.0,ya sudah kita yang pro anies akan selalu berada di luar istana,Positive
18,2023-04-16,,herianto anies cerdas sangat cocok presiden ri,Positive
19,2023-04-16,,begitu sibuknya kalian urus capres kami anies baswedan rekam jejak anies yang kalian posting tidak mencerminkan prestasi sesungguhnya anies rakyat sudah cerdas menilai tenang saja anies kan jadi presiden ri,Positive
20,2023-04-16,,id insya allah bang anies mjd presiden,Positive
21,2023-04-16,,mantaap,Positive
22,2023-04-16,,bkn itu sih konspirasi pasukan cebong sakit hati yg sgt kesel pks usung anies jd capres anies presiden cebong punah,Positive
23,2023-04-16,,anies presidenlihat video asad mahrizal,Positive
24,2023-04-16,,partai demokrat menyatakan kader partai gerindra sandiaga uno tak memenuhi kriteria calon wakil presiden cawapres pendamping anies baswedan di pilpres,Positive
25,2023-04-15,,gabung yooo di relawan barisan nasional koalisi anies bersatu bnkab untuk gerakan perubahan anies for presiden call chat,Positive
26,2023-04-15,,iklas gabung yo jadi relawan anies for presiden plase call,Positive
27,2023-04-15,,insyaallah pak anies baswedan menjadi presiden ri doain aja ya biar kamu pengangguran buzzerrp dapet kerjaan gak kere kayak sekarang kasian,Positive
28,2023-04-15,,semoga anies baswedan jadi presiden ri agar kasus rs sumber waras tuntas pembangunan ka cepat jakban mampus,Positive
29,2023-04-15,,ayo kita perjuangkan anies baswedan sampai jadi presiden ri tahun,Positive
30,2023-04-15,,tidak ada yang lain yang lain kalau tidak palsu berarti pengkhianat jangan lupa ngopi sebelum imsak,Positive
31,2023-04-15,,fahnoor inismyname bowo pengkhianat,Negative
32,2023-04-15,,orang berakal tidak akan mengulang kesalahan yang sama bersama,Negative
33,2023-04-15,,rg dengan adanya wacana koalisi besar yang beranggotakan lima partai politik pendukung istana terlihat anies seperti sedang dikeroyok ketum partai keroyok anies yg bukan anggota partai anies baik kok ditakuti takut ya,Negative
34,2023-04-15,,penjelasan oleh sebagian saksi kunci pendukung ab patut dijadikan tolak ukur utk menaikkan hasil survei anies untuk perubahan anies presiden,Positive
35,2023-04-15,,moga anies jd presiden nkri aamiinaamiinaamiin,Positive
36,2023-04-15,,knp takut sama anies baswedan presiden ri,Positive
37,2023-04-15,,pak anies baswedan jadi presiden yakin itu,Positive
38,2023-04-15,252625269.0,achmadi yuk kita dukung anies baswedan presiden ri,Positive
39,2023-04-15,,apapun judul lagunya tetap,Positive
40,2023-04-15,,mviral glombang dukungan rakyat bagi anies baswedan abw sebagai calon presiden pada pemilu terus meningkat,Positive
41,2023-04-15,,tiga partai dari koalisi perubahan yang mengusung anies baswedan menargetkan suara mantan gubernur dki jakarta itu saat pemilihan presiden pilpres bisa mencapai persen di ta,Negative
42,2023-04-15,252625269.0,id mari kita dukung anies baswedan presiden ri,Positive
43,2023-04-15,,ini beneran nanya kah kalau beneran iya udah diganti sama pelaksana gubernur namanya pak heru jabatan anies cuman tahun aja sampe pak heru dari lucunya buat ngisi kekosongan bukannya pake orang yg udah dipilih rakyat malah orang yg dapet free pass presiden,Negative
44,2023-04-15,,chotimah ganjar pranowo menang tapi anies baswedan tetap presiden indonesia priode,Negative
45,2023-04-15,428008436.0,insya allah pak anies presiden ri dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri,Positive
46,2023-04-15,,anies mundur dari calon presiden menyerahkan sepenuhnya pada kpu siapa yg akan dijadikan presiden,Negative
47,2023-04-15,,,Negative
48,2023-04-15,,gara postingan ini saya jadi tambah yakin bahwa tuduhan itu tidak berpengaruh buat pak anies yang memang cocok untuk jadi presiden di,Positive
49,2023-04-15,,kenapa gen  lebih memilih presiden ri simak penjelasan rasional obyektif untuk indonesia perubahan indonesia masa depan,Positive
50,2023-04-15,,saligia chotimah next presiden anies rasyid baswedan aamiin,Positive
51,2023-04-15,,advokat siap berjuang siap membela anies rasyid baswedan presiden ri pernyataan sikap tim relawan advokat,Positive
52,2023-04-15,,takut aja kalian anies presiden,Positive
