,0
0,politisi
1,partai
2,gerindra
3,sandiaga
4,uno
5,diduetkan
6,mantan
7,gubernur
8,dki
9,jakarta
10,pemilihan
11,kawal
12,deklarasi
13,partai
14,pendukung
15,hasil
16,survei
17,bermanfaat
18,suara
19,rakyat
20,gunernurnya
21,nan
22,nggak
23,terkejut
24,nan
25,pro
26,istana
27,achmadi
28,yuk
29,dukung
30,id
31,mari
32,dukung
33,insya
34,allah
35,agama
36,negeri
37,bangkit
38,harmoni
39,bingkai
40,nkri
41,makar
42,alloh
43,swt
44,bagus
45,berlaku
46,in
47,sya
48,alloh
49,the
50,next
51,aamiinx
52,yra
53,mengusung
54,calon
55,pilpres
56,semoga
57,orang
58,dicopot
59,jabatannya
60,ustadz
61,hafus
62,ditemui
63,ustadz
64,layak
65,ditemui
66,barokallah
67,gus
68,baha
69,romadhon
70,amal
71,dilipat
72,gandakan
73,doa
74,diijabah
75,menyepi
76,insya
77,allah
78,si
79,curut
80,sitompul
81,nggak
82,waras
83,memfitnah
84,festival
85,hadrah
86,seprovinsi
87,jawa
88,timur
89,ishari
90,nu
91,gema
92,abw
93,via
94,festival
95,hadrah
96,ramadhan
97,ishari
98,nu
99,gema
100,abw
101,insya
102,allahsehat
103,madinah
104,mashaallah
105,penjual
106,madinah
107,bismillah
108,biidznillah
109,insya
110,allah
111,partai
112,berdiri
113,berkomitmen
114,membangun
115,perubahan
116,indonesia
117,peradaban
118,partai
119,duta
120,peradaban
121,pendukung
122,partai
123,mengusung
124,rasyid
125,calon
126,setuju
127,fathur
128,nakula
129,pecah
130,jutaan
131,jemaah
132,teriakkan
133,insyaallah
134,dukung
135,menghadapi
136,pilpres
137,nasdem
138,mendeklarasikan
139,mantan
140,gubernur
141,dki
142,jakarta
143,calon
144,ketua
145,badan
146,pembina
147,organisasi
148,keanggotaan
149,kaderisasi
150,bpopkk
151,dpp
152,partai
153,demokrat
154,herman
155,khaeron
156,buka
157,suara
158,isu
159,mengusung
160,menko
161,polhukam
162,mahfud
163,md
164,pendamping
165,pemilihan
166,orang
167,dikenal
168,solid
169,ayo
170,follow
171,acount
172,resmi
173,pks
174,pks
175,tembus
176,juta
177,follower
178,sd
179,rabu
180,februari
181,pks
182,menang
183,lihat
184,video
185,ayiceopesantrenpolitikcom
186,dukung
187,inismyname
188,anak
189,muda
190,cerdas
191,inshaallah
192,mudahan
193,republik
194,indonesia
195,raffi
196,nagita
197,nasibnya
198,beda
199,bohir
200,sibuk
201,ngamanin
202,periode
203,moeldoko
204,membantah
205,tudingan
206,ahy
207,peninjauan
208,dilayangkan
209,menjegal
210,calon
211,hubungannya
212,suka
213,berhalusinasi
214,hidup
215,andai
216,sandi
217,nerima
218,pinangan
219,cawapres
220,wagub
221,gubernur
222,dki
223,andai
224,kepilih
225,cawapres
226,chotimah
227,buzzerp
228,recehan
229,panik
230,ketakutan
231,hilang
232,akal
233,buzzerp
234,recehan
235,memfitnah
236,insya
237,allah
238,republik
239,indonesia
240,maju
241,pemilu
242,iblis
243,bani
244,cebong
245,ade
246,berusaha
247,sekuat
248,tenaga
249,mengganggu
250,menggagalkn
251,pencalonan
252,sbg
253,capreskrn
254,iblis
255,akn
256,kepanasan
257,klo
258,sosok
259,mahfud
260,md
261,digadanggadang
262,cocok
263,calon
264,wakil
265,pasangan
266,kancah
267,pilpres
268,simak
269,berita
270,selengkapnya
