,0
0,smrc
1,menguat
2,unggul
3,tipis
4,smrc
5,elektabilitas
6,menguat
7,terbaru
8,smrc
9,elektabilitas
10,rebound
11,ungguli
12,prabowoanies
13,elektabilitas
14,menguat
15,sebabnya
16,pemimpin
17,dicintai
18,kalangan
19,pemimpin
20,dicintai
21,kalangan
22,pemimpin
23,dicintai
24,kalangan
25,pemimpin
26,dicintai
27,kalangan
28,pemimpin
29,dicintai
30,kalangan
31,perhatikan
32,kesejahteraan
33,guru
34,keagamaan
35,perhatikan
36,kesejahteraan
37,guru
38,keagamaan
39,perhatikan
40,kesejahteraan
41,guru
42,keagamaan
43,perhatikan
44,kesejahteraan
45,guru
46,keagamaan
47,perhatikan
48,kesejahteraan
49,guru
50,keagamaan
51,tren
52,popularitas
53,naik
54,elektabilitas
55,unggul
56,diatas
57,luar
58,mencairkan
59,miliar
60,insentif
61,guru
62,keagamaan
63,setuju
64,sekali
65,hebat
66,amanah
67,kajian
68,ilmiah
69,prof
70,mayoritas
71,muslim
72,santri
73,kaum
74,abangan
75,priayi
76,sebanyak
77,persen
78,memilih
79,cc
80,smrc
81,mayoritas
82,santri
83,smrc
84,menunjukkan
85,mayoritas
86,alias
87,persen
88,muslim
89,mengaku
90,santri
91,memilih
92,mayoritas
93,santri
94,smrc
95,menunjukkan
96,mayoritas
97,muslim
98,santri
99,memilih
100,berdasarkan
101,study
102,mayoritas
103,santri
104,abangan
105,priyayi
106,memilih
107,selalu
108,terdepan
109,kajian
110,ilmiah
111,prof
112,menunjukkan
113,sebanyak
114,santri
115,khususnya
116,kaum
117,muslim
118,memilih
119,muslim
120,mengaku
121,santri
122,memilih
123,teratas
124,bila
125,sekarang
126,research
127,and
128,consulting
129,smrc
130,menunjukkan
131,mayoritas
132,memilih
133,berdasarkan
134,smrc
135,dilakukan
136,pd
137,april
138,sebanyak
139,mayoritas
140,santri
141,condong
142,memilih
143,sbg
144,semangat
145,selalu
146,update
147,terbaru
148,gaes
149,walaupun
150,hajar
151,sampai
152,modyar
153,teratas
154,bila
155,sekarang
156,elektabilitas
157,trs
158,naik
159,naik
160,teratas
161,terbaru
162,smrc
163,research
164,and
165,consulting
166,smrc
167,menunjukkan
168,mayoritas
169,alias
170,persen
171,muslim
172,mengaku
173,santri
174,memilih
175,karepmu
176,mbah
177,yen
178,aku
179,tetep
180,dilakukan
181,studi
182,mayoritas
183,persen
184,muslim
185,mulai
186,santri
187,kaum
188,abangan
189,priyayi
190,memilih
191,kader
192,demokrasi
193,perjuangan
194,berdasarkan
195,smrc
196,pun
197,unggul
198,solid
199,sampai
200,siji
201,kabeh
202,tinggal
203,menunggu
204,waktu
205,menjawab
206,keyakinan
207,dicalonkan
208,mendatang
209,kemenangan
210,hattrick
211,bagi
212,mayoritas
213,muslim
214,memilih
215,keren
216,memfasilitasi
217,puluhan
218,ribu
219,pemudik
220,luar
221,memberikan
222,insentif
223,kesejahteraan
224,guru
225,agama
226,nelayan
227,pesisir
228,pantai
229,madasari
230,sepakat
231,nelayan
232,pesisir
233,pantai
234,madasari
235,sepakat
236,luar
237,sangat
238,perhatikan
239,wong
240,cilik
241,konsisten
