,0
0,cebong
1,kampret
2,pensiun
3,amien
4,rais
5,bila
6,gagal
7,
8,sngt
9,tergantung
10,berfikir
11,secara
12,intelektual
13,ikutan
14,punya
15,wibawa
16,membantu
17,kondisi
18,ekonomi
19,model
20,ikutan
21,lain
22,dl
23,jaman
24,sby
25,bulan
26,ramadhan
27,berdoa
28,yuk
29,aminkan
30,terbaik
31,tokoh
32,smoga
33,baik
34,sebaik
35,smoga
36,baik
37,aaaamiiiinnnn
38,look
39,jadiin
40,sang
41,pelanggar
42,ham
43,berat
44,pantas
45,rip
46,mark
47,hotman
48,kerasa
49,sold
50,out
51,alice
52,in
53,borderland
54,yana
55,quora
56,bima
57,bank
58,jihyo
59,blink
60,cat
61,chanyeol
62,tanoe
63,selamat
64,mempelai
65,berdua
66,selamat
67,hary
68,tanoe
69,ibu
70,acara
71,pencatatan
72,pernikahannya
73,disaksikan
74,era
75,berbeda
76,mengusung
77,zulkifli
78,hasan
79,bantah
80,isu
81,koalisi
82,sebut
83,obrolan
84,sanasini
85,isu
86,tok
87,ketua
88,usungan
89,koalisi
90,dibantah
91,zulkifli
92,hasan
93,anak
94,muda
95,cerdas
96,inshaallah
97,tiga
98,kalinya
99,vs
100,khofifah
101,tuk
102,endorse
103,jikiwi
104,perh
105,pimpin
106,teruji
107,disegi
108,pemerintahan
109,malahan
110,bergabung
111,pernah
112,rival
113,samadan
114,kebetulan
115,hutang
116,numpuk
117,korup
118,dimana
119,manabanyak
120,artinya
121,takdirnya
122,abu
123,janda
124,uang
125,juta
126,ds
127,ndak
128,abu
129,janda
130,kasih
131,uang
132,juta
133,ds
134,sepertinya
135,nggak
136,bakat
137,bakatnya
138,sebatas
139,gagal
140,apakah
141,minta
142,jatah
143,menhan
144,kah
145,buka
146,ramadhan
147,rancabali
148,sukaresmi
149,silaturahmi
150,ramadhan
151,soreang
152,kab
153,bandung
154,habib
155,jafar
156,bertemu
157,donk
158,aleh
159,nah
160,minta
161,bikin
162,polling
163,buktiin
164,tulisan
165,paham
166,ngga
167,lo
168,siap
169,ps
170,selamanya
171,iya
172,didukung
173,apalagi
174,visi
175,dng
176,misi
177,beda
178,sunny
179,tanuwidjaya
180,kalian
181,dulu
182,ngaku
183,oposisi
184,sekarang
185,penguasa
186,dulu
187,pro
188,penguasa
189,sekarang
190,pro
191,penguasa
192,dng
193,tunggangi
194,ramadhan
195,kareeem
196,tiada
197,tanpa
198,konsolidasi
199,kesimpulan
200,wapres
201,dah
202,mulai
203,panik
204,muhaimin
205,iskandar
206,siapkan
207,koalisi
208,benar
209,suksesi
210,milik
211,prediksi
212,pribadi
213,kehadiran
214,ibu
215,ketum
216,perjuangan
217,menhan
218,tni
219,au
220,moment
221,menyatukan
222,visi
223,sdgkan
224,fix
225,gp
226,cawapres
227,anakkolong
228,menggoda
229,yusril
230,mendukungnya
231,andre
