,0
0,selamat
1,kopassus
2,semangat
3,patriotisme
4,menyala
5,dihati
6,garda
7,terdepan
8,menjaga
9,kedaulatan
10,keamanan
11,negara
12,republik
13,kopassus
14,sehat
15,selalu
16,jenderal
17,komunitas
18,pedagang
19,tabanan
20,bali
21,deklarasi
22,dukung
23,jurnas
24,periode
25,gemira
26,semeton
27,muslim
28,bali
29,deklarasi
30,dukung
31,istana
32,menunggu
33,jendral
34,siap
35,perintah
36,jenderal
37,mulyadi
38,minta
39,ketua
40,dprd
41,kabupaten
42,bogor
43,jadikan
44,bogor
45,rumah
46,utama
47,rbg
48,mari
49,berdoa
50,kesehatan
51,agar
52,mengikuti
53,kontestasi
54,sampai
55,akhirnya
56,menghadiri
57,acara
58,pelantikan
59,aamiin
60,elektabilitas
61,berada
62,no
63,setelah
64,endorse
65,pertanyaannya
66,ijtima
67,ulama
68,kelompok
69,rizieq
70,shihab
71,hti
72,fpi
73,gnpf
74,ulama
75,mendukung
76,pendapat
77,kalian
78,berbagi
79,takjil
80,badan
81,pemenangan
82,kawasan
83,slipi
84,
85,siap
86,ganti
87,relawan
88,
89,tergoyahkan
90,puncak
91,elektabilitas
92,disandingkan
93,beberapa
94,nama
95,nama
96,favorit
97,nomor
98,melanjutkan
99,perjuangan
100,kirakira
101,membuat
102,wah
103,beginilah
104,reaksi
105,para
106,pimpinan
107,redaksi
108,stasiun
109,tv
110,ketika
111,bertemu
112,menghadapi
113,nasdem
114,sebelumnya
115,telah
116,mendeklarasikan
117,mantan
118,gubernur
119,dki
120,jakarta
121,mengenai
122,kandidat
123,lebih
124,unggul
125,simak
126,faktor
127,penyebabnya
128,terbaru
129,mengenai
130,bursa
131,dilakukan
132,center
133,isc
134,menemukan
135,unggul
136,aamiin
137,kebayang
138,gimana
139,menang
140,buntel
141,menteri
142,pongah
143,disampingnya
144,ditunggu
145,foto
146,jng
147,bawa
148,embel
149,agama
150,nkri
151,pancasila
152,mah
153,jakarta
154,komite
155,nasional
156,pemuda
157,knpi
158,mendorong
159,politik
160,koalisi
161,mengusung
162,elektabilitas
163,tingkat
164,keterpilihan
165,menteri
166,pertahanan
167,berada
168,posisi
169,pertama
170,berdasarkan
171,hasil
172,center
173,isc
174,akhir
175,maret
176,hingga
177,awal
178,april
179,pihaknya
180,pun
181,sangat
182,optimis
183,nantinanti
184,cawapresnya
185,masyarakat
186,hadir
187,membawa
188,foto
189,mereka
190,nampak
191,semangat
192,henti
193,menyuarakan
194,dukungan
195,agar
196,ketua
197,umum
198,diketahui
199,elektabilitas
200,berada
201,posisi
202,pertama
203,berdasarkan
204,hasil
205,isc
206,akhir
207,maret
208,hingga
209,awal
210,april
211,kuat
212,menko
213,kemaritiman
214,nnti
215,berdiri
216,ditengah
217,mengamanatkan
218,keberanian
219,nasionalisme
220,sejati
221,mengantarkan
222,memimpin
223,negeri
224,adlh
225,terdekatnya
226,bbrp
227,kali
