,Tweet,label
0,info   presiden,Positive
1,politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta   dalam pemilihan presiden mendatang,Positive
2,lanjut pak  kita kawal sampai jadi presiden,Positive
3,semoga allah swt menyelamatkan bangsa dan negara republik indonesia dari para penghianat amanat rakyat yaa allah yang maha pengasih lagi maha penyayang angkatlah derajat bang  rasyid  menjadi presiden republik indonesia tahun dan seterusnya aamiin yra,Positive
4,chotimah kasian ya pa  makanya sudah tekad kluarga saya pilih pa  presiden,Positive
5,kader pdip jadi presiden yang mana menterinya impor pangan,Negative
6,jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat,Positive
7,suara rakyat,Positive
8,amien rais akan pilih prabowo subianto bila   gagal jadi calon presiden pada pilpres,Negative
9,siapa dulu gunernurnya,Positive
10,kpk bergerak keadilan bagi seluruh rakyat indonesia,Negative
11, prabowo,Positive
12,bisa jadi gubernur karena ada partai yang mendukungnya,Negative
13,pikirin kenapa bisa kalah,Negative
14,pejabat itu dari partai politik lu kritik partainya,Negative
15,nggak terkejut,Positive
16,lanjut,Positive
17,ya sudah kita yang pro  akan selalu berada di luar istana,Positive
18,herianto  cerdas sangat cocok presiden ri,Positive
19,begitu sibuknya kalian urus capres kami   rekam jejak  yang kalian posting tidak mencerminkan prestasi sesungguhnya  rakyat sudah cerdas menilai tenang saja  kan jadi presiden ri,Positive
20,id insya allah bang  mjd presiden,Positive
21,mantaap,Positive
22,bkn itu sih konspirasi pasukan cebong sakit hati yg sgt kesel pks usung  jd capres  presiden cebong punah,Positive
23, presidenlihat video asad mahrizal,Positive
24,partai demokrat menyatakan kader partai gerindra sandiaga uno tak memenuhi kriteria calon wakil presiden cawapres pendamping   di pilpres,Positive
25,gabung yooo di relawan barisan nasional koalisi  bersatu bnkab untuk gerakan perubahan  for presiden call chat,Positive
26,iklas gabung yo jadi relawan  for presiden plase call,Positive
27,insyaallah pak   menjadi presiden ri doain aja ya biar kamu pengangguran buzzerrp dapet kerjaan gak kere kayak sekarang kasian,Positive
28,semoga   jadi presiden ri agar kasus rs sumber waras tuntas pembangunan ka cepat jakban mampus,Positive
29,ayo kita perjuangkan   sampai jadi presiden ri tahun,Positive
30,tidak ada yang lain yang lain kalau tidak palsu berarti pengkhianat jangan lupa ngopi sebelum imsak,Positive
31,fahnoor inismyname bowo pengkhianat,Negative
32,orang berakal tidak akan mengulang kesalahan yang sama bersama,Negative
33,rg dengan adanya wacana koalisi besar yang beranggotakan lima partai politik pendukung istana terlihat  seperti sedang dikeroyok ketum partai keroyok  yg bukan anggota partai  baik kok ditakuti takut ya,Negative
34,penjelasan oleh sebagian saksi kunci pendukung ab patut dijadikan tolak ukur utk menaikkan hasil survei  untuk perubahan  presiden,Positive
35,moga  jd presiden nkri aamiinaamiinaamiin,Positive
36,knp takut sama   presiden ri,Positive
37,pak   jadi presiden yakin itu,Positive
38,achmadi yuk kita dukung   presiden ri,Positive
39,apapun judul lagunya tetap,Positive
40,mviral glombang dukungan rakyat bagi   abw sebagai calon presiden pada pemilu terus meningkat,Positive
41,tiga partai dari koalisi perubahan yang mengusung   menargetkan suara mantan gubernur dki jakarta itu saat pemilihan presiden pilpres bisa mencapai persen di ta,Negative
42,id mari kita dukung   presiden ri,Positive
43,ini beneran nanya kah kalau beneran iya udah diganti sama pelaksana gubernur namanya pak heru jabatan  cuman tahun aja sampe pak heru dari lucunya buat ngisi kekosongan bukannya pake orang yg udah dipilih rakyat malah orang yg dapet free pass presiden,Negative
44,chotimah ganjar pranowo menang tapi   tetap presiden indonesia priode,Negative
45,insya allah pak  presiden ri dan semua agama di negeri ini bangkit dan harmoni dalam bingkai nkri,Positive
46, mundur dari calon presiden menyerahkan sepenuhnya pada kpu siapa yg akan dijadikan presiden,Negative
48,gara postingan ini saya jadi tambah yakin bahwa tuduhan itu tidak berpengaruh buat pak  yang memang cocok untuk jadi presiden di,Positive
49,kenapa gen  lebih memilih presiden ri simak penjelasan rasional obyektif untuk indonesia perubahan indonesia masa depan,Positive
50,saligia chotimah next presiden  rasyid  aamiin,Positive
51,advokat siap berjuang siap membela  rasyid  presiden ri pernyataan sikap tim relawan advokat,Positive
52,takut aja kalian  presiden,Positive
53,pertanyaan sederhana kalau emang traget dari awal ngapain juga maju jadi capres dan kalau bisa di jadi menhan aja lagi pas  jadi presiden gimana tolong samapikan ke ayah dan biaya kampanye ayah bisa di manfaat kan buat pangunan di rezim selanjut nya,Negative
54,kita lihat saja siapa presidennyaruhut mao loncat kemana lagi  presiden di lapangan sudah menang tinggal admnya saja jangan sampai lengah jadi diputarbalikan suaranya apalagi kalau kardus di gembox sangat rawan sekali,Positive
55,  presiden wind of change for indonesia,Positive
56,gaspooll mang gantian yee giliran  jadi presiden,Positive
57,indonesia memerlukan   sebagai presiden aamiin ya rabb,Positive
59,jika permainan jujur  presiden,Positive
61, rb presiden ri,Positive
62,fathur kusut optimisme harus berjuang untuk mewujudkan itu penting  presiden ri,Positive
64,semoga pak   makin banyak yang mendukung dan yg mendoakan beliau hingga presiden ri biar menghanguskan rencana jahat mereka hempaskan orang yg penuh halusinasi biar stres sendiri si nganu yg tidak bisa kerja,Positive
65,tni mau minta bantuan banser atau apaan kek rakyat akan kawal  agar ada restorasi indonesia yang adil sejahtera indonesia baru keadilan ditegakkan rakyat disejahterakan kawal for presiden no other no else,Positive
66,makar alloh swt lebih bagus dan berlaku in sya alloh pak   the next presiden ri aamiinx yra,Positive
67,sebelumnya ketua majelis syura partai ummat amien rais menyatakan sepakat bakal mendukung prabowo subianto untuk maju sebagai calon presiden capres jika   gagal maju atau tidak dapat tiket capres,Positive
68,yang mengusung   sebagai calon presiden di pilpres prabowo subianto,Positive
70,semoga kalau  jadi presiden orang ini dicopot dari jabatannya,Positive
