,Tweet,label
0,ganjar makin banyak dukungan kali kini dukungan datang dari kota batu malang jawa timur mereka mendeklarasi diri sebagai pendukung ganjar presiden ri tahun tdk hanya datang dari kab malang tapi juga dari blitar dan lainnya,Positive
1,ojoo lali yooo yang cerdas pilih ganjar pranowo,Positive
2,orang cerdas dukung den baguse ganjar pranowo,Positive
3,kita percaya ganjar pranowo adalah anugerah allah swt bagi bangsa indonesia setelah jokowi namanya anugerah insya allah tidak ada satu kekuatan pun yang mempu merintangi dan menghalangi ganjar presiden di,Positive
4,rakyat cerdas dukung den baguse ganjar pranowo,Positive
5,alhamdulillah presiden indonesia hanya ganjar pranowo yang dapat mempersatukan bangsa ini prabowo subianto dan anis baswedan kedua kandidat ini rekam jejaknya dikelilingi oleh kadrun dan cendana,Negative
6,safari ramadhan dan doa bersama untuk bapak ganjar pranowo presiden indonesia pada kegiatan tersebut kami berkolaborasi dengan komunitas forum pemerhati anak bangsa tentunya di safari ramadhan ini kami sekaligus merangkaikan pasar murah rakyat yakni masyarakat wakka,Positive
7,mak ganjar sumatera utara mengucapkan selamat memperingati hut provinsi sumatra utara ke tahun,Positive
8,adil bersikap itu hebat dan amanah ganjar jg sama mudik bareng dg tulisan presiden ri,Negative
9,beauty class yang di adakan srikandi ganjar dpw sulawesi selatan bersama milenial yang di adakan di kabupaten sengkang,Positive
10,hasil survei smrc yang dirilis barubaru ini menunjukkan bahwa dukungan untuk ganjar pranowo sebagai calon presiden pada pemilihan presiden semakin menguat,Negative
11,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur papua sharon camilla papua,Positive
12,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur papua sharon camilla papua,Negative
13,pranowo,Negative
14,pranowo,Negative
15,pranowo,Positive
16,ganjar for presiden,Positive
17,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur bima bu tejo bandung papua,Positive
18,hasil survei terbaru indopol survey amp consulting menunjukkan gubernur jawa tengah ganjar pranowo menguasai elektabilitas calon presiden untuk pilpres di jawa timur bima bu tejo bandung papua,Positive
19,ogi insallah pak ganjar menjadi presiden ri,Positive
20,di dalam survei pak ganjar pranowo kembali unggul dalam dalam bursa pencapresan,Positive
21,survei smrc dukungan capres untuk ganjar pranowo menguat unggul tipis dari prabowo,Positive
22,smrc elektabilitas ganjar pranowo kembali menguat,Positive
23,survei terbaru smrc elektabilitas ganjar rebound ungguli prabowoanies,Positive
24,elektabilitas ganjar pranowo kembali menguat ini sebabnya,Positive
25,rakyat harus mendapatkan pelayanan yang maksimal,Positive
26,rakyat harus mendapatkan pelayanan yang maksimal,Positive
27,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
28,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
29,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
30,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Positive
31,ganjar pranowo pemimpin yang dicintai semua kalangan masyarakat,Negative
32,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Negative
33,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Negative
34,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
35,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
36,ganjar pranowo terus perhatikan kesejahteraan guru keagamaan,Positive
37,pegl yang cerdas akan dukung den baguse ganjar pranowo,Positive
38,pegl orang cerdas dukung ganjar pranowo,Positive
39,deklarasi pendukung ganjar pranowo kota batu komunitas ganjar idolaku kota batu mengadakan deklarasi mendukunh ganjar pranowo sebagai presiden ri tahun,Positive
