,Date,User ID,Tweet Count,Tweet Location,Tweet,label,"('label', 'Tweet')"
0,2023-04-16,1.64e+18,22,,info  anies presiden,Positive,Positive
1,2023-04-16,771030588.0,30121,"Palmerah, Jakarta",politisi partai gerindra sandiaga uno menjawab soal diduetkan kembali dengan mantan gubernur dki jakarta anies baswedan dalam pemilihan presiden mendatang,Positive,Positive
2,2023-04-16,380755133.0,230,Jakarta - Utara,lanjut pak anies kita kawal sampai jadi presiden,Positive,Positive
3,2023-04-16,9.21e+17,2670,Jakarta ,semoga allah swt menyelamatkan bangsa dan negara republik indonesia dari para penghianat amanat rakyat yaa allah yang maha pengasih lagi maha penyayang angkatlah derajat bang anies rasyid baswedan menjadi presiden republik indonesia tahun dan seterusnya aamiin yra,Positive,Positive
4,2023-04-16,1.54e+18,766,"Lebak, Banten",chotimah kasian ya pa anies makanya sudah tekad kluarga saya pilih pa anies presiden,Positive,Positive
5,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",kader pdip jadi presiden yang mana menterinya impor pangan,Negative,Negative
6,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",jika tidak ada deklarasi dari partai pendukung maka hasil survei ini tak bermanfaat,Positive,Positive
7,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",suara rakyat,Positive,Positive
8,2023-04-16,171458202.0,35,Tangerang Selatan,amien rais akan pilih prabowo subianto bila anies baswedan gagal jadi calon presiden pada pilpres,Negative,Negative
9,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",siapa dulu gunernurnya,Positive,Positive
10,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",kpk bergerak keadilan bagi seluruh rakyat indonesia,Negative,Negative
11,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",anies prabowo,Positive,Positive
12,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",bisa jadi gubernur karena ada partai yang mendukungnya,Negative,Negative
13,2023-04-16,634227637.0,5297,"Jawa Barat, Indonesia",pikirin kenapa bisa kalah,Negative,Negative
