,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Wed Aug 30 12:05:57 +0000 2023,1696856782801694917,"@aniesbaswedan @FISIP_UI @BEMFISIPUI @univ_indonesia Semoga pak jokowi di beri kesehatan dan umur panjang untuk menghadiri pelantikan pak anies rasid baswedan sebagai presiden di tahun 2024, Aamiin🤲🏻🤲🏻🤲🏻",0,1,0,4,in,1671074721298014210,1696533427582021884,cahyok2cahyok1,https://twitter.com/cahyok2cahyok1/status/1696856782801694917,"Semoga pak jokowi di beri kesehatan dan umur panjang untuk menghadiri pelantikan pak anies rasid baswedan sebagai presiden di tahun 2024, Aamiin🤲🏻🤲🏻🤲🏻"
1,Wed Aug 30 11:40:25 +0000 2023,1696850357832569074,"@Hilmi28 @aniesbaswedan @univ_indonesia @prabowo @ganjarpranowo @UGMYogyakarta Walaupun benderaku berbeda dan harus  dilepas bendera, saya  Tetap berjuang utk Pak Anies Baswedan Presiden RI 2024 - 2029",0,0,0,4,in,752639873966682112,1696797092524732507,pradanaarp,https://twitter.com/pradanaarp/status/1696850357832569074,"Walaupun benderaku berbeda dan harus dilepas bendera, saya Tetap berjuang utk Pak Anies Baswedan Presiden RI 2024 - 2029"
2,Wed Aug 30 10:16:23 +0000 2023,1696829206829941100,@DariatiSar119 Pak Anies Baswedan pilihan rakyat Indonesia presiden RI di tahun 2024,0,0,0,0,in,1604837011294388225,1696790295369969919,Aniesprsdn2024,https://twitter.com/Aniesprsdn2024/status/1696829206829941100,Pak Anies Baswedan pilihan rakyat Indonesia presiden RI di tahun 2024
3,Wed Aug 30 09:38:34 +0000 2023,1696819691162071050,"harusnya kita terimakasih sama penanya, krn hal itu melambungkan nama mas anies ... doa mulai ... smoga Indonesia 2024 presiden nya ADIL Aamiin ya Allah ... (kita tdk tahu dari mulut mana kata 'Aamiin' yg dikabulkan)",0,0,0,0,in,816647876168122368,1696819691162071050,1kisinan,https://twitter.com/1kisinan/status/1696819691162071050,"harusnya kita terimakasih sama penanya, krn hal itu melambungkan nama mas anies ... doa mulai ... smoga Indonesia 2024 presiden nya ADIL Aamiin ya Allah ... (kita tdk tahu dari mulut mana kata 'Aamiin' yg dikabulkan)"
4,Wed Aug 30 09:00:15 +0000 2023,1696810050080375038,"@LANGKAHANIES @SemutMerah2024 @aniesbaswedan menurutku jika anies terpilih jadi presiden 2024,  tidak menutup kemungkinan indonesia masuk dalam jajaran negara terbaik dunia,  jika terpilih di priode ke2, indonesia akan menjadi negara kuat yg disegani di di asia dan eropa,,,",0,0,0,0,in,1424376806958780427,1696362412256223647,HTgpura,https://twitter.com/HTgpura/status/1696810050080375038,"menurutku jika anies terpilih jadi presiden 2024, tidak menutup kemungkinan indonesia masuk dalam jajaran negara terbaik dunia, jika terpilih di priode ke2, indonesia akan menjadi negara kuat yg disegani di di asia dan eropa,,,"
5,Wed Aug 30 08:56:56 +0000 2023,1696809212322701440,Pak Anies Baswedan Yakin di pemilu 2024 dia bisa melampaui target untuk jadi presiden Indonesia. #AniesYakin @Nasyarazita12 https://t.co/FbgsHzcb2U,1,2,2,4,in,1688096595412410370,1696809212322701440,PresidenWacana,https://twitter.com/PresidenWacana/status/1696809212322701440,Pak Anies Baswedan Yakin di pemilu 2024 dia bisa melampaui target untuk jadi presiden Indonesia. #AniesYakin https://t.co/FbgsHzcb2U
6,Wed Aug 30 08:56:42 +0000 2023,1696809155313774595,Pak Anies Baswedan Yakin di pemilu 2024 dia bisa melampaui target untuk jadi presiden Indonesia. #AniesYakin @Nasyarazita12 https://t.co/IAbmcy03yk,0,1,2,0,in,1688100146285043712,1696809155313774595,Orang_dalam10,https://twitter.com/Orang_dalam10/status/1696809155313774595,Pak Anies Baswedan Yakin di pemilu 2024 dia bisa melampaui target untuk jadi presiden Indonesia. #AniesYakin https://t.co/IAbmcy03yk
7,Wed Aug 30 08:56:29 +0000 2023,1696809099168796919,Pak Anies Baswedan Yakin di pemilu 2024 dia bisa melampaui target untuk jadi presiden Indonesia. #AniesYakin @Nasyarazita12 https://t.co/URCe4ZAdDU,0,2,2,2,in,1688598494909726720,1696809099168796919,manusiabia5,https://twitter.com/manusiabia5/status/1696809099168796919,Pak Anies Baswedan Yakin di pemilu 2024 dia bisa melampaui target untuk jadi presiden Indonesia. #AniesYakin https://t.co/URCe4ZAdDU
8,Wed Aug 30 07:56:32 +0000 2023,1696794014056698237,"@aniesbaswedan @FISIP_UI @BEMFISIPUI @univ_indonesia Sudah Saatnya Indonesia Dipimpin Oleh Pemimpin Yg Mencerdaskan Rakyatnya Utk Menuntaskan Cita2 Luhur Bangsa. Ayo Saudara2ku Semua Kita Bangkit, Bersatu, Wujudkan Keadilan Bersama Anies Baswedan Presiden 2024. SDM Yg Unggul Syarat Mutlak Membangun Indonesia MAJU. Salam Perubahan.",0,0,0,0,in,1429040840932872193,1696533427582021884,EndyNugroho8,https://twitter.com/EndyNugroho8/status/1696794014056698237,"Sudah Saatnya Indonesia Dipimpin Oleh Pemimpin Yg Mencerdaskan Rakyatnya Utk Menuntaskan Cita2 Luhur Bangsa. Ayo Saudara2ku Semua Kita Bangkit, Bersatu, Wujudkan Keadilan Bersama Anies Baswedan Presiden 2024. SDM Yg Unggul Syarat Mutlak Membangun Indonesia MAJU. Salam Perubahan."
9,Wed Aug 30 07:41:33 +0000 2023,1696790244518207755,@Mi9aWempy @Himan67392484 @jokowi @ganjarpranowo Pak Ganjar juga terbaik dari Anies dan prabowo. Mari kita menangkan pak Ganjar.agar menjadi presiden Indonesia th 2024 nanti💪💪,0,1,1,2,in,1673661878889750533,1696767899292315762,nurdiinfoto,https://twitter.com/nurdiinfoto/status/1696790244518207755,Pak Ganjar juga terbaik dari Anies dan prabowo. Mari kita menangkan pak Ganjar.agar menjadi presiden Indonesia th 2024 nanti💪💪
