,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Sat Dec 30 23:54:05 +0000 2023,1741246310676856930,"GMSP, Saudara Se Iman &amp  Saudara Se Indonesia.. Hampir 87% WNI adalah Islam walau terbagi dlm bbrp Ormas Islam. Dan utk 2024 ini, Mari Kita semua Umat Islam &amp  semua elemen Rakyat yg cinta Perubahan Bersatu utk Menangkan Anies &amp  Muhaimin menjadi Presiden dan Wakil Presiden RI...",0,5,21,71,in,1637692626215501824,1741246310676856930,carlitovito180,https://twitter.com/carlitovito180/status/1741246310676856930,"GMSP, Saudara Se Iman &amp Saudara Se Indonesia.. Hampir 87% WNI adalah Islam walau terbagi dlm bbrp Ormas Islam. Dan utk 2024 ini, Mari Kita semua Umat Islam &amp semua elemen Rakyat yg cinta Perubahan Bersatu utk Menangkan Anies &amp Muhaimin menjadi Presiden dan Wakil Presiden RI..."
1,Sat Dec 30 23:37:45 +0000 2023,1741242199361433989,@aniesbaswedan Semoga Anies Baswedan dan Cak Imin ( AMIN) di Ridhoi Allah SWT  menjadi Presiden Republik Indonesia masa bakti 2024-2029. Dan semoga kemenangan AMIN  dalam satu puteran ...Aamiin ya Rabbal Alamin,0,0,0,0,in,1566122619711004672,1740313328256430400,wawo_rizal,https://twitter.com/wawo_rizal/status/1741242199361433989,Semoga Anies Baswedan dan Cak Imin ( AMIN) di Ridhoi Allah SWT menjadi Presiden Republik Indonesia masa bakti 2024-2029. Dan semoga kemenangan AMIN dalam satu puteran ...Aamiin ya Rabbal Alamin
2,Sat Dec 30 22:34:00 +0000 2023,1741226156064657683,"@ZulkifliLubis69 Mana ada pemimpin yg seperti ini, hanya pak Anies pejabat negara yg mau menemui para pendemo dan menenangkan mereka. Inilah ciri seorang pemimpin yg merakyat dan peduli dengan rakyatnya... barakallohu pak Anies saya mendukung anda menjadi presiden Indonesia 2024....",0,0,0,3,in,1346668215825403904,1741081384767353277,Cakra95258571,https://twitter.com/Cakra95258571/status/1741226156064657683,"Mana ada pemimpin yg seperti ini, hanya pak Anies pejabat negara yg mau menemui para pendemo dan menenangkan mereka. Inilah ciri seorang pemimpin yg merakyat dan peduli dengan rakyatnya... barakallohu pak Anies saya mendukung anda menjadi presiden Indonesia 2024...."
3,Sat Dec 30 22:00:44 +0000 2023,1741217783789314164,@PahetKopi28207 @PartaiSocmed Presiden 2024 didunia maya anies baswedan dan presiden didunia nyata adalah prabowo,0,2,0,0,in,1117903503949615104,1740991082262118623,Indonesia_24,https://twitter.com/Indonesia_24/status/1741217783789314164,Presiden 2024 didunia maya anies baswedan dan presiden didunia nyata adalah prabowo
4,Sat Dec 30 21:34:00 +0000 2023,1741211054443806769,"@kba_news Bismillahirrahmanirrahim, Anies Baswedan Presiden Republik Indonesia tahun 2024. Aamiin🤲",0,0,0,0,in,1703221348498300928,1740964131593740614,AmmaKye,https://twitter.com/AmmaKye/status/1741211054443806769,"Bismillahirrahmanirrahim, Anies Baswedan Presiden Republik Indonesia tahun 2024. Aamiin🤲"
5,Sat Dec 30 20:44:24 +0000 2023,1741198573512069201,"@herculep638 Maa syaa Allah...pemimpin seperti Pak Anies inilah yg dibutuhkan rakyat Indonesia, mengayomi semua lapisan masyarakat, Ya Allah jadikanlah beliau sebagai Presiden Indonesia thn 2024, Aamiin 🤲",0,0,0,1,in,1525604923315871745,1740930135296274887,sedaaaaapp,https://twitter.com/sedaaaaapp/status/1741198573512069201,"Maa syaa Allah...pemimpin seperti Pak Anies inilah yg dibutuhkan rakyat Indonesia, mengayomi semua lapisan masyarakat, Ya Allah jadikanlah beliau sebagai Presiden Indonesia thn 2024, Aamiin 🤲"
6,Sat Dec 30 19:29:46 +0000 2023,1741179790005240004,@xquitavee Saya selalu memastikan kalau pilihan saya akan tetap ke Ganjar sebagai presiden republik Indonesia tahun 2024 Masehi.. bukan Prabowo bukan anies,0,0,0,1,in,1430914246804574210,1741060044194718179,RohydzV,https://twitter.com/RohydzV/status/1741179790005240004,Saya selalu memastikan kalau pilihan saya akan tetap ke Ganjar sebagai presiden republik Indonesia tahun 2024 Masehi.. bukan Prabowo bukan anies
7,Sat Dec 30 17:44:35 +0000 2023,1741153322873377224,"#AniesTakTerbendung Allah SWT telah pilihkan Anies Baswedan menjadi Presiden RI thn 2024, tinggal rakyat Indonesia mau pilih atau tidak.   Ingat Allah SWT tdk akan mengubah nasib suatu kaum jika kaum tsb tdk mau mengubah nasibnya menjadi baik.""""",0,0,0,0,in,377832081,1741153322873377224,andi7044,https://twitter.com/andi7044/status/1741153322873377224,"#AniesTakTerbendung Allah SWT telah pilihkan Anies Baswedan menjadi Presiden RI thn 2024, tinggal rakyat Indonesia mau pilih atau tidak. Ingat Allah SWT tdk akan mengubah nasib suatu kaum jika kaum tsb tdk mau mengubah nasibnya menjadi baik."""""
8,Sat Dec 30 14:33:30 +0000 2023,1741105234909528131,@ferizandra Semoga pak Anies Baswedan menjadi presiden RI pada tahun 2024 dan menjadi motor perubahan bangsa Indonesia menjadi lebih baik lagi,0,1,1,18,in,1491212351324180481,1740887202073399620,DeniNugraha411,https://twitter.com/DeniNugraha411/status/1741105234909528131,Semoga pak Anies Baswedan menjadi presiden RI pada tahun 2024 dan menjadi motor perubahan bangsa Indonesia menjadi lebih baik lagi
9,Sat Dec 30 14:32:02 +0000 2023,1741104864636322280,@NdrewsTjan Maju terus pak Anies semoga 2024 jadi presiden membawa Indonesia Maju Adil dan makmur. Semoga kita tetap waras,0,0,0,0,in,1605562931869265922,1741027623776723345,dydosy,https://twitter.com/dydosy/status/1741104864636322280,Maju terus pak Anies semoga 2024 jadi presiden membawa Indonesia Maju Adil dan makmur. Semoga kita tetap waras
