,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Mon Oct 30 14:15:04 +0000 2023,1718994933426905323,"Momen Presiden Jokowi makan siang di Istana Negara Senin(30/10) siang, bersama tiga Cawapres di pemilu 2024, Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan.  source: love_jkt  #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #Pilpres2024 https://t.co/CAM0anph9c",0,0,0,0,in,1679896540285120512,1718994933426905323,daulatrakyatcom,https://twitter.com/daulatrakyatcom/status/1718994933426905323,"Momen Presiden Jokowi makan siang di Istana Negara Senin(30/10) siang, bersama tiga Cawapres di pemilu 2024, Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan. source: love_jkt #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #Pilpres2024 https://t.co/CAM0anph9c"
1,Mon Oct 30 14:03:03 +0000 2023,1718991912076734856,"@GeiszChalifah I like it..jokowi dimulyakan karena menjadi pilihan rakyat menjadi presiden..kl diperbandingkan sosok pribadinya,jelas anies lbh berkualitas..mari kita mulyakan sosok pribadi yg layak dan berkualitas seperti anies utk menjadi pemimpin indonesia di 2024..Anies presiden..",0,0,0,0,in,1683163250685538304,1718943606764077216,odilerha,https://twitter.com/odilerha/status/1718991912076734856,"I like it..jokowi dimulyakan karena menjadi pilihan rakyat menjadi presiden..kl diperbandingkan sosok pribadinya,jelas anies lbh berkualitas..mari kita mulyakan sosok pribadi yg layak dan berkualitas seperti anies utk menjadi pemimpin indonesia di 2024..Anies presiden.."
2,Mon Oct 30 14:02:55 +0000 2023,1718991876353818956,"Dengan undangan makan siang kepada tiga calon presiden Indonesia tahun 2024, Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto, semakin mempertegas bahwa Jokowi saat ini berada di puncak Piramida politik nasional. https://t.co/XvhI9pCpM1",0,1,0,2,in,519296882,1718991876353818956,Ainulyausman,https://twitter.com/Ainulyausman/status/1718991876353818956,"Dengan undangan makan siang kepada tiga calon presiden Indonesia tahun 2024, Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto, semakin mempertegas bahwa Jokowi saat ini berada di puncak Piramida politik nasional. https://t.co/XvhI9pCpM1"
3,Mon Oct 30 13:52:42 +0000 2023,1718989304004046951,@cobeh2022 Itulah doa terbaik bagi masa depan Indonesia.. Anies Rasyid Baswedan for Presiden RI 2024.,0,0,0,0,in,1637489335162503170,1718786103023648846,creepto2023,https://twitter.com/creepto2023/status/1718989304004046951,Itulah doa terbaik bagi masa depan Indonesia.. Anies Rasyid Baswedan for Presiden RI 2024.
4,Mon Oct 30 13:35:10 +0000 2023,1718984893106126910,Pastinya Anies Baswedan jadi Presiden Indonesia di tahun 2024. Sampai selesai.,0,0,0,0,in,1350839591247331328,1718984893106126910,Jali86476093,https://twitter.com/Jali86476093/status/1718984893106126910,Pastinya Anies Baswedan jadi Presiden Indonesia di tahun 2024. Sampai selesai.
5,Mon Oct 30 13:33:41 +0000 2023,1718984520631046169,@kumparan Tetap Anies Baswedan Presiden Indonesia di tahun 2024  sampai selesai.,0,0,0,2,in,1350839591247331328,1718983936431554640,Jali86476093,https://twitter.com/Jali86476093/status/1718984520631046169,Tetap Anies Baswedan Presiden Indonesia di tahun 2024 sampai selesai.
6,Mon Oct 30 12:32:06 +0000 2023,1718969022853927086,"Tujuan Presiden Jokowi Undang Prabowo Anies dan Ganjar Makan Bersama di Istana Negara: Pada (30/10/2023) Presiden Republik Indonesia, Jokowi mengundang tiga bakal Calon Presiden Pilpres 2024 yakni Prabowo… https://t.co/wO3Zh4QzZz #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/WslC419Ur1",0,0,0,0,in,1674289887053512704,1718969022853927086,indigo_cumicumi,https://twitter.com/indigo_cumicumi/status/1718969022853927086,"Tujuan Presiden Jokowi Undang Prabowo Anies dan Ganjar Makan Bersama di Istana Negara: Pada (30/10/2023) Presiden Republik Indonesia, Jokowi mengundang tiga bakal Calon Presiden Pilpres 2024 yakni Prabowo… https://t.co/wO3Zh4QzZz #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/WslC419Ur1"
7,Mon Oct 30 09:26:23 +0000 2023,1718922284554199227,@OmJ_JeNggot Pak Anies Baswedan pilihan rakyat Indonesia sang presiden 2024,0,0,0,29,in,1604837011294388225,1718903262798373107,Aniesprsdn2024,https://twitter.com/Aniesprsdn2024/status/1718922284554199227,Pak Anies Baswedan pilihan rakyat Indonesia sang presiden 2024
8,Mon Oct 30 07:34:02 +0000 2023,1718894010759266624,Selamat siang Indonesia 🇮🇩. Kenapa rakyat Indonesia sangat menginginkan pak Anies Baswedan jadi presiden RI di 2024-2029?,0,0,0,0,in,1613773688062775297,1718894010759266624,SolihenMuhamma1,https://twitter.com/SolihenMuhamma1/status/1718894010759266624,Selamat siang Indonesia 🇮🇩. Kenapa rakyat Indonesia sangat menginginkan pak Anies Baswedan jadi presiden RI di 2024-2029?
9,Mon Oct 30 07:31:41 +0000 2023,1718893418288652324,@tatakujiyati Saya titipkan Indonesia 2024 ditangan Presiden Anies Rasyid Baswedan. Bismillah makbul.,0,4,0,57,in,1062581887,1718882497076056466,ummuibnrizq,https://twitter.com/ummuibnrizq/status/1718893418288652324,Saya titipkan Indonesia 2024 ditangan Presiden Anies Rasyid Baswedan. Bismillah makbul.
