,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Wed Feb 28 04:01:08 +0000 2024,1762689364898017500,"Apa kalau Anies Ganjar jadi Presiden Indonesia lebih maju, belum tentu.  Apa kalau Prabowo menang Indonesia akan mengalami kemunduran, belum tentu juga.  Yang sudah pasti adalah sejak 2024, ketika elitis, borjuis dan oligarkian satu kubu memanipulasi trias politik, Demokrasi…",0,0,0,0,in,95578036,1762689364898017500,awangprasetya,https://twitter.com/awangprasetya/status/1762689364898017500,"Apa kalau Anies Ganjar jadi Presiden Indonesia lebih maju, belum tentu. Apa kalau Prabowo menang Indonesia akan mengalami kemunduran, belum tentu juga. Yang sudah pasti adalah sejak 2024, ketika elitis, borjuis dan oligarkian satu kubu memanipulasi trias politik, Demokrasi…"
1,Mon Feb 26 16:14:15 +0000 2024,1762149085514186821,@Rokib_saidani @narkosun Siapa takut? Kalo hak anget bisa bergulir dan prabowo gibran gagal jadi capres cawapres 2024 dan ganjar yg jadi presiden.  Gua bakal bagi2 10juta mobil pajero ke penduduk indonesia wkwkwk.  50juta ekor sapi ke penduduk indonesia wkwkwk  Dah puas? Mkmkmkmkmk,0,1,0,1,in,1727860654642733056,1762114826195865732,tanpafollower,https://twitter.com/tanpafollower/status/1762149085514186821,Siapa takut? Kalo hak anget bisa bergulir dan prabowo gibran gagal jadi capres cawapres 2024 dan ganjar yg jadi presiden. Gua bakal bagi2 10juta mobil pajero ke penduduk indonesia wkwkwk. 50juta ekor sapi ke penduduk indonesia wkwkwk Dah puas? Mkmkmkmkmk
2,Mon Feb 26 10:42:16 +0000 2024,1762065537495073201,"Dukungan masyarakat Jawa Tengah terhadap Ganjar sebagai calon presiden 2024 semakin meluas karena ia memiliki integritas yang tak tergoyahkan. Tiga Kali Lebih Sejahtera, Indonesia Jaya! @karturakyat  #KitaAdalahTiga #BanggaBersamaGPMMD https://t.co/C7fbBrDpxZ",0,0,0,0,in,1684822794880868352,1762065537495073201,burhnnrdn,https://twitter.com/burhnnrdn/status/1762065537495073201,"Dukungan masyarakat Jawa Tengah terhadap Ganjar sebagai calon presiden 2024 semakin meluas karena ia memiliki integritas yang tak tergoyahkan. Tiga Kali Lebih Sejahtera, Indonesia Jaya! #KitaAdalahTiga #BanggaBersamaGPMMD https://t.co/C7fbBrDpxZ"
3,Mon Feb 26 04:31:39 +0000 2024,1761972269726015956,"Wacana membawa dugaan kecurangan dalam Pemilu 2024 ke ranah hak angket pertama kali diajukan oleh calon presiden Ganjar.  6 Presiden Indonesia yang Pernah Diselidiki DPR Melalui Hak Angket""  https://t.co/Om6JwiHuDB https://t.co/4CnfUWCiw7""",0,0,6,37,in,797761417894051840,1761972269726015956,MarahIchsan,https://twitter.com/MarahIchsan/status/1761972269726015956,"Wacana membawa dugaan kecurangan dalam Pemilu 2024 ke ranah hak angket pertama kali diajukan oleh calon presiden Ganjar. 6 Presiden Indonesia yang Pernah Diselidiki DPR Melalui Hak Angket"" https://t.co/Om6JwiHuDB https://t.co/4CnfUWCiw7"""
4,Mon Feb 26 03:59:14 +0000 2024,1761964110068195329,Calon presiden Prabowo Subianto menerima ucapan selamat dari Presiden Turki Erdogan atas perolehan suara terbanyak dalam Pemilu 2024. Terimakasih atas hub yg sngt erat Indonesia - Turki. 👍 Smg Ganjar &amp  Anies legowo #Kemenangan02DiakuiDunia https://t.co/ShKv1KydO1,0,0,4,3,in,1469097798326841345,1761964110068195329,DeWiKecEb0nG,https://twitter.com/DeWiKecEb0nG/status/1761964110068195329,Calon presiden Prabowo Subianto menerima ucapan selamat dari Presiden Turki Erdogan atas perolehan suara terbanyak dalam Pemilu 2024. Terimakasih atas hub yg sngt erat Indonesia - Turki. 👍 Smg Ganjar &amp Anies legowo #Kemenangan02DiakuiDunia https://t.co/ShKv1KydO1
5,Sun Feb 25 15:05:32 +0000 2024,1761769401806946715,Lembaga Survei Indonesia (LSI) memotret tergerusnya suara pasangan Ganjar Pranowo dan Mahfud MD di Pemilihan Presiden (Pilpres) 2024. Hal ini dipengaruhi migrasinya pemilih Joko Widodo (Jokowi) dan Ma'ruf Amin pada Pilpres 2019.  https://t.co/qpC8hZRXRr https://t.co/HDIRPi92gZ,0,0,0,0,in,704238913158782977,1761769401806946715,tinusflip,https://twitter.com/tinusflip/status/1761769401806946715,Lembaga Survei Indonesia (LSI) memotret tergerusnya suara pasangan Ganjar Pranowo dan Mahfud MD di Pemilihan Presiden (Pilpres) 2024. Hal ini dipengaruhi migrasinya pemilih Joko Widodo (Jokowi) dan Ma'ruf Amin pada Pilpres 2019. https://t.co/qpC8hZRXRr https://t.co/HDIRPi92gZ
6,Sun Feb 25 07:13:03 +0000 2024,1761650499198329099,"Calon presiden 2024 yang diidamkan harus memiliki pandangan serupa dengan Ganjar dalam menyatukan perbedaan. Tiga Kali Lebih Sejahtera, Indonesia Jaya! @MaccaRenna12  #KitaAdalahTiga #BanggaBersamaGPMMD https://t.co/N1G6owTiQL",0,0,0,0,in,1685938251155329024,1761650499198329099,AdiPrasetyoo12,https://twitter.com/AdiPrasetyoo12/status/1761650499198329099,"Calon presiden 2024 yang diidamkan harus memiliki pandangan serupa dengan Ganjar dalam menyatukan perbedaan. Tiga Kali Lebih Sejahtera, Indonesia Jaya! #KitaAdalahTiga #BanggaBersamaGPMMD https://t.co/N1G6owTiQL"
7,Sun Feb 25 02:28:13 +0000 2024,1761578819423523033,"@detikcom G usah pikirin partai  yg kalah, pikirin rakyat Indonesia saja yg mau nerima prabowo gibran sebagai presiden 2024-2029, kalo ganjar-mahfud menang yg dipikirkan cuma radikal radikul tok!",0,0,0,0,in,1569589180912762880,1761316283407016402,brainnolimit1,https://twitter.com/brainnolimit1/status/1761578819423523033,"G usah pikirin partai yg kalah, pikirin rakyat Indonesia saja yg mau nerima prabowo gibran sebagai presiden 2024-2029, kalo ganjar-mahfud menang yg dipikirkan cuma radikal radikul tok!"
8,Sun Feb 25 02:01:01 +0000 2024,1761571973325541689,"@Mdy_Asmara1701 Hak Angket DPR RI melahirkan pemimpin baru Ganjar Presiden dan Anies Wakil Presiden versi anggota DPR RI (PDIP, Nasdem, PKB, PKS, PPP, dll)  Versi Rakyat telah memilih Prabowo - Gibran sebagai Presiden dan Wakil Presiden Indonesia 2024-2029. 🤣😂",0,0,0,2,in,147198181,1761339584942608834,gea_asa,https://twitter.com/gea_asa/status/1761571973325541689,"Hak Angket DPR RI melahirkan pemimpin baru Ganjar Presiden dan Anies Wakil Presiden versi anggota DPR RI (PDIP, Nasdem, PKB, PKS, PPP, dll) Versi Rakyat telah memilih Prabowo - Gibran sebagai Presiden dan Wakil Presiden Indonesia 2024-2029. 🤣😂"
9,Fri Feb 23 12:47:13 +0000 2024,1761009817613992043,"Kunjungan Calon Presiden nomor urut 03, Ganjar Pranowo, ke Indonesia International Motor Show (IIMS) 2024 pada Kamis (23/2/2024) kemarin, menarik perh... https://t.co/CUp6Fv6pYB",0,0,0,0,in,46693036,1761009817613992043,inilahdotcom,https://twitter.com/inilahdotcom/status/1761009817613992043,"Kunjungan Calon Presiden nomor urut 03, Ganjar Pranowo, ke Indonesia International Motor Show (IIMS) 2024 pada Kamis (23/2/2024) kemarin, menarik perh... https://t.co/CUp6Fv6pYB"
