,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Wed Aug 30 22:07:58 +0000 2023,1697008285105402002,Calon presiden Ganjar Pranowo menduduki peringkat pertama dalam kontestasi Pilpres 2024 sebagai capres. Ganjar unggul dari dibanding dua capres lainnya dalam survei terbaru Lembaga Survei Indonesia (LSI) yang dilakukan pada 3 hingga 9 Agustus 2023. #SMKNGanjarLayakMenasional… https://t.co/JNlVgyLhmg,0,0,0,1,in,1461544752688418820,1697008285105402002,BestieGanjar,https://twitter.com/BestieGanjar/status/1697008285105402002,Calon presiden Ganjar Pranowo menduduki peringkat pertama dalam kontestasi Pilpres 2024 sebagai capres. Ganjar unggul dari dibanding dua capres lainnya dalam survei terbaru Lembaga Survei Indonesia (LSI) yang dilakukan pada 3 hingga 9 Agustus 2023. #SMKNGanjarLayakMenasional… https://t.co/JNlVgyLhmg
1,Wed Aug 30 21:13:25 +0000 2023,1696994554241798571,Rakyat Indonesia dukung Ganjar Pranowo jadi Presiden 2024  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/nRUJQ1DtcU,0,0,0,0,in,1566386888688095233,1696994554241798571,GanjarPresiden_,https://twitter.com/GanjarPresiden_/status/1696994554241798571,Rakyat Indonesia dukung Ganjar Pranowo jadi Presiden 2024 #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/nRUJQ1DtcU
2,Wed Aug 30 21:13:07 +0000 2023,1696994480761815187,Ganjar Pranowo calon Presiden 2024 pilihan rakyat Indonesia  #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/5zgCBTamgF,0,10,115,1,in,1566386888688095233,1696994480761815187,GanjarPresiden_,https://twitter.com/GanjarPresiden_/status/1696994480761815187,Ganjar Pranowo calon Presiden 2024 pilihan rakyat Indonesia #GanjarPranowo #GanjarCapres #GanjarPresiden #GanjarMenangTotal #GanjarPilihanRakyat #Presiden2024 #GanjarPresiden2024 #Pilpres2024 #Pemilu2024 #LapakGanjar https://t.co/5zgCBTamgF
3,Wed Aug 30 16:30:20 +0000 2023,1696923314583949346,"@VIVAcoid Makin tak terbendung, kehendak rakyat, kehendak Tuhan, Ganjar Pranowo Insya Allah Presiden Indonesia 2024",0,1,0,0,in,1660943705610813440,1696811135968952498,rekanmudaGP,https://twitter.com/rekanmudaGP/status/1696923314583949346,"Makin tak terbendung, kehendak rakyat, kehendak Tuhan, Ganjar Pranowo Insya Allah Presiden Indonesia 2024"
4,Wed Aug 30 15:54:11 +0000 2023,1696914217650307208,@gibran_tweet Alhamdulillah berarti level Mas wali @gibran_tweet sudah cocok Jadi Gubernur Jateng/DKI.Insya ALLAH 10 Tahun lagi sudah Berpengalaman melanjutkan ke jenjang Presiden di 2034 saya pribadi sebagai pendukung Bapak Jokowi mendukung Bapak Ganjar Presiden  Indonesia di 2024 Aamiiin🤲,0,1,0,1,in,4582394940,1696911325614805150,MUSUHKHAWARIJ,https://twitter.com/MUSUHKHAWARIJ/status/1696914217650307208,Alhamdulillah berarti level Mas wali sudah cocok Jadi Gubernur Jateng/DKI.Insya ALLAH 10 Tahun lagi sudah Berpengalaman melanjutkan ke jenjang Presiden di 2034 saya pribadi sebagai pendukung Bapak Jokowi mendukung Bapak Ganjar Presiden Indonesia di 2024 Aamiiin🤲
5,Wed Aug 30 15:40:06 +0000 2023,1696910675585708082,@Aryprasetyo85 @jokowi Kerja nyata gini yg RAKYAT SUKA bikin hati rakyat Indonesia JADIKAN PAK GANJAR PRANOWO sebagai presiden Indonesia -- 2024 pasti satu putaran RI 1 🇮🇩🙏,0,1,0,1,in,1551048725610758144,1696853685752742026,YusufNusantara5,https://twitter.com/YusufNusantara5/status/1696910675585708082,Kerja nyata gini yg RAKYAT SUKA bikin hati rakyat Indonesia JADIKAN PAK GANJAR PRANOWO sebagai presiden Indonesia -- 2024 pasti satu putaran RI 1 🇮🇩🙏
6,Wed Aug 30 14:44:50 +0000 2023,1696896764802953543,"Fenomena Ganjar Rebound terus berlanjut seiring dengan hasil survei terbaru yang dirilis oleh Lembaga Survei Indonesia (LSI). Survei terkait elektabilitas bakal calon presiden (bacapres) 2024 tersebut dirilis LSI secara daring, Rabu (30/8/2023).  Dalam simulasi tertutup tiga… https://t.co/Cy54dOU7LS",0,1,9,15,in,1226725839099707392,1696896764802953543,aan_muba,https://twitter.com/aan_muba/status/1696896764802953543,"Fenomena Ganjar Rebound terus berlanjut seiring dengan hasil survei terbaru yang dirilis oleh Lembaga Survei Indonesia (LSI). Survei terkait elektabilitas bakal calon presiden (bacapres) 2024 tersebut dirilis LSI secara daring, Rabu (30/8/2023). Dalam simulasi tertutup tiga… https://t.co/Cy54dOU7LS"
7,Wed Aug 30 14:27:23 +0000 2023,1696892372527767845,Ganjar Pranowo hadir ditengah puluhan ribu para kader yang penuh semangat untuk memenangkan PDIP pada Pilpres dan Pileg di 2024 mendatang.  Sang Calon Presiden Indonesia ini membakar semangat para kader yang penuh sesak padati Stadion Jatidiri Semarang. https://t.co/D7SrdskJkT,0,1,0,0,in,1548237019729391622,1696892372527767845,gp_indonesiagp,https://twitter.com/gp_indonesiagp/status/1696892372527767845,Ganjar Pranowo hadir ditengah puluhan ribu para kader yang penuh semangat untuk memenangkan PDIP pada Pilpres dan Pileg di 2024 mendatang. Sang Calon Presiden Indonesia ini membakar semangat para kader yang penuh sesak padati Stadion Jatidiri Semarang. https://t.co/D7SrdskJkT
8,Wed Aug 30 14:26:05 +0000 2023,1696892048282918975,Ganjar Pranowo hadir ditengah puluhan ribu para kader yang penuh semangat untuk memenangkan PDIP pada Pilpres dan Pileg di 2024 mendatang.  Sang Calon Presiden Indonesia ini membakar semangat para kader yang penuh sesak padati Stadion Jatidiri Semarang. https://t.co/Upfo2IDUVn,0,1,0,0,in,1479757801299738627,1696892048282918975,4_gp2024,https://twitter.com/4_gp2024/status/1696892048282918975,Ganjar Pranowo hadir ditengah puluhan ribu para kader yang penuh semangat untuk memenangkan PDIP pada Pilpres dan Pileg di 2024 mendatang. Sang Calon Presiden Indonesia ini membakar semangat para kader yang penuh sesak padati Stadion Jatidiri Semarang. https://t.co/Upfo2IDUVn
9,Wed Aug 30 13:26:44 +0000 2023,1696877112660206045,Mantap pak ganjar !! Presiden indonesia 2024 https://t.co/y9FyxjoGyr,0,0,0,0,in,1579385961766481920,1696877112660206045,ganjarDIY,https://twitter.com/ganjarDIY/status/1696877112660206045,Mantap pak ganjar !! Presiden indonesia 2024 https://t.co/y9FyxjoGyr
