,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Sat Dec 30 23:25:31 +0000 2023,1741239117953077597,"@ganjarpranowo Keren pak Ganjar Pranowo yg selalu berusaha dan sabar dekat dengan rakyat, doa kami untuk Indonesia agar bapak jd presiden Indonesia th 2024",0,0,0,0,in,1708737301462007808,1740919185818165515,Maysaroh2023534,https://twitter.com/Maysaroh2023534/status/1741239117953077597,"Keren pak Ganjar Pranowo yg selalu berusaha dan sabar dekat dengan rakyat, doa kami untuk Indonesia agar bapak jd presiden Indonesia th 2024"
1,Sat Dec 30 23:22:30 +0000 2023,1741238359987802438,"@ganjarpranowo Keren pak Ganjar Pranowo yg selalu berusaha dan sabar dekat dengan rakyat, doa kami untuk Indonesia agar bapak jd presiden Indonesia th 2024",0,0,0,0,in,1707628841764864000,1740919185818165515,Bella9316530695,https://twitter.com/Bella9316530695/status/1741238359987802438,"Keren pak Ganjar Pranowo yg selalu berusaha dan sabar dekat dengan rakyat, doa kami untuk Indonesia agar bapak jd presiden Indonesia th 2024"
2,Sat Dec 30 19:29:46 +0000 2023,1741179790005240004,@xquitavee Saya selalu memastikan kalau pilihan saya akan tetap ke Ganjar sebagai presiden republik Indonesia tahun 2024 Masehi.. bukan Prabowo bukan anies,0,0,0,1,in,1430914246804574210,1741060044194718179,RohydzV,https://twitter.com/RohydzV/status/1741179790005240004,Saya selalu memastikan kalau pilihan saya akan tetap ke Ganjar sebagai presiden republik Indonesia tahun 2024 Masehi.. bukan Prabowo bukan anies
3,Sat Dec 30 17:20:29 +0000 2023,1741147255833559095,"Deklarasi dan pernyataan sikap Generasi Muda NU (GMNU), mendukung bapak H.Ganjar Pranowo dan Prof. Dr. KH. Mahfud MD sebagai Presiden dan Wakil Presiden RI periode 2024-2029, Menuju Indonesia Unggul. #GasssGanjarMahfud https://t.co/qyLBsGaNkL",1,0,13,20,in,1354072148030091264,1741147255833559095,CahAngo45022699,https://twitter.com/CahAngo45022699/status/1741147255833559095,"Deklarasi dan pernyataan sikap Generasi Muda NU (GMNU), mendukung bapak H.Ganjar Pranowo dan Prof. Dr. KH. Mahfud MD sebagai Presiden dan Wakil Presiden RI periode 2024-2029, Menuju Indonesia Unggul. #GasssGanjarMahfud https://t.co/qyLBsGaNkL"
4,Sat Dec 30 15:49:56 +0000 2023,1741124466858713207,"Calon presiden nomor urut 3, Ganjar Pranowo janji menghadirkan SMK Gratis di setiap kabupaten dan kota di seluruh Indonesia jika dirinya bersama Prof Mahfud MD terpilih sebagai Presiden dan Wakil Presiden RI 2024-2029.  Berdasarkan hitung-hitungan yang sudah dilakukan, anggaran… https://t.co/HxVogkzQyD",0,0,2,3,in,4200694752,1741124466858713207,Ari3Pras,https://twitter.com/Ari3Pras/status/1741124466858713207,"Calon presiden nomor urut 3, Ganjar Pranowo janji menghadirkan SMK Gratis di setiap kabupaten dan kota di seluruh Indonesia jika dirinya bersama Prof Mahfud MD terpilih sebagai Presiden dan Wakil Presiden RI 2024-2029. Berdasarkan hitung-hitungan yang sudah dilakukan, anggaran… https://t.co/HxVogkzQyD"
5,Sat Dec 30 14:26:19 +0000 2023,1741103425792970952,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.2%  Total Votes : 250352    Berikan vote anda, klik link   https://t.co/stJXOVjzEh   Tolong retweet dan mention teman-temanmu ya. Terima kasih",0,0,0,0,in,1645311179139739651,1741103425792970952,Ekocahcraken,https://twitter.com/Ekocahcraken/status/1741103425792970952,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.2% Total Votes : 250352 Berikan vote anda, klik link https://t.co/stJXOVjzEh Tolong retweet dan mention teman-temanmu ya. Terima kasih"
6,Sat Dec 30 14:15:45 +0000 2023,1741100766872649951,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1%  Total Votes : 250224    Berikan vote anda, klik link   https://t.co/QwdFN3p4KK   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/zJ2ey61TW5",0,0,0,0,in,1428145120445042690,1741100766872649951,Ifan161812,https://twitter.com/Ifan161812/status/1741100766872649951,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1% Total Votes : 250224 Berikan vote anda, klik link https://t.co/QwdFN3p4KK Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/zJ2ey61TW5"
7,Sat Dec 30 14:13:02 +0000 2023,1741100084560031914,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1%  Total Votes : 250188    Berikan vote anda, klik link   https://t.co/Q6W18uLaTZ   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/O7ZACx2MB3",0,0,0,1,in,1592409246523887616,1741100084560031914,badai1110,https://twitter.com/badai1110/status/1741100084560031914,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1% Total Votes : 250188 Berikan vote anda, klik link https://t.co/Q6W18uLaTZ Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/O7ZACx2MB3"
8,Sat Dec 30 14:10:46 +0000 2023,1741099513589456919,Indonesia Harus Dipimpin Orang Baik dan Jujur! Said Aqil Sebut Mahfud MD Pemimpin yang Berintegritas dan Paham Hukum  Jatim Ganjar Pranowo Presiden Pilihanku 2024   Elmer Nadia Omara Selingkuh TikTok Rohingya #EXO122ndWin Discord Masukin Butet Rozi HAPPY BIRTHDAY MY LOVE Mirip https://t.co/GBkPjN3U2W,0,0,1,1,in,1722076997055287296,1741099513589456919,devitostrrio,https://twitter.com/devitostrrio/status/1741099513589456919,Indonesia Harus Dipimpin Orang Baik dan Jujur! Said Aqil Sebut Mahfud MD Pemimpin yang Berintegritas dan Paham Hukum Jatim Ganjar Pranowo Presiden Pilihanku 2024 Elmer Nadia Omara Selingkuh TikTok Rohingya #EXO122ndWin Discord Masukin Butet Rozi HAPPY BIRTHDAY MY LOVE Mirip https://t.co/GBkPjN3U2W
9,Sat Dec 30 14:08:07 +0000 2023,1741098844321128464,Bersiap Menuju Indonesia Bersih! Ganjar-Mahfud Akan Hadirkan Digitalisasi Birokrasi Agar Indonesia Bebas KKN  Jatim Ganjar Pranowo Presiden Pilihanku 2024   Elmer Nadia Omara Selingkuh TikTok Rohingya #EXO122ndWin Discord Masukin Butet Rozi HAPPY BIRTHDAY MY LOVE Mirip https://t.co/UHlHMLmLwQ,0,0,1,1,in,1722072403180974080,1741098844321128464,crlandhica,https://twitter.com/crlandhica/status/1741098844321128464,Bersiap Menuju Indonesia Bersih! Ganjar-Mahfud Akan Hadirkan Digitalisasi Birokrasi Agar Indonesia Bebas KKN Jatim Ganjar Pranowo Presiden Pilihanku 2024 Elmer Nadia Omara Selingkuh TikTok Rohingya #EXO122ndWin Discord Masukin Butet Rozi HAPPY BIRTHDAY MY LOVE Mirip https://t.co/UHlHMLmLwQ
