,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Mon Oct 30 20:38:10 +0000 2023,1719091345820975174,@gus_dibyo Drama yang tiada akhirnya.Semangat dukung Pak Ganjar Mahfud sebagai Presiden dan Wakil Presiden RI 2024 semoga ditangan beliau2 ini Indonesia semakin maju dan berkembang,0,0,0,0,in,1712279955898503168,1718970685421465842,SintaFrans46195,https://twitter.com/SintaFrans46195/status/1719091345820975174,Drama yang tiada akhirnya.Semangat dukung Pak Ganjar Mahfud sebagai Presiden dan Wakil Presiden RI 2024 semoga ditangan beliau2 ini Indonesia semakin maju dan berkembang
1,Mon Oct 30 20:26:40 +0000 2023,1719088449616326973,@gus_dibyo Apapun itu mari kita doakan yang terbaik buat Indonesia kita ini.tetap optimis dukung Pak Ganjar Mahfud sebagai Presiden dan Wakil Presiden RI 2024,0,0,0,0,in,1712281034581291008,1718970685421465842,Salahselal76315,https://twitter.com/Salahselal76315/status/1719088449616326973,Apapun itu mari kita doakan yang terbaik buat Indonesia kita ini.tetap optimis dukung Pak Ganjar Mahfud sebagai Presiden dan Wakil Presiden RI 2024
2,Mon Oct 30 15:07:11 +0000 2023,1719008052089942154,@Gus_Raharjo dukung Pak Ganjar Pranowo menuju Presiden Indonesia 2024,0,0,0,2,in,1481219855688765440,1718877524925772033,Gingsul97280757,https://twitter.com/Gingsul97280757/status/1719008052089942154,dukung Pak Ganjar Pranowo menuju Presiden Indonesia 2024
3,Mon Oct 30 14:29:42 +0000 2023,1718998619465121921,@ganjarpranowo Calon presiden indonesia yang bisa merangkul semua kalangan. gasspoll untuk pak Ganjar 2024,0,0,0,0,in,1718580772037431296,1718860494252208328,rioaprizal01,https://twitter.com/rioaprizal01/status/1718998619465121921,Calon presiden indonesia yang bisa merangkul semua kalangan. gasspoll untuk pak Ganjar 2024
4,Mon Oct 30 14:15:04 +0000 2023,1718994933426905323,"Momen Presiden Jokowi makan siang di Istana Negara Senin(30/10) siang, bersama tiga Cawapres di pemilu 2024, Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan.  source: love_jkt  #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #Pilpres2024 https://t.co/CAM0anph9c",0,0,0,0,in,1679896540285120512,1718994933426905323,daulatrakyatcom,https://twitter.com/daulatrakyatcom/status/1718994933426905323,"Momen Presiden Jokowi makan siang di Istana Negara Senin(30/10) siang, bersama tiga Cawapres di pemilu 2024, Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan. source: love_jkt #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #Pilpres2024 https://t.co/CAM0anph9c"
5,Mon Oct 30 14:02:55 +0000 2023,1718991876353818956,"Dengan undangan makan siang kepada tiga calon presiden Indonesia tahun 2024, Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto, semakin mempertegas bahwa Jokowi saat ini berada di puncak Piramida politik nasional. https://t.co/XvhI9pCpM1",0,1,0,2,in,519296882,1718991876353818956,Ainulyausman,https://twitter.com/Ainulyausman/status/1718991876353818956,"Dengan undangan makan siang kepada tiga calon presiden Indonesia tahun 2024, Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto, semakin mempertegas bahwa Jokowi saat ini berada di puncak Piramida politik nasional. https://t.co/XvhI9pCpM1"
6,Mon Oct 30 13:55:09 +0000 2023,1718989924693889479,Memajukan Masa Depan Digital Indonesia dengan Menciptakan Ekosistem Bersih Untuk Para Pencipta Konten Digital.  Ganjar-Mahfud (GM) Presiden 2024.  #GanjarUntukSemua #GM2024 #BraderBogor007 #KomandoKeberagaman https://t.co/qLncmMaJsm,0,1,4,10,in,1691496331469279232,1718989924693889479,tukangrosok22_,https://twitter.com/tukangrosok22_/status/1718989924693889479,Memajukan Masa Depan Digital Indonesia dengan Menciptakan Ekosistem Bersih Untuk Para Pencipta Konten Digital. Ganjar-Mahfud (GM) Presiden 2024. #GanjarUntukSemua #GM2024 #BraderBogor007 #KomandoKeberagaman https://t.co/qLncmMaJsm
7,Mon Oct 30 12:32:06 +0000 2023,1718969022853927086,"Tujuan Presiden Jokowi Undang Prabowo Anies dan Ganjar Makan Bersama di Istana Negara: Pada (30/10/2023) Presiden Republik Indonesia, Jokowi mengundang tiga bakal Calon Presiden Pilpres 2024 yakni Prabowo… https://t.co/wO3Zh4QzZz #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/WslC419Ur1",0,0,0,0,in,1674289887053512704,1718969022853927086,indigo_cumicumi,https://twitter.com/indigo_cumicumi/status/1718969022853927086,"Tujuan Presiden Jokowi Undang Prabowo Anies dan Ganjar Makan Bersama di Istana Negara: Pada (30/10/2023) Presiden Republik Indonesia, Jokowi mengundang tiga bakal Calon Presiden Pilpres 2024 yakni Prabowo… https://t.co/wO3Zh4QzZz #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/WslC419Ur1"
8,Mon Oct 30 09:12:07 +0000 2023,1718918693906960573,Sholawat Akbar dalam mendukung Ganjar-Mahfud sebagai calon Presiden dan Wakil Presiden Indonesia pada Tahun 2024 adalah momen yang tidak boleh dilewatkan bagi masyarakat Bekasi.  #SahabatGanjar #GanjarPranowo #Ganjar  #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/zmoOaOINqH,0,0,0,0,in,2503761613,1718918693906960573,IDSahabatGanjar,https://twitter.com/IDSahabatGanjar/status/1718918693906960573,Sholawat Akbar dalam mendukung Ganjar-Mahfud sebagai calon Presiden dan Wakil Presiden Indonesia pada Tahun 2024 adalah momen yang tidak boleh dilewatkan bagi masyarakat Bekasi. #SahabatGanjar #GanjarPranowo #Ganjar #GanjarPresiden #GanjarUntukSemua #GanjarMahfud2024 https://t.co/zmoOaOINqH
9,Mon Oct 30 08:34:15 +0000 2023,1718909163500405141,Ganjar Mau Tarik Khofifah dan Ridwan Kamil ke Tim Pemenangan Pilpres 2024  Prabowo Subianto Gal Gadot Kiky Rocket Chicken Ganjar Presiden Emyu Kalimantan Senin Indonesia Onana Ten Hag Olive Zionis Jatinangor Apel Pagi Anthony Doku https://t.co/ZbaUszUpPI,0,0,1,1,in,1598330358604345344,1718909163500405141,AnditaLyan14,https://twitter.com/AnditaLyan14/status/1718909163500405141,Ganjar Mau Tarik Khofifah dan Ridwan Kamil ke Tim Pemenangan Pilpres 2024 Prabowo Subianto Gal Gadot Kiky Rocket Chicken Ganjar Presiden Emyu Kalimantan Senin Indonesia Onana Ten Hag Olive Zionis Jatinangor Apel Pagi Anthony Doku https://t.co/ZbaUszUpPI
