,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Wed Aug 30 12:45:49 +0000 2023,1696866812787646872,"Sebagai Sekjen BPP Hipmi, saya mendukung Prabowo Subianto sebagai calon presiden pada Pemilu 2024. Beliau memiliki pandangan yang kuat terhadap isu-isu ekonomi yang akan membawa kemajuan bagi Indonesia. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024",0,0,0,0,in,1684315440917655553,1696866812787646872,fiscarevan21,https://twitter.com/fiscarevan21/status/1696866812787646872,"Sebagai Sekjen BPP Hipmi, saya mendukung Prabowo Subianto sebagai calon presiden pada Pemilu 2024. Beliau memiliki pandangan yang kuat terhadap isu-isu ekonomi yang akan membawa kemajuan bagi Indonesia. #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
1,Wed Aug 30 12:30:16 +0000 2023,1696862902312223202,"Bakal calon presiden dari Koalisi Indonesia Maju, Prabowo Subianto sedang dalam proses memilih calon wakil presiden (cawapres) untuk Pilpres 2024. Mari kita semua memberikan dukungan dan semangat dalam #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024",0,0,0,0,in,1678659830595321856,1696862902312223202,violamarcelinaa,https://twitter.com/violamarcelinaa/status/1696862902312223202,"Bakal calon presiden dari Koalisi Indonesia Maju, Prabowo Subianto sedang dalam proses memilih calon wakil presiden (cawapres) untuk Pilpres 2024. Mari kita semua memberikan dukungan dan semangat dalam #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
2,Wed Aug 30 12:27:20 +0000 2023,1696862164857106812,"Bakal calon presiden dari Koalisi Indonesia Maju, Prabowo Subianto sedang dalam proses memilih calon wakil presiden (cawapres) untuk Pilpres 2024. Mari kita semua memberikan dukungan dan semangat dalam #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024",0,0,0,0,in,1678436488294580224,1696862164857106812,amaliaarahma_12,https://twitter.com/amaliaarahma_12/status/1696862164857106812,"Bakal calon presiden dari Koalisi Indonesia Maju, Prabowo Subianto sedang dalam proses memilih calon wakil presiden (cawapres) untuk Pilpres 2024. Mari kita semua memberikan dukungan dan semangat dalam #pilpres2024 #dekade08 #mendingprabowo #terusmajubersamaprabowo #pemilu2024"
3,Wed Aug 30 11:40:25 +0000 2023,1696850357832569074,"@Hilmi28 @aniesbaswedan @univ_indonesia @prabowo @ganjarpranowo @UGMYogyakarta Walaupun benderaku berbeda dan harus  dilepas bendera, saya  Tetap berjuang utk Pak Anies Baswedan Presiden RI 2024 - 2029",0,0,0,4,in,752639873966682112,1696797092524732507,pradanaarp,https://twitter.com/pradanaarp/status/1696850357832569074,"Walaupun benderaku berbeda dan harus dilepas bendera, saya Tetap berjuang utk Pak Anies Baswedan Presiden RI 2024 - 2029"
4,Wed Aug 30 11:37:25 +0000 2023,1696849599460495781,"Makna Jokowi Menunjuk Ganjar di Depan Prabowo  Pengaruh Jokowi memang luar biasa. Walaupun masa jabatannya sebagai Presiden Republik Indonesia akan segera berakhir tepatnya Oktober 2024, tapi pengaruh politiknya sangat besar.  Di kalangan parlemen, istana dan elit parpol saking… https://t.co/KxlcoVKJuk",1,35,39,206,in,821859629034409985,1696849599460495781,KakekHalal,https://twitter.com/KakekHalal/status/1696849599460495781,"Makna Jokowi Menunjuk Ganjar di Depan Prabowo Pengaruh Jokowi memang luar biasa. Walaupun masa jabatannya sebagai Presiden Republik Indonesia akan segera berakhir tepatnya Oktober 2024, tapi pengaruh politiknya sangat besar. Di kalangan parlemen, istana dan elit parpol saking… https://t.co/KxlcoVKJuk"
5,Wed Aug 30 09:04:12 +0000 2023,1696811041139872207,Cuma Pak Prabowo diantara calon presiden Indonesia 2024 yang memiliki weton sama dengan Pak Jokowi. Masyarakat Indonesia berharap betul sih beliau yang akan menjadi Presiden Indonesia selanjutnya Aamiin Prabowo Lanjutkan Jokowi #RabuPon https://t.co/RjMnslvZm7,0,0,0,0,in,2759057711,1696811041139872207,milkiehs,https://twitter.com/milkiehs/status/1696811041139872207,Cuma Pak Prabowo diantara calon presiden Indonesia 2024 yang memiliki weton sama dengan Pak Jokowi. Masyarakat Indonesia berharap betul sih beliau yang akan menjadi Presiden Indonesia selanjutnya Aamiin Prabowo Lanjutkan Jokowi #RabuPon https://t.co/RjMnslvZm7
6,Wed Aug 30 09:00:01 +0000 2023,1696809989862494408,Wahh dari 3 calon presiden 2024 yang memiliki weton yang sama dengan Pak Jokowi yakni Pak Prabowo Subianto. Kami berharap betul setelah ini Pak Prabowo yang akan meneruskan kepemimpinan Pak Jokowi untuk Indonesia lebih maju! Prabowo Lanjutkan Jokowi #RabuPon https://t.co/JqNWp31ERS,0,0,0,0,in,2757699665,1696809989862494408,lomtba,https://twitter.com/lomtba/status/1696809989862494408,Wahh dari 3 calon presiden 2024 yang memiliki weton yang sama dengan Pak Jokowi yakni Pak Prabowo Subianto. Kami berharap betul setelah ini Pak Prabowo yang akan meneruskan kepemimpinan Pak Jokowi untuk Indonesia lebih maju! Prabowo Lanjutkan Jokowi #RabuPon https://t.co/JqNWp31ERS
7,Wed Aug 30 07:41:33 +0000 2023,1696790244518207755,@Mi9aWempy @Himan67392484 @jokowi @ganjarpranowo Pak Ganjar juga terbaik dari Anies dan prabowo. Mari kita menangkan pak Ganjar.agar menjadi presiden Indonesia th 2024 nanti💪💪,0,1,1,2,in,1673661878889750533,1696767899292315762,nurdiinfoto,https://twitter.com/nurdiinfoto/status/1696790244518207755,Pak Ganjar juga terbaik dari Anies dan prabowo. Mari kita menangkan pak Ganjar.agar menjadi presiden Indonesia th 2024 nanti💪💪
8,Wed Aug 30 07:11:26 +0000 2023,1696782662504177822,"@aryabiput @aniesbaswedan @FISIP_UI @BEMFISIPUI @univ_indonesia melihat pak anies gak ada kekuranganya, cerdas banget semoga pak anies  jadi presiden 2024, mungkin pak ganjar dan pak prabowo bisa jadi menterinya setuju ya",0,0,0,2,in,40741612,1696533427582021884,garong_bukan,https://twitter.com/garong_bukan/status/1696782662504177822,"melihat pak anies gak ada kekuranganya, cerdas banget semoga pak anies jadi presiden 2024, mungkin pak ganjar dan pak prabowo bisa jadi menterinya setuju ya"
9,Wed Aug 30 03:00:41 +0000 2023,1696719560005824942,"Saatnya Prabowo Presiden 2024. Satukan tekad pilih prabowo,kita berjuang untuk indonesia kedepannya. #saatnyaprabowopresiden https://t.co/rRo4zMUMe8",0,0,0,0,in,2556112805,1696719560005824942,RTanjco,https://twitter.com/RTanjco/status/1696719560005824942,"Saatnya Prabowo Presiden 2024. Satukan tekad pilih prabowo,kita berjuang untuk indonesia kedepannya. #saatnyaprabowopresiden https://t.co/rRo4zMUMe8"
10,Wed Aug 30 01:57:45 +0000 2023,1696703721147887995,@jansen_jsp @aniesbaswedan Hidup Koalisi kebangkitan indonesia raya!hidup partai gerindra! Prabowo Subianto presiden 2024!,0,0,0,0,in,1008518022896627712,1696442821417533951,hasapeta258,https://twitter.com/hasapeta258/status/1696703721147887995,Hidup Koalisi kebangkitan indonesia raya!hidup partai gerindra! Prabowo Subianto presiden 2024!
11,Tue Aug 29 23:38:23 +0000 2023,1696668649850053054,"Luar biasa.prabowo presiden Republik Indonesia 2024,macan asia https://t.co/nUr0Ii38xR",0,0,0,0,in,1692360767868473344,1696668649850053054,DSetyo63371,https://twitter.com/DSetyo63371/status/1696668649850053054,"Luar biasa.prabowo presiden Republik Indonesia 2024,macan asia https://t.co/nUr0Ii38xR"
12,Tue Aug 29 16:23:31 +0000 2023,1696559213705679113,@tempodotco Ayoo dong Rakyat Indonesia jadilah Cerdas.... jangan pilih pemimpin hasilan polesan doang.... Anies Presiden 2024,0,0,0,6,in,1569863143656136705,1696492415241314770,prabowo_wishnu,https://twitter.com/prabowo_wishnu/status/1696559213705679113,Ayoo dong Rakyat Indonesia jadilah Cerdas.... jangan pilih pemimpin hasilan polesan doang.... Anies Presiden 2024
