,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Sat Dec 30 22:00:44 +0000 2023,1741217783789314164,@PahetKopi28207 @PartaiSocmed Presiden 2024 didunia maya anies baswedan dan presiden didunia nyata adalah prabowo,0,2,0,0,in,1117903503949615104,1740991082262118623,Indonesia_24,https://twitter.com/Indonesia_24/status/1741217783789314164,Presiden 2024 didunia maya anies baswedan dan presiden didunia nyata adalah prabowo
1,Sat Dec 30 19:29:46 +0000 2023,1741179790005240004,@xquitavee Saya selalu memastikan kalau pilihan saya akan tetap ke Ganjar sebagai presiden republik Indonesia tahun 2024 Masehi.. bukan Prabowo bukan anies,0,0,0,1,in,1430914246804574210,1741060044194718179,RohydzV,https://twitter.com/RohydzV/status/1741179790005240004,Saya selalu memastikan kalau pilihan saya akan tetap ke Ganjar sebagai presiden republik Indonesia tahun 2024 Masehi.. bukan Prabowo bukan anies
2,Sat Dec 30 18:07:26 +0000 2023,1741159070202314955,@dhemit_is_back Bismillah Prabowo Presiden Indonesia 2024  Menang Tanpa Menjatuhkan Lawan Dan Menang Tanpa Merendahkan Lawan....,0,3,0,1,in,156171271,1741158343815868749,Kang_Kunci_,https://twitter.com/Kang_Kunci_/status/1741159070202314955,Bismillah Prabowo Presiden Indonesia 2024 Menang Tanpa Menjatuhkan Lawan Dan Menang Tanpa Merendahkan Lawan....
3,Sat Dec 30 18:04:32 +0000 2023,1741158343815868749,Indonesia Butuh Pilot Untuk Bawa Ke Indonesia Emas  Prabowo Subianto Presiden Indonesia 2024 https://t.co/uCWIBhhSTd,17,144,29,85,in,117694469,1741158343815868749,dhemit_is_back,https://twitter.com/dhemit_is_back/status/1741158343815868749,Indonesia Butuh Pilot Untuk Bawa Ke Indonesia Emas Prabowo Subianto Presiden Indonesia 2024 https://t.co/uCWIBhhSTd
4,Sat Dec 30 17:26:37 +0000 2023,1741148801233281254,"Jelang Pilpres 2024, para kandidat tengah sibuk melakukan kampanye, salah satunya calon presiden (capres) nomor urut 2 Prabowo Subianto.   Prabowo menerima dukungan ribuan relawan Gerakan Muslim Persatuan Indonesia Cinta Tanah Air (Gempita) di Sudirman Ballroom Bandung, Jawa… https://t.co/HOopmHArDk",0,2,12,14,in,55507370,1741148801233281254,tvOneNews,https://twitter.com/tvOneNews/status/1741148801233281254,"Jelang Pilpres 2024, para kandidat tengah sibuk melakukan kampanye, salah satunya calon presiden (capres) nomor urut 2 Prabowo Subianto. Prabowo menerima dukungan ribuan relawan Gerakan Muslim Persatuan Indonesia Cinta Tanah Air (Gempita) di Sudirman Ballroom Bandung, Jawa… https://t.co/HOopmHArDk"
5,Sat Dec 30 15:19:54 +0000 2023,1741116908995555685,"BuzzeRp 01 ngomong 2024 Asal bukan Prabowo"" Pertanyaannya... ""Emang ada Capres yg bukan JONGOS KETUM PARPOL&amp BONEKA CUKONG selain @prabowo ? Dasar Otak SUNGSANG!  Yang masih waras, yuk dukung @prabowo - @gibran_tweet jadi presiden RI 2024 menuju Indonesia berdaulat, adil&amp makmur! https://t.co/FBuhylCdxj""",7,288,35,145,in,1603758737239396354,1741116908995555685,yusufagro,https://twitter.com/yusufagro/status/1741116908995555685,"BuzzeRp 01 ngomong 2024 Asal bukan Prabowo"" Pertanyaannya... ""Emang ada Capres yg bukan JONGOS KETUM PARPOL&amp BONEKA CUKONG selain ? Dasar Otak SUNGSANG! Yang masih waras, yuk dukung - jadi presiden RI 2024 menuju Indonesia berdaulat, adil&amp makmur! https://t.co/FBuhylCdxj"""
6,Sat Dec 30 14:26:19 +0000 2023,1741103425792970952,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.2%  Total Votes : 250352    Berikan vote anda, klik link   https://t.co/stJXOVjzEh   Tolong retweet dan mention teman-temanmu ya. Terima kasih",0,0,0,0,in,1645311179139739651,1741103425792970952,Ekocahcraken,https://twitter.com/Ekocahcraken/status/1741103425792970952,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.2% Total Votes : 250352 Berikan vote anda, klik link https://t.co/stJXOVjzEh Tolong retweet dan mention teman-temanmu ya. Terima kasih"
7,Sat Dec 30 14:17:19 +0000 2023,1741101160977829936,@fais21804461 @AdhiSuwarno7 Prabowo itu orang yg sangat ikhlas.   Dia Tdk menjadi Presiden lagi dlm kontees th 2024 lg jg Ndak papa Ikhlas dia.   Semoga keihklasan PRABOWO menjadikan Indonesia sebagai negara besar dgn di pimpin orang yg lebih pas AMIN🤝,0,6,2,58,in,970324184000643072,1741005811068117180,Balad_AMIN_Lmg,https://twitter.com/Balad_AMIN_Lmg/status/1741101160977829936,Prabowo itu orang yg sangat ikhlas. Dia Tdk menjadi Presiden lagi dlm kontees th 2024 lg jg Ndak papa Ikhlas dia. Semoga keihklasan PRABOWO menjadikan Indonesia sebagai negara besar dgn di pimpin orang yg lebih pas AMIN🤝
8,Sat Dec 30 14:15:45 +0000 2023,1741100766872649951,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1%  Total Votes : 250224    Berikan vote anda, klik link   https://t.co/QwdFN3p4KK   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/zJ2ey61TW5",0,0,0,0,in,1428145120445042690,1741100766872649951,Ifan161812,https://twitter.com/Ifan161812/status/1741100766872649951,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1% Total Votes : 250224 Berikan vote anda, klik link https://t.co/QwdFN3p4KK Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/zJ2ey61TW5"
9,Sat Dec 30 14:13:02 +0000 2023,1741100084560031914,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1%  Total Votes : 250188    Berikan vote anda, klik link   https://t.co/Q6W18uLaTZ   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/O7ZACx2MB3",0,0,0,1,in,1592409246523887616,1741100084560031914,badai1110,https://twitter.com/badai1110/status/1741100084560031914,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.3% - ANIS-MUHAIMIN - 52.1% Total Votes : 250188 Berikan vote anda, klik link https://t.co/Q6W18uLaTZ Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/O7ZACx2MB3"
10,Sat Dec 30 14:02:29 +0000 2023,1741097425849479233,"@putri_Aalona Silahkan segera lantik prabowo gibran jadi presiden deny JA , Biar anis dan muhaimin  dilantik jadi presiden Republik Indonesia  2024 - 2029",0,0,0,0,in,1717528161938976768,1740937680513569112,Garnadi777,https://twitter.com/Garnadi777/status/1741097425849479233,"Silahkan segera lantik prabowo gibran jadi presiden deny JA , Biar anis dan muhaimin dilantik jadi presiden Republik Indonesia 2024 - 2029"
11,Sat Dec 30 13:53:44 +0000 2023,1741095227660845546,@bumnbersatu @prabowo @gibran_tweet AMIN CERDAS DAN BERAKHLAK..  BERPENGALAMAN DALAM DAN LUAR NEGERI..AMIN PRESIDEN INDONESIA 2024..,0,0,1,2,in,1613018645088833536,1740934334394282049,Aja8Rachman,https://twitter.com/Aja8Rachman/status/1741095227660845546,AMIN CERDAS DAN BERAKHLAK.. BERPENGALAMAN DALAM DAN LUAR NEGERI..AMIN PRESIDEN INDONESIA 2024..
12,Sat Dec 30 13:25:23 +0000 2023,1741088092738801979,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.4% - ANIS-MUHAIMIN - 52.1%  Total Votes : 249688    Berikan vote anda, klik link   https://t.co/SUz0qmqjoU   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/5cfmGct8Fs",0,0,0,1,in,1353980731647639552,1741088092738801979,elona572,https://twitter.com/elona572/status/1741088092738801979,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.4% - ANIS-MUHAIMIN - 52.1% Total Votes : 249688 Berikan vote anda, klik link https://t.co/SUz0qmqjoU Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/5cfmGct8Fs"
13,Sat Dec 30 13:15:12 +0000 2023,1741085530610434432,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.4% - ANIS-MUHAIMIN - 52%  Total Votes : 249542    Berikan vote anda, klik link   https://t.co/lt03mxZAgy   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/0j1CshqKtW",0,0,0,1,in,1501179256004820992,1741085530610434432,Aefyasae,https://twitter.com/Aefyasae/status/1741085530610434432,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.4% - ANIS-MUHAIMIN - 52% Total Votes : 249542 Berikan vote anda, klik link https://t.co/lt03mxZAgy Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/0j1CshqKtW"
14,Sat Dec 30 12:52:14 +0000 2023,1741079749542470004,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.4% - ANIS-MUHAIMIN - 52%  Total Votes : 249294    Berikan vote anda, klik link   https://t.co/tcgQPcu7Hr   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/k2We5XEUcD",0,0,0,0,in,1118913116450897920,1741079749542470004,erianto_kholil,https://twitter.com/erianto_kholil/status/1741079749542470004,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.4% - ANIS-MUHAIMIN - 52% Total Votes : 249294 Berikan vote anda, klik link https://t.co/tcgQPcu7Hr Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/k2We5XEUcD"
15,Sat Dec 30 11:57:54 +0000 2023,1741066074731462821,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.5% - ANIS-MUHAIMIN - 51.9%  Total Votes : 248761    Berikan vote anda, klik link   https://t.co/Sfcoal2HJE   Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/goeULeFaaa",0,0,0,0,in,1662791188364300288,1741066074731462821,Alma810804,https://twitter.com/Alma810804/status/1741066074731462821,"Siapa Presiden Indonesia 2024 - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.5% - ANIS-MUHAIMIN - 51.9% Total Votes : 248761 Berikan vote anda, klik link https://t.co/Sfcoal2HJE Tolong retweet dan mention teman-temanmu ya. Terima kasih https://t.co/goeULeFaaa"
16,Sat Dec 30 11:50:05 +0000 2023,1741064109431689400,"Pak Prabowo adalah orang yang banyak didoakan sama rakyat Indonesia menjadi Presiden.  Mulai tahun 2014, 2019 dan 2024.  Jika pada 2 Pilpres belum kejadian, mungkin tahun ini insyaaAllah terkabul.   Doa yang tertunda di 2 Pilpres sebelumnya.   #PrabowoGibran2024",0,5,0,1,in,1694967408136753152,1741064109431689400,PRAPAG_KIDUL,https://twitter.com/PRAPAG_KIDUL/status/1741064109431689400,"Pak Prabowo adalah orang yang banyak didoakan sama rakyat Indonesia menjadi Presiden. Mulai tahun 2014, 2019 dan 2024. Jika pada 2 Pilpres belum kejadian, mungkin tahun ini insyaaAllah terkabul. Doa yang tertunda di 2 Pilpres sebelumnya. #PrabowoGibran2024"
17,Sat Dec 30 11:32:26 +0000 2023,1741059665725997345,"Siapa Presiden Indonesia 2024 - ANIS-MUHAIMIN - 51.7% - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.7%  Total Votes : 247927    Berikan vote anda, klik link   https://t.co/FcGwd60n4w   Tolong retweet dan mention teman-temanmu ya. Terima kasih",0,0,0,0,in,1951883882,1741059665725997345,LamsijanReborn,https://twitter.com/LamsijanReborn/status/1741059665725997345,"Siapa Presiden Indonesia 2024 - ANIS-MUHAIMIN - 51.7% - PRABOWO-GIBRAN - 5.1% - GANJAR-MAHFUD - 43.7% Total Votes : 247927 Berikan vote anda, klik link https://t.co/FcGwd60n4w Tolong retweet dan mention teman-temanmu ya. Terima kasih"
