,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,no_tag
0,Mon Oct 30 23:18:49 +0000 2023,1719131774268436482,"@__AnakKolong Tenang saja bos , semua akan disampaikan oleh yang mulia bapak Jokowi presiden Republik Indonesia , setelah bapak Prabowo Gibran terpilih jadi presiden 2024 nanti...",0,0,0,0,in,598870355,1718659213109714954,jakfar87,https://twitter.com/jakfar87/status/1719131774268436482,"Tenang saja bos , semua akan disampaikan oleh yang mulia bapak Jokowi presiden Republik Indonesia , setelah bapak Prabowo Gibran terpilih jadi presiden 2024 nanti..."
1,Mon Oct 30 20:56:47 +0000 2023,1719096028820033761,@AndreasSolusi @jokowi @PDI_Perjuangan @prabowo @bengkeldodo @P4P4B0W0_2024 @patriktatang @Bank_Joee_ @Lembayung071 @Dony_YNWA @Rara29803002 @tinggipasaribu @putri_Aalona @are_inismyname Ya Indonesia mencetak presiden tertua di Republik ini  Dan apa yang di harap dari Prabowo,0,0,0,0,in,1389461676768989184,1718825853176709616,Asep71254288,https://twitter.com/Asep71254288/status/1719096028820033761,Ya Indonesia mencetak presiden tertua di Republik ini Dan apa yang di harap dari Prabowo
2,Mon Oct 30 17:03:21 +0000 2023,1719037283054280857,Sejarah baru Presiden Undang Makan 3 Bacapres 2024  @prabowo Dan @aniesbaswedan Serta Pk @ganjarpranowo  Mantap Indonesia Damai salam NKRI   https://t.co/WLZYVlaOIO,0,0,0,0,in,1478684707126530049,1719037283054280857,BeritaV02543549,https://twitter.com/BeritaV02543549/status/1719037283054280857,Sejarah baru Presiden Undang Makan 3 Bacapres 2024 Dan Serta Pk Mantap Indonesia Damai salam NKRI https://t.co/WLZYVlaOIO
3,Mon Oct 30 14:15:04 +0000 2023,1718994933426905323,"Momen Presiden Jokowi makan siang di Istana Negara Senin(30/10) siang, bersama tiga Cawapres di pemilu 2024, Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan.  source: love_jkt  #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #Pilpres2024 https://t.co/CAM0anph9c",0,0,0,0,in,1679896540285120512,1718994933426905323,daulatrakyatcom,https://twitter.com/daulatrakyatcom/status/1718994933426905323,"Momen Presiden Jokowi makan siang di Istana Negara Senin(30/10) siang, bersama tiga Cawapres di pemilu 2024, Prabowo Subianto, Ganjar Pranowo dan Anies Baswedan. source: love_jkt #politikindonesia #politik #indonesia #opposite #saveourdemocracy #aktivis #pemilu #Pilpres2024 https://t.co/CAM0anph9c"
4,Mon Oct 30 14:02:55 +0000 2023,1718991876353818956,"Dengan undangan makan siang kepada tiga calon presiden Indonesia tahun 2024, Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto, semakin mempertegas bahwa Jokowi saat ini berada di puncak Piramida politik nasional. https://t.co/XvhI9pCpM1",0,1,0,2,in,519296882,1718991876353818956,Ainulyausman,https://twitter.com/Ainulyausman/status/1718991876353818956,"Dengan undangan makan siang kepada tiga calon presiden Indonesia tahun 2024, Anies Baswedan, Ganjar Pranowo dan Prabowo Subianto, semakin mempertegas bahwa Jokowi saat ini berada di puncak Piramida politik nasional. https://t.co/XvhI9pCpM1"
5,Mon Oct 30 12:32:06 +0000 2023,1718969022853927086,"Tujuan Presiden Jokowi Undang Prabowo Anies dan Ganjar Makan Bersama di Istana Negara: Pada (30/10/2023) Presiden Republik Indonesia, Jokowi mengundang tiga bakal Calon Presiden Pilpres 2024 yakni Prabowo… https://t.co/wO3Zh4QzZz #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/WslC419Ur1",0,0,0,0,in,1674289887053512704,1718969022853927086,indigo_cumicumi,https://twitter.com/indigo_cumicumi/status/1718969022853927086,"Tujuan Presiden Jokowi Undang Prabowo Anies dan Ganjar Makan Bersama di Istana Negara: Pada (30/10/2023) Presiden Republik Indonesia, Jokowi mengundang tiga bakal Calon Presiden Pilpres 2024 yakni Prabowo… https://t.co/wO3Zh4QzZz #HotNews Baca di https://t.co/QwXHoKTU1A https://t.co/WslC419Ur1"
6,Mon Oct 30 12:18:21 +0000 2023,1718965561290531006,"https://t.co/2bRyqAjFRm - JAKARTA - Pasangan Calon Presiden dan Calon Wakil Presiden dari Koalisi Indonesia Maju (KIM), Prabowo Subianto-Gibran Rakabuming Raka, membidik kemenangan telak pada Pilpres 2024 mendatang.  #PrabowoGibranIstimewa #BersamaIndonesiaMaju Prabowo Subianto",0,1,0,0,in,3655312633,1718965461868802051,manaf_ramli,https://twitter.com/manaf_ramli/status/1718965561290531006,"https://t.co/2bRyqAjFRm - JAKARTA - Pasangan Calon Presiden dan Calon Wakil Presiden dari Koalisi Indonesia Maju (KIM), Prabowo Subianto-Gibran Rakabuming Raka, membidik kemenangan telak pada Pilpres 2024 mendatang. #PrabowoGibranIstimewa #BersamaIndonesiaMaju Prabowo Subianto"
7,Mon Oct 30 10:40:55 +0000 2023,1718941043364921826,"@ILCTalkshow @aniesbaswedan @cakimiNOW @ganjarpranowo @mohmahfudmd @prabowo @gibran_tweet Insya Allah AMIN terdepan, menang dan dilantik menjadi Presiden dan Wapres RI Periode 2024-2029, AMIN. Saatnya Indonesia bangkit menuju Indonesia yang lebih baik bersama AMIN.",0,0,0,0,in,1575331620524957696,1718917024771174673,brofahmi22,https://twitter.com/brofahmi22/status/1718941043364921826,"Insya Allah AMIN terdepan, menang dan dilantik menjadi Presiden dan Wapres RI Periode 2024-2029, AMIN. Saatnya Indonesia bangkit menuju Indonesia yang lebih baik bersama AMIN."
8,Mon Oct 30 10:25:54 +0000 2023,1718937262812270694,@bengkeldodo @P4P4B0W0_2024 @Ndaxwz @AndreasSolusi @tinggipasaribu @yantanu2_08 @Rara29803002 @Gi_N0ng @Ndons_Back @EricRicaldo @asepsamsudin038 Jurubicara istana ya @aniesbaswedan  dan @prabowo . @ganjarpranowo jadi presiden indonesia,0,1,0,0,in,59380826,1718922624410288521,bangkukosong31,https://twitter.com/bangkukosong31/status/1718937262812270694,Jurubicara istana ya dan . jadi presiden indonesia
9,Mon Oct 30 09:51:59 +0000 2023,1718928728791851442,Bismillah Bapak Sangat Layak Menjadi Presiden RI 2024  Prabowo Subianto Kiky Rocket Chicken Indonesia Jatinangor Gal Gadot Kalimantan Halloween #GISELLE Unilever Apel Pagi Senin #FreePalestine Olive,0,1,0,0,in,1666474307818782720,1718928728791851442,RahmatHerus,https://twitter.com/RahmatHerus/status/1718928728791851442,Bismillah Bapak Sangat Layak Menjadi Presiden RI 2024 Prabowo Subianto Kiky Rocket Chicken Indonesia Jatinangor Gal Gadot Kalimantan Halloween #GISELLE Unilever Apel Pagi Senin #FreePalestine Olive
