created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 28 18:27:25 +0000 2024;1762907372622897170;"@aniesbaswedan Allah Jalla Jallau sdh menitikan INDONESIA 2024 Pak Haji Anies Rasyid Baswedan yg jadi Presiden 2024";0;0;0;0;in;1329556223113379841;1761292352617070696;haryono_ranu;https://twitter.com/haryono_ranu/status/1762907372622897170
Wed Feb 28 17:38:39 +0000 2024;1762895101624508483;"semoga anies presiden indonesia ke 8 2024-2034 aamiin yaAllah";0;0;0;0;in;1466645315692367872;1762895101624508483;silvanyaassyfa;https://twitter.com/silvanyaassyfa/status/1762895101624508483
Wed Feb 28 04:01:08 +0000 2024;1762689364898017500;"Apa kalau Anies Ganjar jadi Presiden Indonesia lebih maju, belum tentu.  Apa kalau Prabowo menang Indonesia akan mengalami kemunduran, belum tentu juga.  Yang sudah pasti adalah sejak 2024, ketika elitis, borjuis dan oligarkian satu kubu memanipulasi trias politik, Demokrasi…";0;0;0;0;in;95578036;1762689364898017500;awangprasetya;https://twitter.com/awangprasetya/status/1762689364898017500
Wed Feb 28 00:29:14 +0000 2024;1762636040349905259;"@emerson_yuntho Jika presiden adalah pejabat tertinggi untuk semua Rakyat Indonesia, maka presiden adalah pemimpin untuk semua suku/daerah.   Usul presiden setiap setahun sekali diganti secara bergilir oleh  kepala suku/ daerah yang berbeda.  Adil dan menghemat dana pemilu.   Begitu logikanya??";0;3;1;5;in;1695738370339868672;1762390784354197952;2024_anies62406;https://twitter.com/2024_anies62406/status/1762636040349905259
Tue Feb 27 10:39:05 +0000 2024;1762427124928119262;"@RaisaTjokrodnta Kereeeen yack Anies di fitnah terus Anies for presiden Indonesia 2024 kereeeen";0;0;0;0;in;1654313974572388352;1762270703708242190;Rahmatullo27590;https://twitter.com/Rahmatullo27590/status/1762427124928119262
Tue Feb 27 06:55:44 +0000 2024;1762370916095545519;"@geloraco Ga da pilkada woy...  Pak Anies presiden 2024. Atau pak Anies akan meneruskan gerakan perubahan bersama anak2 muda se Indonesia. Membangun Indonesia dr luar pemerintahan...";0;0;0;0;in;1747393419138433024;1762091719078948944;M4kDian;https://twitter.com/M4kDian/status/1762370916095545519
Tue Feb 27 03:36:03 +0000 2024;1762320663375982860;"Gegabah itu tidak bijaksana.  Bijaksana itu tidak gegabah.   Itulah Anies Baswedan, Calon Presiden Republik Indonesia yg sah, 2024-2029. 😎";0;0;0;0;in;517913185;1762320663375982860;prabu_yudistyra;https://twitter.com/prabu_yudistyra/status/1762320663375982860
Tue Feb 27 03:01:47 +0000 2024;1762312040650281143;"@saptahari InsyaAllah Pak Anies presiden RI 2024 walau jalan agak berliku kita tetap dukung dg do'a yg ikhlas demi negeri kita dan rakyat Indonesia yg tercinta.";0;0;0;0;in;1445228016188018688;1761776013829390587;Zulnedichan;https://twitter.com/Zulnedichan/status/1762312040650281143
Mon Feb 26 22:46:33 +0000 2024;1762247809330540675;"@BolaBolaAja Semoga Allah memberikan izin &amp  pertolongan kpd pak Anies untuk menjadi presiden RI 2024,agar bisa memimpin rakyat indonesia menjadi aman,adil,makmur, sejahtera";0;0;0;0;in;1749313955514990592;1761770311517966336;tati_handayani3;https://twitter.com/tati_handayani3/status/1762247809330540675
Mon Feb 26 13:45:01 +0000 2024;1762111527761645925;"Kalau Allah menakdirkan pak Anies. Abah kita yang akan jadi presiden indonesia. Maka kita akan menyaksikan pak Anies dan muhaimin jadi pemimpin kita 2024 ini. Aamiin ya Allah. .kita jalani dulu prosesnya.  Kita #DukungHakAngket  di DPR";0;0;0;0;in;1104804049600180224;1762111527761645925;Bobo08714265;https://twitter.com/Bobo08714265/status/1762111527761645925
