created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Wed Feb 28 13:30:06 +0000 2024;1762832549347565670;"Th. 2024  Prabowo jadi presiden.  Putri Ariani kerja bareng Alan Walker. Kurang bahagia apa Indonesia 😁 https://t.co/EMQxajnLhz";0;0;0;0;in;11151852;1762832549347565670;antokarief;https://twitter.com/antokarief/status/1762832549347565670
Wed Feb 28 12:59:25 +0000 2024;1762824828111749278;"Prabowo Subianto merupakan salah satu calon Presiden Indonesia 2024-2029. Andai sungguh menang nanti, bisakah Prabowo membantu sepakbola Indonesia berkembang? https://t.co/yBe3Wn41Xr";0;0;0;2;in;135783107;1762824828111749278;detiksport;https://twitter.com/detiksport/status/1762824828111749278
Wed Feb 28 12:35:22 +0000 2024;1762818777077662081;"Catatan Kelam Demokrasi  Kekejaman berbuah kenaikan Pangkat  Sebuah ironi , 28 Feb 2024 , catatan kelam dilakukan oleh Presiden Indonesia @jokowi atas pemberian pangkat kehormatan kepada @prabowo seorang pelanggar Hak Asasi Manusia dalam kasus Penculikan Aktivis Demokrasi 1998. https://t.co/9wCYJ2QKU6";0;1;0;1;in;1751938268206448640;1762818777077662081;COKRONINGRAT_;https://twitter.com/COKRONINGRAT_/status/1762818777077662081
Wed Feb 28 09:41:59 +0000 2024;1762775143171153934;"Kesabaran dan Pengabdian Tulus akan membuahkan hasil yang baik.  Selamat bertugas Pak Presiden Terpilih Republik Indonesia 2024 Bapak Jenderal TNI Prabowo Subianto.  #AndreRosiade #Gerindra https://t.co/OJJPylmHtu";8;120;17;175;in;190679407;1762775143171153934;andre_rosiade;https://twitter.com/andre_rosiade/status/1762775143171153934
Wed Feb 28 07:21:47 +0000 2024;1762739858785853951;"Selamat kepada Jenderal TNI Prabowo Subianto.Tidak akan pernah berhenti untuk terus mengabdi kepada bangsa,negara dan rakyat Indonesia.  Selamat juga atas kemenangan Jenderal TNI Prabowo Subianto yang terpilih sebagai Presiden RI ke 8.  Tahun 2024 sungguh sangat membahagiakan. https://t.co/GisGapzhYj";0;1;2;11;in;1462319970184929284;1762739858785853951;G0mb4k;https://twitter.com/G0mb4k/status/1762739858785853951
Wed Feb 28 05:25:30 +0000 2024;1762710595533697300;"@Per98943129Rudi Ya,   sejarah mencatat,  Kembalinya Prabowo ke panggung politik Indonesia adalah krn usaha dari Ibu Megawati  dan kini di 2024, Prabowo terpilih menjadi Presiden  Kalau orang meributkan Beliau kok diangkat jadi Jenderal, jgn lupa bahwa Presiden itu lebih tinggi dari Jenderal";0;1;0;0;in;70828230;1762669103947661773;dawiguna;https://twitter.com/dawiguna/status/1762710595533697300
Wed Feb 28 04:38:42 +0000 2024;1762698818922205206;"Rilis Pers Koalisi Masyarakat Sipil  Pada 28 Februari 2024, Presiden Joko Widodo akan memberikan kenaikan pangkat kehormatan Jenderal Tentara Nasional Indonesia kepada Menteri Pertahanan RI Prabowo Subianto Letjen (purn) Prabowo Subianto. Gelar serupa pernah disematkan kepada… https://t.co/ddAbroBMgi";79;102;1926;3985;in;222346474;1762698818922205206;YLBHI;https://twitter.com/YLBHI/status/1762698818922205206
Wed Feb 28 04:06:25 +0000 2024;1762690694538506283;"Selamat &amp  Turut bangga kepada Jendral @prabowo atas penganugrahan kenaikan pangkat oleh Presiden Republik Indonesia.   28 Februari 2024.  Hormat Jendral 🫡 https://t.co/c4BJcl462s";2;5;18;113;in;1532853448462733312;1762690694538506283;ejaferdiansyah;https://twitter.com/ejaferdiansyah/status/1762690694538506283
Wed Feb 28 04:01:08 +0000 2024;1762689364898017500;"Apa kalau Anies Ganjar jadi Presiden Indonesia lebih maju, belum tentu.  Apa kalau Prabowo menang Indonesia akan mengalami kemunduran, belum tentu juga.  Yang sudah pasti adalah sejak 2024, ketika elitis, borjuis dan oligarkian satu kubu memanipulasi trias politik, Demokrasi…";0;0;0;0;in;95578036;1762689364898017500;awangprasetya;https://twitter.com/awangprasetya/status/1762689364898017500
Wed Feb 28 03:55:00 +0000 2024;1762687821004042409;"Pada 28 Februari 2024, Presiden Joko Widodo akan memberikan kenaikan pangkat kehormatan Jenderal Tentara Nasional Indonesia kepada Menteri Pertahanan RI Prabowo Subianto Letjen (purn) Prabowo Subianto.";0;1;0;0;in;1218079553999867904;1762687818248466503;PBHI_Nasional;https://twitter.com/PBHI_Nasional/status/1762687821004042409
