created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 02 18:59:19 +0000 2024;1764002563383500820;"@NenkMonica Abah tenang aja soal pinjaman nanti dari anak" abah yang bantu buat mulangin ya meskipun abah gak jadi presiden";0;0;0;0;in;1427594547647840268;1763813980374773922;SiapaNa85161801;https://twitter.com/SiapaNa85161801/status/1764002563383500820
Sat Mar 02 18:58:47 +0000 2024;1764002430851977267;"@hnurwahid @PKSejahtera Betul-netuk sudah sangat rusak @officialMKRI itu, jika ambang batas Partai dapat diubah demi keadilan lalu kenapa ambang batas presiden tidak boleh ?";0;0;0;0;in;1616209097254375425;1763371854780407986;SsPasadena;https://twitter.com/SsPasadena/status/1764002430851977267
Sat Mar 02 18:58:03 +0000 2024;1764002244591251498;"profesi sebagai anak presiden";0;0;0;0;in;955092527039696897;1764002244591251498;rue8jade;https://twitter.com/rue8jade/status/1764002244591251498
Sat Mar 02 18:58:00 +0000 2024;1764002234575306791;"@AchlysTria24069 menteri apa njir? beneran diacak² emg ni negara ama tu org, jkt juga nanti kalo ruu dkj disahin gaada pilkada tp langsung tunjuk dari presiden";0;0;0;0;in;1612534332887040000;1758305961499058591;killergirl3_;https://twitter.com/killergirl3_/status/1764002234575306791
Sat Mar 02 18:56:24 +0000 2024;1764001830068240691;"@Catatan_ali7 Presiden tanpa sogokkan, presiden harapan rakyat Indonesia";0;0;0;0;in;1542934666692665344;1763357464735764866;sadamku1;https://twitter.com/sadamku1/status/1764001830068240691
Sat Mar 02 18:56:13 +0000 2024;1764001784698490958;"Bukan Hoaks!!!! Berita gembira untuk kita semua. Setelah pemberian bintang untuk prabowo,Presiden juga akan memberi bintang keseluruh rakyat indonesia. Cek video👇 https://t.co/I9gOB6GnjI";0;0;5;5;in;1389082210452443138;1764001784698490958;sami86pilang;https://twitter.com/sami86pilang/status/1764001784698490958
Sat Mar 02 18:55:05 +0000 2024;1764001498042978461;"Bismillah sy setuju dan mendukung total menolak Gibran sbg wakil presiden";0;0;0;0;in;1306532645304639488;1764001498042978461;AdiansyahHelmy;https://twitter.com/AdiansyahHelmy/status/1764001498042978461
Sat Mar 02 18:55:01 +0000 2024;1764001483568386260;"@ahdahlahh wkwkwkwk tolollll...terus punya presiden UEFA apa gunanya...🤣 udah terbukti ya...terus mana barang buktinya 🤣 terus kata Negreira gimana... terbukti kah bayar wasit 🤣🤣 ayo dong presiden UEFA katanya Barca sudah terbukti nyogok wasit..kasih hukuman lah 🤣";0;0;0;0;in;1441840142008815623;1762358276409495984;triono_novi;https://twitter.com/triono_novi/status/1764001483568386260
Sat Mar 02 18:54:11 +0000 2024;1764001272536195339;"@9313Wak Jenderal jenderalan sama presiden palsu LG ngapain tuuu";0;0;0;0;in;1542934666692665344;1763595800998027352;sadamku1;https://twitter.com/sadamku1/status/1764001272536195339
Sat Mar 02 18:52:52 +0000 2024;1764000940796113332;"@AraituLaki Kalo saya sie malu ya, money politics, penggelembungan suara, ketidak netralan aparat, tekanan, trus deklarasi kemenangan sebelum penghitungan usai, negara negaraan, presiden presiden, ngebet banget kong??";0;0;0;0;in;1542934666692665344;1763641986954006848;sadamku1;https://twitter.com/sadamku1/status/1764000940796113332
Sat Mar 02 18:51:39 +0000 2024;1764000635522052161;"@tempodotco Baru tau?? Tukang cilok citayem bahkan menemukan kalo perasaan &amp  emosi² manusia bs dikonversi jd energi, diantaranya   1. Gagal jd presiden 2. Jualan barang fiktif 3. Obral harga diri 4. Kebanyakan omon²  Apalagi kalo ga mikir mati ama ga takut Tuhan.. goks lah si abang";0;0;0;0;in;3098534449;1763978472857522623;quantumquadra;https://twitter.com/quantumquadra/status/1764000635522052161
Sat Mar 02 18:51:03 +0000 2024;1764000483881156971;"@reka_tika @coin_juragan @senjatanuklir Mjb,sblm itu jg dah ada yg ramal kak bhkn dijadiin buku ramalannya KL Wiliam GK mau nerusin tahtanya ada alesannya GK mau ngelanjutin sesuatu yg ada hubungannya dgn kerajaan dan digantiin prince harry,ini dibuku yg sama yg ngeramal presiden indo 2024 cuman bakal mimpin selama 2th";0;1;0;0;in;1675483557530329088;1763811110531260732;CBaitia93236;https://twitter.com/CBaitia93236/status/1764000483881156971
Sat Mar 02 18:50:12 +0000 2024;1764000268293910731;"Hanya orang bodoh yang tidak tau, jika lonjakan suara itu bisa jadi suara hantu. Bagaimana mungkin tidak ada Caleg tapi punya pemilih 800, misalnya di TPS. Ini semua kuncinya di Ketua KPU, Hasyim. Saya menduga kenapa Hasyim dilindungi, karena Hasyimlah yang ikut pasang badan…";0;0;0;1;in;368972049;1764000268293910731;HMJUSUFRIZAL;https://twitter.com/HMJUSUFRIZAL/status/1764000268293910731
