created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 02 18:45:02 +0000 2024;1763998967510294692;"@aftomune @DumTakTak04 @anonjawa @jokowi @RcyberProj0 Buset mbak.. Presiden loh itu..";0;0;0;0;in;1643380443713249280;1763487687313698878;clmty_fortune;https://twitter.com/clmty_fortune/status/1763998967510294692
Sat Mar 02 18:43:51 +0000 2024;1763998669622427747;"@0_628s Bangun, Anis jadi presiden wkwkwk";0;0;0;0;in;1426584774672453639;1763995886718451943;cinruella;https://twitter.com/cinruella/status/1763998669622427747
Sat Mar 02 18:43:26 +0000 2024;1763998565163213101;"@OposisiCerdas Krn ada anak presiden, sodaranya cawapres 02 &amp  ponakan hakim mahkamah keluarga di PSI";0;0;0;0;in;1558548948172042240;1763939024090402824;kretekmantab;https://twitter.com/kretekmantab/status/1763998565163213101
Sat Mar 02 18:43:09 +0000 2024;1763998494120091649;"@kekasihgelappmu Pak presiden @jokowi kami lagi gabut ni ga tau mau ngapain, ada saran gak pak apa yang harus kami lakukan? 😐";0;0;0;0;in;1210666630553862144;1763993439887331626;Roxcka;https://twitter.com/Roxcka/status/1763998494120091649
Sat Mar 02 18:43:05 +0000 2024;1763998479091982436;"nabil cancer gua scorpio   jadi udh tau lah yaa..... kalo gelut sama sama membatu, tapi abis itu bikin teks argumen 2 halaman minimal.  ampe yang minta maap duluan aja presiden kali itu https://t.co/mkvq8WmIGq";0;0;0;0;in;1536747046140407808;1763998479091982436;kebablasann;https://twitter.com/kebablasann/status/1763998479091982436
Sat Mar 02 18:42:11 +0000 2024;1763998253182517426;"Itu baju almamater kampus mana yg lambang nya tut wuri handayani...???😂😂😂😂😂😂😂😂😂😂😂😂😂😂😂";1;0;0;2;in;1350917154;1763998253182517426;Minang_cyber;https://twitter.com/Minang_cyber/status/1763998253182517426
Sat Mar 02 18:40:06 +0000 2024;1763997726633799823;"w yakin banget anak svt pada mau wamil. like ini ajang lu buat numbuhin nasionalisme. ketemu orang banyak di luar dari lingkungan kerja mereka as an idol. mikirin tu di sana potensial presiden lu 02, potensial wapres u ga bisa diajak diskusi. PIKIRIN SONO JANGAN URUSIN SK";0;0;0;0;in;949995242219962368;1763996577432207421;hanshiboo;https://twitter.com/hanshiboo/status/1763997726633799823
Sat Mar 02 18:39:58 +0000 2024;1763997694975185038;"@hafizha_anisa Masalahnya kan presiden baru belum resmi ya, KPU &amp  MK jelas2 belum ngumumin. Kenapa ini menteri kabinet jokowi udah ngomongin makan siang gratis dah";0;0;0;0;in;1076003587;1763746893866430856;basttiiaannn;https://twitter.com/basttiiaannn/status/1763997694975185038
Sat Mar 02 18:39:16 +0000 2024;1763997517258330470;"Pak @JimlyAs masalahnya Presiden berkuasa berniat "cawe-cawe" padahal dia bukan incumbent. Siapa yang bisa menghalangi kuasa presiden jika semua stakeholder Pemilu di bawah kendalinya?   Colek Oom @islah_bahrawi @Dennysiregar7 @ferdinand_mpu";0;0;0;0;in;99743594;1763997517258330470;ike_hw71;https://twitter.com/ike_hw71/status/1763997517258330470
Sat Mar 02 18:39:08 +0000 2024;1763997484207243753;"@PartaiSocmed Tai kambing";0;0;0;0;in;1952404976;1763764658778042604;axl_dream;https://twitter.com/axl_dream/status/1763997484207243753
Sat Mar 02 18:35:44 +0000 2024;1763996630687289602;"@ZoneVenomWar Orang stress lagi ngayal itu presiden elu aja ga tau harga beras naik";0;0;0;0;in;1369717426321977345;1763843638327726546;sugeng_rawit;https://twitter.com/sugeng_rawit/status/1763996630687289602
Sat Mar 02 18:34:53 +0000 2024;1763996413317579248;"@kekasihgelappmu Aku juga bingung. Coba tanya sama presiden 😐";0;1;0;0;in;1210666630553862144;1763993439887331626;Roxcka;https://twitter.com/Roxcka/status/1763996413317579248
Sat Mar 02 18:34:49 +0000 2024;1763996400013169147;"Jum’at pgs di bni sekretariat negara, ada nasabah ganti atm sekali 2. Nasabahnya diam aja, akhir w ajak ngobrol dgn tujuan agar atm nya di upgrade. Lumayan kan referal buat w. Dia dri divisi biro protokol, intinya kemanapun presiden pergi pasti ada dia.";0;1;0;0;in;1653914846294077440;1763994454233583708;Helda120998;https://twitter.com/Helda120998/status/1763996400013169147
Sat Mar 02 18:33:44 +0000 2024;1763996127303770533;"PRESIDEN SOEHARTO JUGA TIDAK PERNAH SUDI MENJALIN KERJASAMA DENGAN INVESTOR CHINA, krn LEBIH BANYAK RUGINYA!!!BODOH N TOLOL ja klu skrang INVESTOR CHINA yg mendominasi PEREKONOMIAN INDONESIA,,siapa yg ga BECUS JD PEMIMPIN!!  https://t.co/eW2HZzMpoe";0;0;0;0;in;3226946688;1763996127303770533;hadijah2007;https://twitter.com/hadijah2007/status/1763996127303770533
Sat Mar 02 18:33:14 +0000 2024;1763996000056955241;"@BANKBRI_ID dihadiri Presiden RI Joko Widodo";0;0;0;0;in;1597272368820330497;1763168032866914431;kinantmymyname;https://twitter.com/kinantmymyname/status/1763996000056955241
Sat Mar 02 18:33:04 +0000 2024;1763995957388321172;"@sayfull46 @tawajkt Ayo bongkar biar kempes. Disitu pasti ada main materai. Tidak bersih";0;0;0;0;in;368972049;1763480890142077108;HMJUSUFRIZAL;https://twitter.com/HMJUSUFRIZAL/status/1763995957388321172
Sat Mar 02 18:32:51 +0000 2024;1763995905190244586;"@KowuLaode341884 @abu_waras Yang memberi pangkat bukan the real presiden, 🤔 Tapi itu yang memberi pangkat presiden Cawe-cawe 🤮🤮🤮";0;0;0;0;in;1640548888515084288;1763592723834302728;1453Ricky72301;https://twitter.com/1453Ricky72301/status/1763995905190244586
Sat Mar 02 18:32:45 +0000 2024;1763995876824056078;"@iamdaredevil_1 @lilvalleey Minimal kalo gak mau jawab jangan bilang rahasia, kan dia calon wakil presiden ya? Gunakanlah bahasa yang lebih baik dan sopan sama temen temen jurnalis.  Bisa juga ngomong ”wah maaf ya mas mbak saya belum bisa jawab pertanyaan ini..” misalnya kaya gini.";0;0;0;0;in;1546207442828029952;1763561747095646254;JEENKIS;https://twitter.com/JEENKIS/status/1763995876824056078
